question_id,question_group_id,narrative_id,target_slot,language,question_text,template_id,question_type,priority,reason,sensitivity,skippable,prerequisite_slot,expected_answer_type,allowed_answer_values,followup_condition,gold_rank,already_asked,human_relevance_score,language_reviewer_id,legal_reviewer_id
Q000017_hi,QG000006,NAR000003_EN,vehicle_details,hi,"Drunk driving accident Highway par 06:27 ke aas-paas ke sandarbh mein, Aapko vahan ka kaunsa vivaran ya number pata hai?",TPL_VEHICLE_DETAILS,open_text,1,Needed for motor accident or traffic complaint.,sensitive,False,NONE,text,NONE,if_registration_known_collect_number,1,False,5,LANG_REV_HI_001,REV328
Q000018_hiLatn,QG000006,NAR000003_EN,vehicle_details,hi-Latn,"Drunk driving accident Highway par 06:27 ke aas-paas ke context mein, Vehicle ka kya detail ya number pata hai?",TPL_VEHICLE_DETAILS,open_text,1,Needed for motor accident or traffic complaint.,sensitive,False,NONE,text,NONE,if_registration_known_collect_number,1,False,5,LANG_REV_HI_001,REV328
Q000019_en,QG000007,NAR000003_EN,offending_vehicle_left,en,"For the drunk driving accident at Highway around 06:27, did the offending driver or vehicle leave the scene?",TPL_OFFENDING_VEHICLE_LEFT,yes_no,2,Important for hit-and-run.,normal,True,incident_location,boolean,yes;no;unsure,if_yes_ask_direction,2,False,4,LANG_REV_EN_001,REV328
Q000020_hi,QG000007,NAR000003_EN,offending_vehicle_left,hi,"Drunk driving accident Highway par 06:27 ke aas-paas ke sandarbh mein, Kya offending driver ya vehicle scene se chala gaya?",TPL_OFFENDING_VEHICLE_LEFT,yes_no,2,Important for hit-and-run.,normal,True,incident_location,boolean,yes;no;unsure,if_yes_ask_direction,2,False,4,LANG_REV_HI_001,REV328
Q000021_hiLatn,QG000007,NAR000003_EN,offending_vehicle_left,hi-Latn,"Drunk driving accident Highway par 06:27 ke aas-paas ke context mein, Kya offending driver ya vehicle scene se nikal gaya?",TPL_OFFENDING_VEHICLE_LEFT,yes_no,2,Important for hit-and-run.,normal,True,incident_location,boolean,yes;no;unsure,if_yes_ask_direction,2,False,4,LANG_REV_HI_001,REV328
Q000022_en,QG000008,NAR000004_EN,product_or_service,en,"For the false advertising and misrepresentation at Showroom around 07:45, what exact product or service is disputed?",TPL_PRODUCT_OR_SERVICE,open_text,1,Defines subject of consumer dispute.,normal,False,NONE,text,NONE,if_product_ask_purchase_proof,1,False,5,LANG_REV_EN_001,REV705
Q000023_hi,QG000008,NAR000004_EN,product_or_service,hi,"False advertising and misrepresentation Showroom par 07:45 ke aas-paas ke sandarbh mein, Kaunsa exact product ya service dispute mein hai?",TPL_PRODUCT_OR_SERVICE,open_text,1,Defines subject of consumer dispute.,normal,False,NONE,text,NONE,if_product_ask_purchase_proof,1,False,5,LANG_REV_HI_001,REV705
Q000024_hiLatn,QG000008,NAR000004_EN,product_or_service,hi-Latn,"False advertising and misrepresentation Showroom par 07:45 ke aas-paas ke context mein, Kaunsa exact product ya service disputed hai?",TPL_PRODUCT_OR_SERVICE,open_text,1,Defines subject of consumer dispute.,normal,False,NONE,text,NONE,if_product_ask_purchase_proof,1,False,5,LANG_REV_HI_001,REV705
Q000025_en,QG000009,NAR000004_EN,evidence_available,en,"For the false advertising and misrepresentation at Showroom around 07:45, what evidence do you have for this incident?",TPL_EVIDENCE_AVAILABLE,open_text,3,Improves complaint strength.,sensitive,True,NONE,text,NONE,if_available_ask_evidence_type,3,False,4,LANG_REV_EN_001,REV705
Q000026_hi,QG000009,NAR000004_EN,evidence_available,hi,"False advertising and misrepresentation Showroom par 07:45 ke aas-paas ke sandarbh mein, Is ghatna ke liye aapke paas kya saboot hai?",TPL_EVIDENCE_AVAILABLE,open_text,3,Improves complaint strength.,sensitive,True,NONE,text,NONE,if_available_ask_evidence_type,3,False,4,LANG_REV_HI_001,REV705
Q000027_hiLatn,QG000009,NAR000004_EN,evidence_available,hi-Latn,"False advertising and misrepresentation Showroom par 07:45 ke aas-paas ke context mein, Is incident ke liye aapke paas kya evidence hai?",TPL_EVIDENCE_AVAILABLE,open_text,3,Improves complaint strength.,sensitive,True,NONE,text,NONE,if_available_ask_evidence_type,3,False,4,LANG_REV_HI_001,REV705
Q000028_en,QG000010,NAR000005_EN,digital_evidence,en,"For the social media hacking at Online platform around 17:10, what digital evidence do you have, such as messages, links, emails, logs, or screenshots?",TPL_DIGITAL_EVIDENCE,open_text,3,Preserves proof for complaint.,sensitive,True,NONE,text,NONE,if_links_present_preserve_screenshots,3,False,4,LANG_REV_EN_001,REV537
Q000029_hi,QG000010,NAR000005_EN,digital_evidence,hi,"Social media hacking Online platform par 17:10 ke aas-paas ke sandarbh mein, Aapke paas kaunsa digital saboot hai, jaise messages, links, emails, logs ya screenshots?",TPL_DIGITAL_EVIDENCE,open_text,3,Preserves proof for complaint.,sensitive,True,NONE,text,NONE,if_links_present_preserve_screenshots,3,False,4,LANG_REV_HI_001,REV537
Q000030_hiLatn,QG000010,NAR000005_EN,digital_evidence,hi-Latn,"Social media hacking Online platform par 17:10 ke aas-paas ke context mein, Aapke paas kya digital evidence hai, jaise messages, links, emails, logs ya screenshots?",TPL_DIGITAL_EVIDENCE,open_text,3,Preserves proof for complaint.,sensitive,True,NONE,text,NONE,if_links_present_preserve_screenshots,3,False,4,LANG_REV_HI_001,REV537
Q000031_en,QG000011,NAR000005_EN,security_steps_taken,en,"For the social media hacking at Online platform around 17:10, what security steps have you already taken?",TPL_SECURITY_STEPS_TAKEN,open_text,3,Guides immediate mitigation.,normal,True,NONE,text,NONE,if_not_taken_suggest_basic_safety,3,False,4,LANG_REV_EN_001,REV537
Q000032_hi,QG000011,NAR000005_EN,security_steps_taken,hi,"Social media hacking Online platform par 17:10 ke aas-paas ke sandarbh mein, Aapne ab tak kaunse suraksha kadam uthaye hain?",TPL_SECURITY_STEPS_TAKEN,open_text,3,Guides immediate mitigation.,normal,True,NONE,text,NONE,if_not_taken_suggest_basic_safety,3,False,4,LANG_REV_HI_001,REV537
Q000033_hiLatn,QG000011,NAR000005_EN,security_steps_taken,hi-Latn,"Social media hacking Online platform par 17:10 ke aas-paas ke context mein, Aapne ab tak kya security steps liye hain?",TPL_SECURITY_STEPS_TAKEN,open_text,3,Guides immediate mitigation.,normal,True,NONE,text,NONE,if_not_taken_suggest_basic_safety,3,False,4,LANG_REV_HI_001,REV537
Q000034_en,QG000012,NAR000005_EN,ongoing_access_risk,en,"For the social media hacking at Online platform around 17:10, do you think the attacker still has access?",TPL_ONGOING_ACCESS_RISK,yes_no,1,Determines urgent containment advice.,highly sensitive,False,NONE,boolean,yes;no;unsure,if_yes_urgent_account_lock,1,False,5,LANG_REV_EN_001,REV537
Q000035_hi,QG000012,NAR000005_EN,ongoing_access_risk,hi,"Social media hacking Online platform par 17:10 ke aas-paas ke sandarbh mein, Kya aapko lagta hai attacker ke paas abhi bhi access hai?",TPL_ONGOING_ACCESS_RISK,yes_no,1,Determines urgent containment advice.,highly sensitive,False,NONE,boolean,yes;no;unsure,if_yes_urgent_account_lock,1,False,5,LANG_REV_HI_001,REV537
Q000036_hiLatn,QG000012,NAR000005_EN,ongoing_access_risk,hi-Latn,"Social media hacking Online platform par 17:10 ke aas-paas ke context mein, Kya lagta hai attacker ke paas abhi bhi access hai?",TPL_ONGOING_ACCESS_RISK,yes_no,1,Determines urgent containment advice.,highly sensitive,False,NONE,boolean,yes;no;unsure,if_yes_urgent_account_lock,1,False,5,LANG_REV_HI_001,REV537
Q000037_en,QG000013,NAR000006_EN,employment_documents,en,"For the safe working conditions violation at Workplace around 21:28, do you have appointment letters, payslips, emails, attendance, payroll, or contract documents?",TPL_EMPLOYMENT_DOCUMENTS,open_text,2,Supports labour claim.,sensitive,True,NONE,text,NONE,NONE,2,False,4,LANG_REV_EN_001,REV242
Q000038_hi,QG000013,NAR000006_EN,employment_documents,hi,"Safe working conditions violation Workplace par 21:28 ke aas-paas ke sandarbh mein, Kya aapke paas appointment letter, payslip, email, attendance, payroll ya contract dastavej hain?",TPL_EMPLOYMENT_DOCUMENTS,open_text,2,Supports labour claim.,sensitive,True,NONE,text,NONE,NONE,2,False,4,LANG_REV_HI_001,REV242
Q000039_hiLatn,QG000013,NAR000006_EN,employment_documents,hi-Latn,"Safe working conditions violation Workplace par 21:28 ke aas-paas ke context mein, Kya appointment letter, payslip, email, attendance, payroll ya contract documents hain?",TPL_EMPLOYMENT_DOCUMENTS,open_text,2,Supports labour claim.,sensitive,True,NONE,text,NONE,NONE,2,False,4,LANG_REV_HI_001,REV242
Q000040_en,QG000014,NAR000006_EN,wage_or_benefit_amount,en,"For the safe working conditions violation at Workplace around 21:28, what wage, benefit, compensation, or amount is unpaid or disputed?",TPL_WAGE_OR_BENEFIT_AMOUNT,open_text,2,Quantifies claim.,sensitive,True,NONE,text,NONE,NONE,2,False,4,LANG_REV_EN_001,REV242
Q000041_hi,QG000014,NAR000006_EN,wage_or_benefit_amount,hi,"Safe working conditions violation Workplace par 21:28 ke aas-paas ke sandarbh mein, Kaunsi wage, benefit, compensation ya amount unpaid ya disputed hai?",TPL_WAGE_OR_BENEFIT_AMOUNT,open_text,2,Quantifies claim.,sensitive,True,NONE,text,NONE,NONE,2,False,4,LANG_REV_HI_001,REV242
Q000042_hiLatn,QG000014,NAR000006_EN,wage_or_benefit_amount,hi-Latn,"Safe working conditions violation Workplace par 21:28 ke aas-paas ke context mein, Kaunsi wage/benefit/compensation/amount unpaid ya disputed hai?",TPL_WAGE_OR_BENEFIT_AMOUNT,open_text,2,Quantifies claim.,sensitive,True,NONE,text,NONE,NONE,2,False,4,LANG_REV_HI_001,REV242
Q000043_en,QG000015,NAR000007_EN,threat_or_attack_description,en,"For the domestic dispute at Apartment around 21:31, what exactly was said or done to threaten or attack you?",TPL_THREAT_OR_ATTACK_DESCRIPTION,open_text,1,Determines emergency risk and offence type.,highly sensitive,False,NONE,text,NONE,if_immediate_danger_call_emergency,1,False,5,LANG_REV_EN_001,REV842
Q000044_hi,QG000015,NAR000007_EN,threat_or_attack_description,hi,"Domestic dispute Apartment par 21:31 ke aas-paas ke sandarbh mein, Aapko dhamkane ya attack karne ke liye theek kya kaha ya kiya gaya?",TPL_THREAT_OR_ATTACK_DESCRIPTION,open_text,1,Determines emergency risk and offence type.,highly sensitive,False,NONE,text,NONE,if_immediate_danger_call_emergency,1,False,5,LANG_REV_HI_001,REV842
Q000045_hiLatn,QG000015,NAR000007_EN,threat_or_attack_description,hi-Latn,"Domestic dispute Apartment par 21:31 ke aas-paas ke context mein, Threat ya attack mein exactly kya bola ya kiya gaya?",TPL_THREAT_OR_ATTACK_DESCRIPTION,open_text,1,Determines emergency risk and offence type.,highly sensitive,False,NONE,text,NONE,if_immediate_danger_call_emergency,1,False,5,LANG_REV_HI_001,REV842
Q000046_en,QG000016,NAR000007_EN,injury_details,en,"For the domestic dispute at Apartment around 21:31, was anyone injured, and what injuries were caused?",TPL_INJURY_DETAILS,open_text,1,Determines medical and legal urgency.,highly sensitive,False,NONE,text,NONE,if_serious_seek_medical_help,1,False,5,LANG_REV_EN_001,REV842
Q000047_hi,QG000016,NAR000007_EN,injury_details,hi,"Domestic dispute Apartment par 21:31 ke aas-paas ke sandarbh mein, Kya koi ghayal hua, aur kaunsi chot lagi?",TPL_INJURY_DETAILS,open_text,1,Determines medical and legal urgency.,highly sensitive,False,NONE,text,NONE,if_serious_seek_medical_help,1,False,5,LANG_REV_HI_001,REV842
Q000048_hiLatn,QG000016,NAR000007_EN,injury_details,hi-Latn,"Domestic dispute Apartment par 21:31 ke aas-paas ke context mein, Kya koi injured hua, aur kya injuries hain?",TPL_INJURY_DETAILS,open_text,1,Determines medical and legal urgency.,highly sensitive,False,NONE,text,NONE,if_serious_seek_medical_help,1,False,5,LANG_REV_HI_001,REV842
Q000049_en,QG000017,NAR000007_EN,safe_place_available,en,"For the domestic dispute at Apartment around 21:31, are you currently in a safe place?",TPL_SAFE_PLACE_AVAILABLE,yes_no,2,Guides immediate safety planning.,normal,True,NONE,boolean,yes;no;unsure,if_no_emergency_safety,2,False,4,LANG_REV_EN_001,REV842
Q000050_hi,QG000017,NAR000007_EN,safe_place_available,hi,"Domestic dispute Apartment par 21:31 ke aas-paas ke sandarbh mein, Kya aap abhi surakshit jagah par hain?",TPL_SAFE_PLACE_AVAILABLE,yes_no,2,Guides immediate safety planning.,normal,True,NONE,boolean,yes;no;unsure,if_no_emergency_safety,2,False,4,LANG_REV_HI_001,REV842
Q000051_hiLatn,QG000017,NAR000007_EN,safe_place_available,hi-Latn,"Domestic dispute Apartment par 21:31 ke aas-paas ke context mein, Kya aap abhi safe place par ho?",TPL_SAFE_PLACE_AVAILABLE,yes_no,2,Guides immediate safety planning.,normal,True,NONE,boolean,yes;no;unsure,if_no_emergency_safety,2,False,4,LANG_REV_HI_001,REV842
Q000052_en,QG000018,NAR000007_EN,medical_help_status,en,"For the domestic dispute at Apartment around 21:31, have you received or requested medical help?",TPL_MEDICAL_HELP_STATUS,yes_no,2,Controls medical escalation.,highly sensitive,True,NONE,boolean,yes;no;needed;unsure,if_needed_seek_urgent_help,2,False,4,LANG_REV_EN_001,REV842
Q000053_hi,QG000018,NAR000007_EN,medical_help_status,hi,"Domestic dispute Apartment par 21:31 ke aas-paas ke sandarbh mein, Kya aapne medical help li ya maangi hai?",TPL_MEDICAL_HELP_STATUS,yes_no,2,Controls medical escalation.,highly sensitive,True,NONE,boolean,yes;no;needed;unsure,if_needed_seek_urgent_help,2,False,4,LANG_REV_HI_001,REV842
Q000054_hiLatn,QG000018,NAR000007_EN,medical_help_status,hi-Latn,"Domestic dispute Apartment par 21:31 ke aas-paas ke context mein, Kya aapne medical help li ya request ki?",TPL_MEDICAL_HELP_STATUS,yes_no,2,Controls medical escalation.,highly sensitive,True,NONE,boolean,yes;no;needed;unsure,if_needed_seek_urgent_help,2,False,4,LANG_REV_HI_001,REV842
Q000055_en,QG000019,NAR000008_EN,property_type,en,"For the tenant-landlord conflict at Shop around 09:08, what property is involved, and what type of property is it?",TPL_PROPERTY_TYPE,open_text,1,Identifies disputed property.,normal,False,NONE,text,NONE,if_vehicle_ask_vehicle_number,1,False,5,LANG_REV_EN_001,REV220
Q000056_hi,QG000019,NAR000008_EN,property_type,hi,"Tenant-landlord conflict Shop par 09:08 ke aas-paas ke sandarbh mein, Kaunsi sampatti judi hai, aur woh kis prakar ki hai?",TPL_PROPERTY_TYPE,open_text,1,Identifies disputed property.,normal,False,NONE,text,NONE,if_vehicle_ask_vehicle_number,1,False,5,LANG_REV_HI_001,REV220
Q000057_hiLatn,QG000019,NAR000008_EN,property_type,hi-Latn,"Tenant-landlord conflict Shop par 09:08 ke aas-paas ke context mein, Kaunsi property involved hai, aur uska type kya hai?",TPL_PROPERTY_TYPE,open_text,1,Identifies disputed property.,normal,False,NONE,text,NONE,if_vehicle_ask_vehicle_number,1,False,5,LANG_REV_HI_001,REV220
Q000058_en,QG000020,NAR000008_EN,ownership_documents,en,"For the tenant-landlord conflict at Shop around 09:08, what ownership, tenancy, inheritance, or title documents do you have?",TPL_OWNERSHIP_DOCUMENTS,open_text,1,Establishes legal basis of claim.,sensitive,False,NONE,text,NONE,if_available_collect_document_type,1,False,5,LANG_REV_EN_001,REV220
Q000059_hi,QG000020,NAR000008_EN,ownership_documents,hi,"Tenant-landlord conflict Shop par 09:08 ke aas-paas ke sandarbh mein, Aapke paas kaunse ownership, kirayedari, virasat ya title dastavej hain?",TPL_OWNERSHIP_DOCUMENTS,open_text,1,Establishes legal basis of claim.,sensitive,False,NONE,text,NONE,if_available_collect_document_type,1,False,5,LANG_REV_HI_001,REV220
Q000060_hiLatn,QG000020,NAR000008_EN,ownership_documents,hi-Latn,"Tenant-landlord conflict Shop par 09:08 ke aas-paas ke context mein, Aapke paas kaunse ownership/tenancy/inheritance/title documents hain?",TPL_OWNERSHIP_DOCUMENTS,open_text,1,Establishes legal basis of claim.,sensitive,False,NONE,text,NONE,if_available_collect_document_type,1,False,5,LANG_REV_HI_001,REV220
Q000061_en,QG000021,NAR000008_EN,current_possession,en,"For the tenant-landlord conflict at Shop around 09:08, who currently has possession or access to the property?",TPL_CURRENT_POSSESSION,open_text,2,Key for property remedy.,normal,False,NONE,text,NONE,NONE,2,False,5,LANG_REV_EN_001,REV220
Q000062_hi,QG000021,NAR000008_EN,current_possession,hi,"Tenant-landlord conflict Shop par 09:08 ke aas-paas ke sandarbh mein, Property par abhi kabza ya access kiske paas hai?",TPL_CURRENT_POSSESSION,open_text,2,Key for property remedy.,normal,False,NONE,text,NONE,NONE,2,False,5,LANG_REV_HI_001,REV220
Q000063_hiLatn,QG000021,NAR000008_EN,current_possession,hi-Latn,"Tenant-landlord conflict Shop par 09:08 ke aas-paas ke context mein, Property ka current possession ya access kiske paas hai?",TPL_CURRENT_POSSESSION,open_text,2,Key for property remedy.,normal,False,NONE,text,NONE,NONE,2,False,5,LANG_REV_HI_001,REV220
Q000064_en,QG000022,NAR000009_EN,product_or_service,en,"For the overcharging and hidden fees at Restaurant around 04:50, what exact product or service is disputed?",TPL_PRODUCT_OR_SERVICE,open_text,1,Defines subject of consumer dispute.,normal,False,NONE,text,NONE,if_product_ask_purchase_proof,1,False,5,LANG_REV_EN_001,REV887
Q000065_hi,QG000022,NAR000009_EN,product_or_service,hi,"Overcharging and hidden fees Restaurant par 04:50 ke aas-paas ke sandarbh mein, Kaunsa exact product ya service dispute mein hai?",TPL_PRODUCT_OR_SERVICE,open_text,1,Defines subject of consumer dispute.,normal,False,NONE,text,NONE,if_product_ask_purchase_proof,1,False,5,LANG_REV_HI_001,REV887
Q000066_hiLatn,QG000022,NAR000009_EN,product_or_service,hi-Latn,"Overcharging and hidden fees Restaurant par 04:50 ke aas-paas ke context mein, Kaunsa exact product ya service disputed hai?",TPL_PRODUCT_OR_SERVICE,open_text,1,Defines subject of consumer dispute.,normal,False,NONE,text,NONE,if_product_ask_purchase_proof,1,False,5,LANG_REV_HI_001,REV887
Q000067_en,QG000023,NAR000009_EN,payment_information,en,"For the overcharging and hidden fees at Restaurant around 04:50, what payment, bill, invoice, or charge details do you have?",TPL_PAYMENT_INFORMATION,open_text,2,Supports refund and deficiency claim.,sensitive,False,NONE,text,NONE,if_amount_known_ask_proof,2,False,5,LANG_REV_EN_001,REV887
Q000068_hi,QG000023,NAR000009_EN,payment_information,hi,"Overcharging and hidden fees Restaurant par 04:50 ke aas-paas ke sandarbh mein, Aapke paas payment, bill, invoice ya charge ka kya vivaran hai?",TPL_PAYMENT_INFORMATION,open_text,2,Supports refund and deficiency claim.,sensitive,False,NONE,text,NONE,if_amount_known_ask_proof,2,False,5,LANG_REV_HI_001,REV887
Q000069_hiLatn,QG000023,NAR000009_EN,payment_information,hi-Latn,"Overcharging and hidden fees Restaurant par 04:50 ke aas-paas ke context mein, Payment, bill, invoice ya charge details kya hain?",TPL_PAYMENT_INFORMATION,open_text,2,Supports refund and deficiency claim.,sensitive,False,NONE,text,NONE,if_amount_known_ask_proof,2,False,5,LANG_REV_HI_001,REV887
Q000070_en,QG000024,NAR000009_EN,evidence_available,en,"For the overcharging and hidden fees at Restaurant around 04:50, what evidence do you have for this incident?",TPL_EVIDENCE_AVAILABLE,open_text,3,Improves complaint strength.,sensitive,True,NONE,text,NONE,if_available_ask_evidence_type,3,False,4,LANG_REV_EN_001,REV887
Q000071_hi,QG000024,NAR000009_EN,evidence_available,hi,"Overcharging and hidden fees Restaurant par 04:50 ke aas-paas ke sandarbh mein, Is ghatna ke liye aapke paas kya saboot hai?",TPL_EVIDENCE_AVAILABLE,open_text,3,Improves complaint strength.,sensitive,True,NONE,text,NONE,if_available_ask_evidence_type,3,False,4,LANG_REV_HI_001,REV887
Q000072_hiLatn,QG000024,NAR000009_EN,evidence_available,hi-Latn,"Overcharging and hidden fees Restaurant par 04:50 ke aas-paas ke context mein, Is incident ke liye aapke paas kya evidence hai?",TPL_EVIDENCE_AVAILABLE,open_text,3,Improves complaint strength.,sensitive,True,NONE,text,NONE,if_available_ask_evidence_type,3,False,4,LANG_REV_HI_001,REV887
Q000073_en,QG000025,NAR000010_EN,institution_notified,en,"For the credit card cloning at Shop around 09:18, have you notified the bank, platform, employer, insurer, or other institution?",TPL_INSTITUTION_NOTIFIED,yes_no,3,Affects next escalation.,normal,True,NONE,boolean,yes;no;attempted;unsure,if_no_ask_which_institution,3,False,4,LANG_REV_EN_001,REV622
Q000074_hi,QG000025,NAR000010_EN,institution_notified,hi,"Credit card cloning Shop par 09:18 ke aas-paas ke sandarbh mein, Kya aapne bank, platform, employer, insurer ya kisi sanstha ko suchit kiya hai?",TPL_INSTITUTION_NOTIFIED,yes_no,3,Affects next escalation.,normal,True,NONE,boolean,yes;no;attempted;unsure,if_no_ask_which_institution,3,False,4,LANG_REV_HI_001,REV622
Q000075_hiLatn,QG000025,NAR000010_EN,institution_notified,hi-Latn,"Credit card cloning Shop par 09:18 ke aas-paas ke context mein, Kya bank/platform/employer/insurer ya institution ko notify kiya hai?",TPL_INSTITUTION_NOTIFIED,yes_no,3,Affects next escalation.,normal,True,NONE,boolean,yes;no;attempted;unsure,if_no_ask_which_institution,3,False,4,LANG_REV_HI_001,REV622
Q000076_en,QG000026,NAR000011_EN,threat_or_attack_description,en,"For the online harassment & threats at Social media around 17:56, what exactly was said or done to threaten or attack you?",TPL_THREAT_OR_ATTACK_DESCRIPTION,open_text,1,Determines emergency risk and offence type.,highly sensitive,False,NONE,text,NONE,if_immediate_danger_call_emergency,1,False,5,LANG_REV_EN_001,REV751
Q000077_hi,QG000026,NAR000011_EN,threat_or_attack_description,hi,"Online harassment & threats Social media par 17:56 ke aas-paas ke sandarbh mein, Aapko dhamkane ya attack karne ke liye theek kya kaha ya kiya gaya?",TPL_THREAT_OR_ATTACK_DESCRIPTION,open_text,1,Determines emergency risk and offence type.,highly sensitive,False,NONE,text,NONE,if_immediate_danger_call_emergency,1,False,5,LANG_REV_HI_001,REV751
