slot_annotation_id,narrative_id,incident_schema,slot_name,slot_description,slot_status,extracted_value,normalised_value,linked_entity_ids,linked_event_ids,mandatory_for_schema,priority,sensitivity,reason_required,question_required,contradiction_id,annotator_id,reviewer_id
SLOT000011,NAR000001_EN,consumer_disputes,loss_or_harm,Financial or service harm suffered,provided,"When I asked the manager to fix it or give my money back, they were super rude and completely brushed me off","when i asked the manager to fix it or give my money back, they were super rude and completely brushed me off",NONE,EVT000001_001;EVT000001_002,True,2,normal,Shows consumer injury or deficiency.,False,NONE,SLOT_ANN_001,REV849
SLOT000012,NAR000001_EN,consumer_disputes,prior_resolution_attempt,Any earlier complaint or escalation to merchant,provided,"When I asked the manager to fix it or give my money back, they were super rude and completely brushed me off","when i asked the manager to fix it or give my money back, they were super rude and completely brushed me off",NONE,EVT000001_001;EVT000001_002,False,4,normal,Affects escalation path.,False,NONE,SLOT_ANN_001,REV849
SLOT000013,NAR000002_EN,miscellaneous,incident_date,Date or relative date when the incident happened,provided,2026-07-17,2026-07-17,NONE,EVT000002_001;EVT000002_002,True,1,normal,Establishes limitation periods and timeline.,False,NONE,SLOT_ANN_001,REV549
SLOT000014,NAR000002_EN,miscellaneous,incident_time,Time or approximate time of the incident,provided,23:20,23:20,NONE,EVT000002_001;EVT000002_002,True,2,normal,Helps sequence events and corroborate evidence.,False,NONE,SLOT_ANN_001,REV549
SLOT000015,NAR000002_EN,miscellaneous,incident_location,"Place, platform, or setting where the incident occurred",provided,Residential street,residential street,NONE,EVT000002_001;EVT000002_002,True,1,normal,Determines jurisdiction and immediate response route.,False,NONE,SLOT_ANN_001,REV549
SLOT000016,NAR000002_EN,miscellaneous,current_safety_risk,Whether anyone is currently in danger,provided,no immediate danger stated,no_current_danger_stated,NONE,EVT000002_001;EVT000002_002,True,1,highly sensitive,Controls emergency escalation and safety guidance.,False,NONE,SLOT_ANN_001,REV549
SLOT000017,NAR000002_EN,miscellaneous,police_reporting_status,Whether police or authorities were contacted,provided,yes,yes,NONE,EVT000002_001;EVT000002_002,False,3,normal,Determines next procedural step and complaint history.,False,NONE,SLOT_ANN_001,REV549
SLOT000018,NAR000002_EN,miscellaneous,civic_issue_type,"Noise, nuisance, lost item, infrastructure, animal hazard, or similar issue",provided,Noise pollution grievance,noise pollution grievance,NONE,EVT000002_001;EVT000002_002,True,1,normal,Routes to correct civic or police authority.,False,NONE,SLOT_ANN_001,REV549
SLOT000019,NAR000002_EN,miscellaneous,public_place_or_area,"Street, park, road, locality, or other place affected",provided,Residential street,residential street,NONE,EVT000002_001;EVT000002_002,True,1,normal,Determines jurisdiction and field response.,False,NONE,SLOT_ANN_001,REV549
SLOT000020,NAR000002_EN,miscellaneous,risk_to_public,"Hazard, nuisance, obstruction, or safety risk to public",partially_provided,not stated as ongoing,not_stated_as_ongoing,NONE,EVT000002_001;EVT000002_002,True,2,normal,Determines urgency.,True,NONE,SLOT_ANN_001,REV549
SLOT000021,NAR000002_EN,miscellaneous,item_or_property_affected,"Lost item, public property, or affected property",optional,not stated,not_stated,NONE,EVT000002_001;EVT000002_002,False,3,normal,Clarifies complaint substance.,True,NONE,SLOT_ANN_001,REV549
SLOT000022,NAR000002_EN,miscellaneous,authority_to_contact,"Municipality, police, traffic, or other authority",optional,not stated,not_stated,NONE,EVT000002_001;EVT000002_002,False,3,normal,Guides filing route.,True,NONE,SLOT_ANN_001,REV549
SLOT000023,NAR000002_EN,miscellaneous,evidence_available,"Photos, witness, location proof, or report details",optional,not stated,not_stated,NONE,EVT000002_001;EVT000002_002,False,4,sensitive,Supports action by authority.,False,NONE,SLOT_ANN_001,REV549
SLOT000024,NAR000002_EN,miscellaneous,recurrence_pattern,Whether the issue is ongoing or repeated,provided,repeated or ongoing pattern indicated,ongoing_or_repeated,NONE,EVT000002_001;EVT000002_002,False,4,normal,Affects escalation priority.,False,NONE,SLOT_ANN_001,REV549
SLOT000025,NAR000003_EN,traffic_road_incidents,incident_date,Date or relative date when the incident happened,provided,2023-01-07,2023-01-07,NONE,EVT000003_001;EVT000003_002,True,1,normal,Establishes limitation periods and timeline.,False,NONE,SLOT_ANN_001,REV328
SLOT000026,NAR000003_EN,traffic_road_incidents,incident_time,Time or approximate time of the incident,provided,06:27,06:27,NONE,EVT000003_001;EVT000003_002,True,2,normal,Helps sequence events and corroborate evidence.,False,NONE,SLOT_ANN_001,REV328
SLOT000027,NAR000003_EN,traffic_road_incidents,incident_location,"Place, platform, or setting where the incident occurred",provided,Highway,highway,NONE,EVT000003_001;EVT000003_002,True,1,normal,Determines jurisdiction and immediate response route.,False,NONE,SLOT_ANN_001,REV328
SLOT000028,NAR000003_EN,traffic_road_incidents,current_safety_risk,Whether anyone is currently in danger,provided,no immediate danger stated,no_current_danger_stated,NONE,EVT000003_001;EVT000003_002,True,1,highly sensitive,Controls emergency escalation and safety guidance.,False,NONE,SLOT_ANN_001,REV328
SLOT000029,NAR000003_EN,traffic_road_incidents,police_reporting_status,Whether police or authorities were contacted,provided,yes,yes,NONE,EVT000003_001;EVT000003_002,False,3,normal,Determines next procedural step and complaint history.,False,NONE,SLOT_ANN_001,REV328
SLOT000030,NAR000003_EN,traffic_road_incidents,vehicle_details,"Vehicle type, registration, or identifying description",partially_provided,Highway,highway,NONE,EVT000003_001;EVT000003_002,True,1,sensitive,Needed for motor accident or traffic complaint.,True,NONE,SLOT_ANN_001,REV328
SLOT000031,NAR000003_EN,traffic_road_incidents,driver_conduct,"Drunk, reckless, signal violation, hit-and-run, or obstruction conduct",provided,Drunk driving accident,drunk driving accident,NONE,EVT000003_001;EVT000003_002,True,1,normal,Defines offence and urgency.,False,NONE,SLOT_ANN_001,REV328
SLOT000032,NAR000003_EN,traffic_road_incidents,injury_details,Whether anyone was injured,provided,injury or medical impact indicated,injury_indicated,NONE,EVT000003_001;EVT000003_002,True,1,highly sensitive,Controls medical escalation.,False,NONE,SLOT_ANN_001,REV328
SLOT000033,NAR000003_EN,traffic_road_incidents,property_damage,Vehicle or other property damage,provided,The collision or blockage led to structural vehicular property damage and caused a severe traffic bottleneck requiring immediate clearing,the collision or blockage led to structural vehicular property damage and caused a severe traffic bottleneck requiring immediate clearing,NONE,EVT000003_001;EVT000003_002,True,2,normal,Needed for claim and complaint.,False,NONE,SLOT_ANN_001,REV328
SLOT000034,NAR000003_EN,traffic_road_incidents,road_location,"Road, highway, alleyway, or signal location",provided,Highway,highway,NONE,EVT000003_001;EVT000003_002,True,1,normal,Determines jurisdiction and evidence.,False,NONE,SLOT_ANN_001,REV328
SLOT000035,NAR000003_EN,traffic_road_incidents,offending_vehicle_left,Whether driver fled or remained,optional,not stated,not stated,NONE,EVT000003_001;EVT000003_002,False,2,normal,Important for hit-and-run.,True,NONE,SLOT_ANN_001,REV328
SLOT000036,NAR000003_EN,traffic_road_incidents,traffic_obstruction,Whether collision/blockage caused traffic obstruction,provided,The collision or blockage led to structural vehicular property damage and caused a severe traffic bottleneck requiring immediate clearing,the collision or blockage led to structural vehicular property damage and caused a severe traffic bottleneck requiring immediate clearing,NONE,EVT000003_001;EVT000003_002,False,3,normal,Affects civic/emergency response.,False,NONE,SLOT_ANN_001,REV328
SLOT000037,NAR000003_EN,traffic_road_incidents,insurance_or_claim_status,Whether insurance or compensation process is mentioned,optional,not stated,not_stated,NONE,EVT000003_001;EVT000003_002,False,4,sensitive,Guides next claims step.,False,NONE,SLOT_ANN_001,REV328
SLOT000038,NAR000004_EN,consumer_disputes,incident_date,Date or relative date when the incident happened,provided,today,2023-01-11,NAR000004_EN_E001,EVT000004_001;EVT000004_002,True,1,normal,Establishes limitation periods and timeline.,False,NONE,SLOT_ANN_001,REV705
SLOT000039,NAR000004_EN,consumer_disputes,incident_time,Time or approximate time of the incident,provided,07:45,07:45,NONE,EVT000004_001;EVT000004_002,True,2,normal,Helps sequence events and corroborate evidence.,False,NONE,SLOT_ANN_001,REV705
SLOT000040,NAR000004_EN,consumer_disputes,incident_location,"Place, platform, or setting where the incident occurred",provided,Showroom,showroom,NONE,EVT000004_001;EVT000004_002,True,1,normal,Determines jurisdiction and immediate response route.,False,NONE,SLOT_ANN_001,REV705
SLOT000041,NAR000004_EN,consumer_disputes,current_safety_risk,Whether anyone is currently in danger,provided,no immediate danger stated,no_current_danger_stated,NONE,EVT000004_001;EVT000004_002,True,1,highly sensitive,Controls emergency escalation and safety guidance.,False,NONE,SLOT_ANN_001,REV705
SLOT000042,NAR000004_EN,consumer_disputes,police_reporting_status,Whether police or authorities were contacted,provided,no,no,NONE,EVT000004_001;EVT000004_002,False,3,normal,Determines next procedural step and complaint history.,False,NONE,SLOT_ANN_001,REV705
SLOT000043,NAR000004_EN,consumer_disputes,merchant_identity,"Shop, platform, seller, or service provider involved",provided,Showroom,showroom,NONE,EVT000004_001;EVT000004_002,True,1,normal,Needed for consumer complaint notice.,False,NONE,SLOT_ANN_001,REV705
SLOT000044,NAR000004_EN,consumer_disputes,product_or_service,Product or service purchased or disputed,partially_provided,False advertising and misrepresentation,false advertising and misrepresentation,NONE,EVT000004_001;EVT000004_002,True,1,normal,Defines subject of consumer dispute.,True,NONE,SLOT_ANN_001,REV705
SLOT000045,NAR000004_EN,consumer_disputes,payment_information,"Whether payment, bill, invoice, or charge is described",provided,they completely cheated me on the transaction and refused a refund,they completely cheated me on the transaction and refused a refund,NONE,EVT000004_001;EVT000004_002,True,2,sensitive,Supports refund and deficiency claim.,False,NONE,SLOT_ANN_001,REV705
SLOT000046,NAR000004_EN,consumer_disputes,refund_or_remedy_requested,"Whether user requested refund, replacement, or fix",provided,they completely cheated me on the transaction and refused a refund,they completely cheated me on the transaction and refused a refund,NONE,EVT000004_001;EVT000004_002,True,2,normal,Shows prior attempt to resolve dispute.,False,NONE,SLOT_ANN_001,REV705
SLOT000047,NAR000004_EN,consumer_disputes,evidence_available,"Invoice, photo, proof, or other evidence",optional,not stated,not_stated,NONE,EVT000004_001;EVT000004_002,False,3,sensitive,Improves complaint strength.,True,NONE,SLOT_ANN_001,REV705
SLOT000048,NAR000004_EN,consumer_disputes,loss_or_harm,Financial or service harm suffered,provided,they completely cheated me on the transaction and refused a refund,they completely cheated me on the transaction and refused a refund,NONE,EVT000004_001;EVT000004_002,True,2,normal,Shows consumer injury or deficiency.,False,NONE,SLOT_ANN_001,REV705
SLOT000049,NAR000004_EN,consumer_disputes,prior_resolution_attempt,Any earlier complaint or escalation to merchant,provided,they completely cheated me on the transaction and refused a refund,they completely cheated me on the transaction and refused a refund,NONE,EVT000004_001;EVT000004_002,False,4,normal,Affects escalation path.,False,NONE,SLOT_ANN_001,REV705
SLOT000050,NAR000005_EN,cybercrime,incident_date,Date or relative date when the incident happened,provided,2023-01-12,2023-01-12,NONE,EVT000005_001;EVT000005_002,True,1,normal,Establishes limitation periods and timeline.,False,NONE,SLOT_ANN_001,REV537
SLOT000051,NAR000005_EN,cybercrime,incident_time,Time or approximate time of the incident,provided,17:10,17:10,NONE,EVT000005_001;EVT000005_002,True,2,normal,Helps sequence events and corroborate evidence.,False,NONE,SLOT_ANN_001,REV537
SLOT000052,NAR000005_EN,cybercrime,incident_location,"Place, platform, or setting where the incident occurred",provided,Online platform,online platform,NONE,EVT000005_001;EVT000005_002,True,1,normal,Determines jurisdiction and immediate response route.,False,NONE,SLOT_ANN_001,REV537
SLOT000053,NAR000005_EN,cybercrime,current_safety_risk,Whether anyone is currently in danger,provided,no immediate danger stated,no_current_danger_stated,NONE,EVT000005_001;EVT000005_002,True,1,highly sensitive,Controls emergency escalation and safety guidance.,False,NONE,SLOT_ANN_001,REV537
SLOT000054,NAR000005_EN,cybercrime,police_reporting_status,Whether police or authorities were contacted,provided,yes,yes,NONE,EVT000005_001;EVT000005_002,False,3,normal,Determines next procedural step and complaint history.,False,NONE,SLOT_ANN_001,REV537
SLOT000055,NAR000005_EN,cybercrime,digital_platform,"Account, app, website, or platform involved",provided,Online platform,online platform,NONE,EVT000005_001;EVT000005_002,True,1,sensitive,Identifies attack surface and reporting channel.,False,NONE,SLOT_ANN_001,REV537
SLOT000056,NAR000005_EN,cybercrime,account_or_device_access,Whether account/device access was lost or misused,provided,Social media hacking,social media hacking,NONE,EVT000005_001;EVT000005_002,True,1,highly sensitive,Controls urgent account-security steps.,False,NONE,SLOT_ANN_001,REV537
SLOT000057,NAR000005_EN,cybercrime,fraudulent_action,"Unauthorised login, transfer, hacking, stalking, or malware action",provided,Social media hacking,social media hacking,NONE,EVT000005_001;EVT000005_002,True,1,highly sensitive,Defines cyber offence pattern.,False,NONE,SLOT_ANN_001,REV537
SLOT000058,NAR000005_EN,cybercrime,financial_loss,Money or balance loss mentioned,provided,loss indicated,loss indicated,NONE,EVT000005_001;EVT000005_002,False,2,sensitive,Needed for bank/cyber portal reporting.,False,NONE,SLOT_ANN_001,REV537
SLOT000059,NAR000005_EN,cybercrime,digital_evidence,"Logs, messages, screenshots, emails, or links",optional,not stated,not_stated,NONE,EVT000005_001;EVT000005_002,False,3,sensitive,Preserves proof for complaint.,True,NONE,SLOT_ANN_001,REV537
SLOT000060,NAR000005_EN,cybercrime,suspect_or_sender_identity,"Known attacker, handle, phone, or sender detail",partially_provided,unknown or unidentified party,unknown_party,NONE,EVT000005_001;EVT000005_002,False,3,highly sensitive,Supports investigation while protecting privacy.,False,NONE,SLOT_ANN_001,REV537
SLOT000061,NAR000005_EN,cybercrime,security_steps_taken,"Password reset, account freeze, bank notification, or similar step",optional,not stated,not_stated,NONE,EVT000005_001;EVT000005_002,False,3,normal,Guides immediate mitigation.,True,NONE,SLOT_ANN_001,REV537
SLOT000062,NAR000005_EN,cybercrime,ongoing_access_risk,Whether the threat is still active,partially_provided,not stated as ongoing,not_stated_as_ongoing,NONE,EVT000005_001;EVT000005_002,True,1,highly sensitive,Determines urgent containment advice.,True,NONE,SLOT_ANN_001,REV537
SLOT000063,NAR000006_EN,employment_labour,incident_date,Date or relative date when the incident happened,provided,2023-01-16,2023-01-16,NONE,EVT000006_001;EVT000006_002,True,1,normal,Establishes limitation periods and timeline.,False,NONE,SLOT_ANN_001,REV242
SLOT000064,NAR000006_EN,employment_labour,incident_time,Time or approximate time of the incident,provided,21:28,21:28,NONE,EVT000006_001;EVT000006_002,True,2,normal,Helps sequence events and corroborate evidence.,False,NONE,SLOT_ANN_001,REV242
SLOT000065,NAR000006_EN,employment_labour,incident_location,"Place, platform, or setting where the incident occurred",provided,Workplace,workplace,NONE,EVT000006_001;EVT000006_002,True,1,normal,Determines jurisdiction and immediate response route.,False,NONE,SLOT_ANN_001,REV242
SLOT000066,NAR000006_EN,employment_labour,current_safety_risk,Whether anyone is currently in danger,provided,no immediate danger stated,no_current_danger_stated,NONE,EVT000006_001;EVT000006_002,True,1,highly sensitive,Controls emergency escalation and safety guidance.,False,NONE,SLOT_ANN_001,REV242
SLOT000067,NAR000006_EN,employment_labour,police_reporting_status,Whether police or authorities were contacted,provided,no,no,NONE,EVT000006_001;EVT000006_002,False,3,normal,Determines next procedural step and complaint history.,False,NONE,SLOT_ANN_001,REV242
SLOT000068,NAR000006_EN,employment_labour,employer_identity,"Employer, HR, management, or workplace identity",provided,Workplace,workplace,NONE,EVT000006_001;EVT000006_002,True,1,sensitive,Needed for labour complaint or notice.,False,NONE,SLOT_ANN_001,REV242
SLOT000069,NAR000006_EN,employment_labour,employment_issue,"Termination, wages, harassment, contract breach, or safety issue",provided,Safe working conditions violation,safe working conditions violation,NONE,EVT000006_001;EVT000006_002,True,1,normal,Defines legal route.,False,NONE,SLOT_ANN_001,REV242
SLOT000070,NAR000006_EN,employment_labour,employment_documents,"Contract, payslip, email, payroll, attendance, or logs",optional,not stated,not_stated,NONE,EVT000006_001;EVT000006_002,False,2,sensitive,Supports labour claim.,True,NONE,SLOT_ANN_001,REV242
SLOT000071,NAR000006_EN,employment_labour,wage_or_benefit_amount,"Unpaid wage, benefit, compensation, or monetary value",optional,not stated,not stated,NONE,EVT000006_001;EVT000006_002,False,2,sensitive,Quantifies claim.,True,NONE,SLOT_ANN_001,REV242
SLOT000072,NAR000006_EN,employment_labour,date_of_employer_action,"Date/time of termination, harassment, or violation",provided,2023-01-16,2023-01-16,NONE,EVT000006_001;EVT000006_002,True,2,normal,Supports limitation and timeline.,False,NONE,SLOT_ANN_001,REV242
SLOT000073,NAR000006_EN,employment_labour,internal_complaint_status,Whether HR or management was approached,provided,The observer witnessed an intense disagreement between the management and an employee inside the workplace around 21:28,the observer witnessed an intense disagreement between the management and an employee inside the workplace around 21:28,NONE,EVT000006_001;EVT000006_002,False,3,normal,Shows exhaustion of internal process.,False,NONE,SLOT_ANN_001,REV242
SLOT000074,NAR000006_EN,employment_labour,safety_risk_at_work,Any current workplace safety risk,partially_provided,not stated as ongoing,not_stated_as_ongoing,NONE,EVT000006_001;EVT000006_002,False,2,highly sensitive,Controls urgent safety guidance.,False,NONE,SLOT_ANN_001,REV242
SLOT000075,NAR000006_EN,employment_labour,workers_affected,Whether others are affected,partially_provided,other worker impact indicated,multiple_workers_possible,NONE,EVT000006_001;EVT000006_002,False,4,normal,May affect collective complaint route.,False,NONE,SLOT_ANN_001,REV242
SLOT000076,NAR000007_EN,assault_threats,incident_date,Date or relative date when the incident happened,provided,2023-01-18,2023-01-18,NONE,EVT000007_001;EVT000007_002,True,1,normal,Establishes limitation periods and timeline.,False,NONE,SLOT_ANN_001,REV842
SLOT000077,NAR000007_EN,assault_threats,incident_time,Time or approximate time of the incident,provided,21:31,21:31,NONE,EVT000007_001;EVT000007_002,True,2,normal,Helps sequence events and corroborate evidence.,False,NONE,SLOT_ANN_001,REV842
SLOT000078,NAR000007_EN,assault_threats,incident_location,"Place, platform, or setting where the incident occurred",provided,Apartment,apartment,NONE,EVT000007_001;EVT000007_002,True,1,normal,Determines jurisdiction and immediate response route.,False,NONE,SLOT_ANN_001,REV842
SLOT000079,NAR000007_EN,assault_threats,current_safety_risk,Whether anyone is currently in danger,provided,risk indicated,risk_present,NONE,EVT000007_001;EVT000007_002,True,1,highly sensitive,Controls emergency escalation and safety guidance.,False,NONE,SLOT_ANN_001,REV842
SLOT000080,NAR000007_EN,assault_threats,police_reporting_status,Whether police or authorities were contacted,provided,no,no,NONE,EVT000007_001;EVT000007_002,False,3,normal,Determines next procedural step and complaint history.,False,NONE,SLOT_ANN_001,REV842
SLOT000081,NAR000007_EN,assault_threats,threat_or_attack_description,"Words, conduct, or physical act reported",missing,not stated,not_stated,NONE,EVT000007_001;EVT000007_002,True,1,highly sensitive,Determines emergency risk and offence type.,True,NONE,SLOT_ANN_001,REV842
SLOT000082,NAR000007_EN,assault_threats,injury_details,Any injury or bodily harm,missing,not stated,not_stated,NONE,EVT000007_001;EVT000007_002,True,1,highly sensitive,Determines medical and legal urgency.,True,NONE,SLOT_ANN_001,REV842
SLOT000083,NAR000007_EN,assault_threats,weapon_mentioned,Whether a weapon is mentioned,provided,threat or intimidation indicated,threat_indicated,NONE,EVT000007_001;EVT000007_002,True,1,highly sensitive,Affects immediate danger assessment.,False,NONE,SLOT_ANN_001,REV842
SLOT000084,NAR000007_EN,assault_threats,alleged_offender_identity,Known or unknown alleged offender detail,partially_provided,hr,hr,NONE,EVT000007_001;EVT000007_002,False,2,sensitive,Supports protective action and complaint.,False,NONE,SLOT_ANN_001,REV842
SLOT000085,NAR000007_EN,assault_threats,witness_available,Whether bystanders or witnesses are mentioned,partially_provided,witness or bystander mentioned,witness_mentioned,NONE,EVT000007_001;EVT000007_002,False,3,sensitive,Supports corroboration.,False,NONE,SLOT_ANN_001,REV842
SLOT000086,NAR000007_EN,assault_threats,safe_place_available,Whether complainant has moved to safety or has support nearby,optional,not stated,not_stated,NONE,EVT000007_001;EVT000007_002,False,2,normal,Guides immediate safety planning.,True,NONE,SLOT_ANN_001,REV842
SLOT000087,NAR000007_EN,assault_threats,ongoing_threat,Whether threat is current or continuing,provided,risk indicated,risk_present,NONE,EVT000007_001;EVT000007_002,True,1,highly sensitive,Controls emergency redirect.,False,NONE,SLOT_ANN_001,REV842
SLOT000088,NAR000007_EN,assault_threats,medical_help_status,Whether medical help was sought or needed,optional,not stated,not_stated,NONE,EVT000007_001;EVT000007_002,False,2,highly sensitive,Controls medical escalation.,True,NONE,SLOT_ANN_001,REV842
SLOT000089,NAR000008_EN,property_disputes,incident_date,Date or relative date when the incident happened,provided,2026-06-22,2026-06-22,NONE,EVT000008_001;EVT000008_002,True,1,normal,Establishes limitation periods and timeline.,False,NONE,SLOT_ANN_001,REV220
SLOT000090,NAR000008_EN,property_disputes,incident_time,Time or approximate time of the incident,provided,09:08,09:08,NONE,EVT000008_001;EVT000008_002,True,2,normal,Helps sequence events and corroborate evidence.,False,NONE,SLOT_ANN_001,REV220
SLOT000091,NAR000008_EN,property_disputes,incident_location,"Place, platform, or setting where the incident occurred",provided,Shop,shop,NONE,EVT000008_001;EVT000008_002,True,1,normal,Determines jurisdiction and immediate response route.,False,NONE,SLOT_ANN_001,REV220
SLOT000092,NAR000008_EN,property_disputes,current_safety_risk,Whether anyone is currently in danger,provided,risk indicated,risk_present,NONE,EVT000008_001;EVT000008_002,True,1,highly sensitive,Controls emergency escalation and safety guidance.,False,NONE,SLOT_ANN_001,REV220
SLOT000093,NAR000008_EN,property_disputes,police_reporting_status,Whether police or authorities were contacted,provided,yes,yes,NONE,EVT000008_001;EVT000008_002,False,3,normal,Determines next procedural step and complaint history.,False,NONE,SLOT_ANN_001,REV220
SLOT000094,NAR000008_EN,property_disputes,property_type,"House, shop, plot, apartment, or other property",partially_provided,Shop,shop,NONE,EVT000008_001;EVT000008_002,True,1,normal,Identifies disputed property.,True,NONE,SLOT_ANN_001,REV220
SLOT000095,NAR000008_EN,property_disputes,ownership_documents,"Sale deed, tenancy papers, inheritance papers, or title proof",partially_provided,Property ownership documents have been submitted for verification,property ownership documents have been submitted for verification,NONE,EVT000008_001;EVT000008_002,True,1,sensitive,Establishes legal basis of claim.,True,NONE,SLOT_ANN_001,REV220
SLOT000096,NAR000008_EN,property_disputes,disputed_action,"Encroachment, boundary alteration, possession, or landlord conflict",provided,Tenant-landlord conflict,tenant-landlord conflict,NONE,EVT000008_001;EVT000008_002,True,1,normal,Defines civil or criminal route.,False,NONE,SLOT_ANN_001,REV220
SLOT000097,NAR000008_EN,property_disputes,opposing_party_identity,"Landlord, tenant, relative, neighbour, or unknown party",partially_provided,tenant,tenant,NONE,EVT000008_001;EVT000008_002,False,2,sensitive,Needed for notice/complaint.,False,NONE,SLOT_ANN_001,REV220
SLOT000098,NAR000008_EN,property_disputes,damage_or_alteration,"Boundary damage, construction, lock change, or possession change",provided,Property ownership documents have been submitted for verification,property ownership documents have been submitted for verification,NONE,EVT000008_001;EVT000008_002,False,2,normal,Shows urgency and relief sought.,False,NONE,SLOT_ANN_001,REV220
SLOT000099,NAR000008_EN,property_disputes,current_possession,Who currently has possession or access,partially_provided,possession or access dispute indicated,possession_or_access_disputed,NONE,EVT000008_001;EVT000008_002,True,2,normal,Key for property remedy.,True,NONE,SLOT_ANN_001,REV220
SLOT000100,NAR000008_EN,property_disputes,local_authority_contacted,"Police, revenue officer, municipal body, or society contacted",provided,yes,yes,NONE,EVT000008_001;EVT000008_002,False,3,normal,Shows escalation history.,False,NONE,SLOT_ANN_001,REV220
SLOT000101,NAR000008_EN,property_disputes,court_or_case_status,"Existing suit, order, notice, or case status",optional,not stated,not_stated,NONE,EVT000008_001;EVT000008_002,False,4,sensitive,Avoids conflicting procedural guidance.,False,NONE,SLOT_ANN_001,REV220
SLOT000102,NAR000009_EN,consumer_disputes,incident_date,Date or relative date when the incident happened,provided,2026-07-05,2026-07-05,NONE,EVT000009_001;EVT000009_002,True,1,normal,Establishes limitation periods and timeline.,False,NONE,SLOT_ANN_001,REV887
SLOT000103,NAR000009_EN,consumer_disputes,incident_time,Time or approximate time of the incident,provided,04:50,04:50,NONE,EVT000009_001;EVT000009_002,True,2,normal,Helps sequence events and corroborate evidence.,False,NONE,SLOT_ANN_001,REV887
SLOT000104,NAR000009_EN,consumer_disputes,incident_location,"Place, platform, or setting where the incident occurred",provided,Restaurant,restaurant,NONE,EVT000009_001;EVT000009_002,True,1,normal,Determines jurisdiction and immediate response route.,False,NONE,SLOT_ANN_001,REV887
SLOT000105,NAR000009_EN,consumer_disputes,current_safety_risk,Whether anyone is currently in danger,provided,no immediate danger stated,no_current_danger_stated,NONE,EVT000009_001;EVT000009_002,True,1,highly sensitive,Controls emergency escalation and safety guidance.,False,NONE,SLOT_ANN_001,REV887
SLOT000106,NAR000009_EN,consumer_disputes,police_reporting_status,Whether police or authorities were contacted,provided,no,no,NONE,EVT000009_001;EVT000009_002,False,3,normal,Determines next procedural step and complaint history.,False,NONE,SLOT_ANN_001,REV887
