classification_id,narrative_id,primary_category,secondary_categories,procedural_intents,user_goal,urgency_class,current_danger,ongoing_incident,medical_emergency,incident_medium,current_or_past,property_involved,threat_involved,injury_involved,weapon_mentioned,minor_involved,police_already_contacted,legal_aid_requested,recommended_route,annotator_1_label,annotator_2_label,adjudicated_label,reviewer_id
CLS000042,NAR000042_EN,Assault & Threats,Physical altercation;Threat of future harm,legal_aid_request;complaint_preparation,Document the assault threat and seek protection,ONGOING_THREAT,False,True,False,physical,past,False,True,False,False,unknown,False,True,incident_preparation,Assault & Threats,Assault & Threats,Assault & Threats,REV745
CLS000043,NAR000043_EN,Theft and robbery,House burglary;Property loss,complaint_preparation;fir_information;legal_aid_request,Prepare a burglary report and property inventory,CASE_PREPARATION,False,False,False,physical,recent,True,False,False,False,unknown,True,True,incident_preparation,Theft and robbery,Theft and robbery,Theft and robbery,REV781
CLS000044,NAR000044_EN,Traffic & Road Incidents,Traffic signal violation dispute;Vehicle damage;Traffic obstruction,emergency_assistance;legal_aid_request,Alert others and obtain help for the road blockage,PROCEDURAL_ASSISTANCE,False,False,False,physical,recent,False,False,False,False,unknown,False,True,incident_preparation,Traffic & Road Incidents,Traffic & Road Incidents,Traffic & Road Incidents,REV971
CLS000045,NAR000045_EN,Assault & Threats,Domestic dispute;Threat of physical harm,emergency_assistance;legal_aid_request,Get immediate safety assistance and protection,EMERGENCY_CURRENT_DANGER,True,True,False,physical,current,True,True,False,False,unknown,False,True,emergency_redirect,Assault & Threats,Assault & Threats,Assault & Threats,REV126
CLS000046,NAR000046_EN,Cybercrime,Social media hacking;Credential compromise,complaint_preparation,Document the cyber intrusion for investigation,CASE_PREPARATION,False,False,False,online,past,False,True,False,False,unknown,False,False,incident_preparation,Cybercrime,Cybercrime,Cybercrime,REV665
CLS000047,NAR000047_EN,Property Disputes,Boundary wall dispute;Property-rights infringement,complaint_preparation;legal_aid_request,File an urgent boundary-dispute complaint,CASE_PREPARATION,False,False,False,physical,recent,True,True,False,False,unknown,False,True,incident_preparation,Property Disputes,Property Disputes,Property Disputes,REV961
CLS000048,NAR000048_EN,Consumer Disputes,Defective product delivery;Merchant refusal,complaint_preparation,Prepare a defective-product complaint,CASE_PREPARATION,False,False,False,physical,recent,True,False,False,False,unknown,True,False,incident_preparation,Consumer Disputes,Consumer Disputes,Consumer Disputes,REV259
CLS000049,NAR000049_EN,Consumer Disputes,Refusal of service refund;Unfair trade practice,complaint_preparation;legal_aid_request,Recover a refused refund and report the platform,CASE_PREPARATION,False,False,False,online,past,True,False,False,False,unknown,True,True,incident_preparation,Consumer Disputes,Consumer Disputes,Consumer Disputes,REV123
CLS000050,NAR000050_EN,Theft and robbery,Armed robbery;Property loss;Physical injury,emergency_assistance;fir_information;legal_aid_request,Report an armed robbery and obtain urgent assistance,CASE_PREPARATION,False,False,False,physical,past,True,True,True,True,unknown,False,True,incident_preparation,Theft and robbery,Theft and robbery,Theft and robbery,REV111
CLS000051,NAR000051_EN,Employment/Labour,Breach of employment contract;Unpaid dues,complaint_preparation;legal_aid_request,Recover employment dues and document the contract breach,CASE_PREPARATION,False,True,False,online,recent,True,False,False,False,unknown,False,True,incident_preparation,Employment/Labour,Employment/Labour,Employment/Labour,REV364
CLS000052,NAR000052_EN,Employment/Labour,Safe working conditions violation;Unpaid dues,complaint_preparation,Document continuing unsafe conditions and withheld dues,CASE_PREPARATION,False,True,False,physical,recent,True,False,True,False,unknown,False,False,incident_preparation,Employment/Labour,Employment/Labour,Employment/Labour,REV930
CLS000053,NAR000053_EN,Consumer Disputes,Defective product delivery;Buyer safety risk,complaint_preparation;legal_aid_request,Escalate an unresolved defective-product complaint,CASE_PREPARATION,False,False,False,physical,past,True,False,False,False,unknown,False,True,incident_preparation,Consumer Disputes,Consumer Disputes,Consumer Disputes,REV931
CLS000054,NAR000054_EN,Theft and robbery,Vehicle theft;Property loss,complaint_preparation;fir_information;legal_aid_request,Prepare a vehicle-theft report and property record,CASE_PREPARATION,False,False,False,physical,recent,True,False,False,False,unknown,True,True,incident_preparation,Theft and robbery,Theft and robbery,Theft and robbery,REV193
CLS000055,NAR000055_EN,Traffic & Road Incidents,Reckless driving confrontation;Vehicle damage;Traffic obstruction,emergency_assistance,Alert responders to an active roadway hazard,EMERGENCY_CURRENT_DANGER,True,True,False,physical,current,True,False,False,False,unknown,False,False,emergency_redirect,Traffic & Road Incidents,Traffic & Road Incidents,Traffic & Road Incidents,REV901
CLS000056,NAR000056_EN,Financial Fraud,Insurance claim fraud;Unauthorized transfers,complaint_preparation;legal_aid_request,Document insurance fraud using transaction records,CASE_PREPARATION,False,False,False,online,past,True,False,False,False,unknown,False,True,incident_preparation,Financial Fraud,Financial Fraud,Financial Fraud,REV227
CLS000057,NAR000057_EN,Domestic Violence,Spousal physical abuse;Property damage;Physical injury,emergency_assistance;complaint_preparation,Obtain immediate protection and medical attention,EMERGENCY_CURRENT_DANGER,True,True,True,physical,current,True,True,True,False,unknown,False,False,emergency_redirect,Domestic Violence,Domestic Violence,Domestic Violence,REV715
CLS000058,NAR000058_EN,Cybercrime,Phishing scam;Account takeover;Fraudulent payment requests,complaint_preparation;legal_aid_request,Contain a compromised account and warn contacts,ONGOING_THREAT,False,True,False,online,current,True,False,False,False,unknown,True,True,incident_preparation,Cybercrime,Cybercrime,Cybercrime,REV583
CLS000059,NAR000059_EN,Cybercrime,Identity theft;Account takeover;Fraudulent payment requests,complaint_preparation;legal_aid_request,Contain identity theft and warn contacts,ONGOING_THREAT,False,True,False,online,current,True,False,False,False,unknown,True,True,incident_preparation,Cybercrime,Cybercrime,Cybercrime,REV725
CLS000060,NAR000060_EN,Cybercrime,Online banking fraud;Credential compromise,complaint_preparation;legal_aid_request,Report the banking breach and secure the account,CASE_PREPARATION,False,False,False,online,past,True,False,False,False,unknown,True,True,incident_preparation,Cybercrime,Cybercrime,Cybercrime,REV648
CLS000061,NAR000061_EN,Consumer Disputes,Overcharging and hidden fees;Merchant refusal,complaint_preparation,Prepare an overcharging complaint,CASE_PREPARATION,False,False,False,physical,past,True,False,False,False,unknown,False,False,incident_preparation,Consumer Disputes,Consumer Disputes,Consumer Disputes,REV830
CLS000062,NAR000062_EN,Cybercrime,Identity theft;Credential theft;Asset misappropriation,complaint_preparation,Report identity theft with preserved digital logs,CASE_PREPARATION,False,False,False,online,past,True,False,False,False,unknown,False,False,incident_preparation,Cybercrime,Cybercrime,Cybercrime,REV305
CLS000063,NAR000063_EN,Family Law,Restitution of conjugal rights;Court-order non-compliance,legal_aid_request;lawyer_handoff,Obtain legal guidance on non-compliance with family-court terms,LEGAL_INFORMATION,False,True,False,physical,past,True,False,False,False,unknown,True,True,quick_query,Family Law,Family Law,Family Law,REV460
CLS000064,NAR000064_EN,Theft and robbery,Online phishing theft;Property loss,complaint_preparation;fir_information,Prepare a phishing-theft report,CASE_PREPARATION,False,False,False,hybrid,recent,True,False,False,False,unknown,True,False,incident_preparation,Theft and robbery,Theft and robbery,Theft and robbery,REV922
CLS000065,NAR000065_EN,Consumer Disputes,Overcharging and hidden fees;Refund refusal,complaint_preparation,Report overcharging and seek a refund,CASE_PREPARATION,False,False,False,physical,past,True,False,False,False,unknown,True,False,incident_preparation,Consumer Disputes,Consumer Disputes,Consumer Disputes,REV802
CLS000066,NAR000066_EN,Theft and robbery,Online phishing theft;Property loss,complaint_preparation;legal_aid_request,Report phishing-related theft and recover losses,CASE_PREPARATION,False,False,False,online,past,True,False,False,False,unknown,False,True,incident_preparation,Theft and robbery,Theft and robbery,Theft and robbery,REV714
CLS000067,NAR000067_EN,Traffic & Road Incidents,Hit and run collision;Physical injury;Vehicle damage,complaint_preparation,Document a hit-and-run collision and injuries,CASE_PREPARATION,False,False,False,physical,past,True,False,True,False,unknown,False,False,incident_preparation,Traffic & Road Incidents,Traffic & Road Incidents,Traffic & Road Incidents,REV127
CLS000068,NAR000068_EN,Traffic & Road Incidents,Illegal parking blockage;Road obstruction;Vehicle damage,complaint_preparation,Report the parking blockage and related damage,CASE_PREPARATION,False,False,False,physical,past,True,False,False,False,unknown,True,False,incident_preparation,Traffic & Road Incidents,Traffic & Road Incidents,Traffic & Road Incidents,REV985
CLS000069,NAR000069_EN,Consumer Disputes,False advertising and misrepresentation;Unfair trade practice,complaint_preparation,Prepare a false-advertising complaint,CASE_PREPARATION,False,False,False,online,recent,True,False,False,False,unknown,True,False,incident_preparation,Consumer Disputes,Consumer Disputes,Consumer Disputes,REV401
CLS000070,NAR000070_EN,Family Law,Child custody dispute;Guardianship dispute,legal_aid_request;lawyer_handoff,Obtain guidance and mediation for a custody dispute,LEGAL_INFORMATION,False,True,False,hybrid,recent,True,False,False,False,True,False,True,quick_query,Family Law,Family Law,Family Law,REV744
CLS000071,NAR000071_EN,Family Law,Alimony and maintenance claim;Child visitation dispute,legal_aid_request;complaint_preparation,Prepare documentation for an active family-court matter,CASE_PREPARATION,False,True,False,online,past,True,False,False,False,True,True,True,incident_preparation,Family Law,Family Law,Family Law,REV233
CLS000072,NAR000072_EN,Assault & Threats,Online harassment & threats;Intimidation,complaint_preparation;legal_aid_request,Document online threats and obtain protective guidance,ONGOING_THREAT,False,True,False,online,recent,False,True,False,False,unknown,False,True,incident_preparation,Assault & Threats,Assault & Threats,Assault & Threats,REV249
CLS000073,NAR000073_EN,Property Disputes,Land encroachment;Boundary damage,complaint_preparation;legal_aid_request,Stop ongoing encroachment and document boundary damage,CASE_PREPARATION,False,True,False,physical,current,True,False,False,False,unknown,True,True,incident_preparation,Property Disputes,Property Disputes,Property Disputes,REV195
CLS000074,NAR000074_EN,Financial Fraud,Insurance claim fraud;Capital diversion,complaint_preparation;legal_aid_request,Prepare a formal insurance-fraud case from audit logs,CASE_PREPARATION,False,False,False,hybrid,past,True,False,False,False,unknown,False,True,incident_preparation,Financial Fraud,Financial Fraud,Financial Fraud,REV876
CLS000075,NAR000075_EN,Property Disputes,Illegal property possession;Threatened physical escalation,complaint_preparation;legal_aid_request,Document illegal possession and prevent escalation,CASE_PREPARATION,False,False,False,physical,past,True,True,False,False,unknown,True,True,incident_preparation,Property Disputes,Property Disputes,Property Disputes,REV851
CLS000076,NAR000076_EN,Theft and robbery,Pickpocketing;Property loss,complaint_preparation;legal_aid_request,Prepare a pickpocketing report and item list,CASE_PREPARATION,False,False,False,physical,past,True,False,False,False,unknown,True,True,incident_preparation,Theft and robbery,Theft and robbery,Theft and robbery,REV233
CLS000077,NAR000077_EN,Family Law,Guardianship dispute;Court-order non-compliance,legal_aid_request;lawyer_handoff,Obtain legal guidance on an ongoing guardianship dispute,LEGAL_INFORMATION,False,True,False,hybrid,recent,True,False,False,False,True,True,True,quick_query,Family Law,Family Law,Family Law,REV536
CLS000078,NAR000078_EN,Domestic Violence,Dowry harassment;Domestic intimidation;Property damage,emergency_assistance;complaint_preparation,Get immediate protection while hiding from the aggressor,EMERGENCY_CURRENT_DANGER,True,True,False,hybrid,current,False,True,False,False,unknown,True,False,emergency_redirect,Domestic Violence,Domestic Violence,Domestic Violence,REV693
CLS000079,NAR000079_EN,Theft and robbery,Chain snatching;Use of force;Property loss,complaint_preparation;legal_aid_request,Prepare a chain-snatching report with witness details,CASE_PREPARATION,False,False,False,physical,recent,True,True,False,False,unknown,True,True,incident_preparation,Theft and robbery,Theft and robbery,Theft and robbery,REV368
CLS000080,NAR000080_EN,Property Disputes,Inheritance property claim;Contested ownership,complaint_preparation;legal_aid_request,Seek mediation for an inheritance-property dispute,CASE_PREPARATION,False,True,False,hybrid,recent,True,True,False,False,unknown,False,True,incident_preparation,Property Disputes,Property Disputes,Property Disputes,REV637
CLS000081,NAR000081_EN,Employment/Labour,Breach of employment contract;Statutory non-compliance,complaint_preparation,File a formal labour grievance,CASE_PREPARATION,False,True,False,online,recent,True,False,False,False,unknown,True,False,incident_preparation,Employment/Labour,Employment/Labour,Employment/Labour,REV188
CLS000082,NAR000082_EN,Property Disputes,Tenant-landlord conflict;Unauthorized occupation;Structural modification,complaint_preparation;legal_aid_request,Prepare a tenant-landlord case for civil review,CASE_PREPARATION,False,False,False,hybrid,past,True,False,False,False,unknown,True,True,incident_preparation,Property Disputes,Property Disputes,Property Disputes,REV401
CLS000083,NAR000083_EN,Traffic & Road Incidents,Illegal parking blockage;Vehicle damage;Traffic obstruction,emergency_assistance;legal_aid_request,Alert responders to an active road obstruction,EMERGENCY_CURRENT_DANGER,True,True,False,physical,current,True,False,False,False,unknown,False,True,emergency_redirect,Traffic & Road Incidents,Traffic & Road Incidents,Traffic & Road Incidents,REV511
CLS000084,NAR000084_EN,Consumer Disputes,False advertising and misrepresentation;Buyer safety risk,complaint_preparation;legal_aid_request,Escalate an unresolved false-advertising claim,CASE_PREPARATION,False,False,False,physical,past,True,False,False,False,unknown,False,True,incident_preparation,Consumer Disputes,Consumer Disputes,Consumer Disputes,REV991
CLS000085,NAR000085_EN,Financial Fraud,Insurance claim fraud;Document fraud;Asset misappropriation,complaint_preparation;legal_aid_request,Prepare a financial-fraud complaint using audit trails,CASE_PREPARATION,False,False,False,online,past,True,False,False,False,unknown,True,True,incident_preparation,Financial Fraud,Financial Fraud,Financial Fraud,REV355
CLS000086,NAR000086_EN,Assault & Threats,Physical altercation;Direct threats;Physical injury,complaint_preparation;legal_aid_request,Document the altercation and request safety measures,ONGOING_THREAT,False,True,False,physical,past,False,True,True,False,unknown,False,True,incident_preparation,Assault & Threats,Assault & Threats,Assault & Threats,REV538
CLS000087,NAR000087_EN,Cybercrime,Phishing scam;Credential theft;Asset misappropriation,complaint_preparation;legal_aid_request,Report phishing with preserved forensic logs,CASE_PREPARATION,False,False,False,online,past,True,False,False,False,unknown,True,True,incident_preparation,Cybercrime,Cybercrime,Cybercrime,REV470
CLS000088,NAR000088_EN,Domestic Violence,Intimate partner violence;Escalating threats,complaint_preparation;legal_aid_request,Obtain protective measures for continuing partner violence,ONGOING_THREAT,False,True,False,physical,past,False,True,False,False,unknown,True,True,incident_preparation,Domestic Violence,Domestic Violence,Domestic Violence,REV703
CLS000089,NAR000089_EN,Financial Fraud,Loan approval scam;Unauthorized transfers,complaint_preparation;legal_aid_request,Document a loan scam and unauthorized transfers,CASE_PREPARATION,False,False,False,online,recent,True,False,False,False,unknown,True,True,incident_preparation,Financial Fraud,Financial Fraud,Financial Fraud,REV328
CLS000090,NAR000090_EN,Domestic Violence,Dowry harassment;Domestic intimidation;Property damage,emergency_assistance;legal_aid_request,Get immediate protection while hiding from the aggressor,EMERGENCY_CURRENT_DANGER,True,True,False,physical,current,False,True,False,False,unknown,False,True,emergency_redirect,Domestic Violence,Domestic Violence,Domestic Violence,REV804
CLS000091,NAR000091_EN,Domestic Violence,Spousal physical abuse;Physical injury;Ongoing intimidation,complaint_preparation,Document repeated abuse and obtain intervention,ONGOING_THREAT,False,True,False,physical,recent,True,True,True,False,unknown,True,False,incident_preparation,Domestic Violence,Domestic Violence,Domestic Violence,REV820
CLS000092,NAR000092_EN,Theft and robbery,Pickpocketing;Property loss,emergency_assistance;fir_information;legal_aid_request,Report a recent pickpocketing and locate police help,CASE_PREPARATION,False,False,False,physical,recent,True,False,False,False,unknown,False,True,incident_preparation,Theft and robbery,Theft and robbery,Theft and robbery,REV764
CLS000093,NAR000093_EN,Consumer Disputes,Refusal of service refund;Unfair trade practice,complaint_preparation,Prepare a refund-refusal complaint,CASE_PREPARATION,False,False,False,online,past,True,False,False,False,unknown,True,False,incident_preparation,Consumer Disputes,Consumer Disputes,Consumer Disputes,REV458
