scenario_id,scenario_title,primary_incident_family,secondary_issue_labels,scenario_facts,reference_date,incident_date,incident_time,incident_setting,location_type,jurisdiction_country,jurisdiction_state,ongoing_or_past,current_danger_status,injury_present,threat_present,property_involved,police_contacted,legal_help_requested,expected_participant_count,expected_event_count,source_type,created_by,reviewed_by,privacy_status,split
SCN000011,Comprehensive review of online harassment & threats event,Assault & Threats,Online harassment & threats,"On the afternoon of 2026-07-01, an escalating conflict classified under online harassment & threats manifested at the specified social media. Initial verbal friction rapidly degenerated into targeted hostility, establishing clear intent of intimidation and potential bodily harm. The victim sought refuge immediately while nearby witnesses attempted to de-escalate the situation. Security personnel were subsequently informed to review the breach of safety within the jurisdiction.",2023-02-10,2023-01-25,17:56,Online,Social media,India,Maharashtra,recent_past,No,False,True,False,False,False,2,2,human_written,USR399,REV751,synthetic_no_pii,validation
SCN000012,Bystander report of a customer-vendor dispute,Consumer Disputes,Expired or contaminated goods sale,"The observer noted a clear altercation developing at the counter of the shop around 02:32. A customer was contesting a distinct case of expired or contaminated goods sale, showing clear evidence to the merchant, who continuously refused liability or proper resolution.",2023-02-06,2023-01-25,02:32,Physical,Shop,India,Gujarat,recent_past,No,False,False,True,True,True,3,1,synthetic_reviewed,USR233,REV805,synthetic_no_pii,train
SCN000013,Reported consumer grievance regarding overcharging and hidden fees,Consumer Disputes,Overcharging and hidden fees,"Complainant states that on 2026-06-26 at approximately 03:09 hours, a transaction dispute involving overcharging and hidden fees occurred at Shop. The vendor reportedly engaged in unfair trade practices, failing to resolve the commercial non-compliance. Relevant purchase invoices have been logged.",2023-02-18,2023-01-25,03:09,Physical,Shop,India,Gujarat,past,No,False,False,True,True,False,2,2,synthetic_reviewed,USR929,REV882,synthetic_no_pii,challenge
SCN000014,Motor vehicle accident report involving reckless driving confrontation,Traffic & Road Incidents,Reckless driving confrontation,"On 2026-06-25 at approximately 18:17 hours, a vehicular incident classified as reckless driving confrontation occurred on the designated road. The offending vehicle failed to yield, causing impact and substantial structural damage. Case logged under regional motor vehicle acts.",2023-01-27,2023-01-26,18:17,Physical,Road,India,Telangana,past,No,True,True,True,True,False,3,2,expert_authored,USR414,REV352,synthetic_no_pii,challenge
SCN000015,I just lost my savings to a complete insurance claim fraud,Financial Fraud,Insurance claim fraud,"So I went down to the online platform around 17:39 to check my balance, and I realized I was a victim of a massive insurance claim fraud. They completely forged my details and cleared out the pending funds out of nowhere. I don't even know how I'm going to manage this month's expenses.",2023-02-22,2023-01-28,17:39,Online,Online platform,India,Uttar Pradesh,recent_past,No,False,True,True,False,True,1,1,human_written,USR333,REV881,synthetic_no_pii,validation
SCN000016,Detailed documentation of economic deprivation case,Domestic Violence,Economic deprivation,"On the date of 2026-06-27, a highly contentious domestic incident manifesting as economic deprivation occurred within the private residence. The conflict reportedly originated from long-standing domestic pressures and rapidly intensified into aggressive behavior around 05:45. The victim sustained significant psychological and physical strain before external family structures could be notified. Local authorities are reviewing the continuous pattern of behavior under the protection laws of the jurisdiction.",2023-02-22,2023-01-29,05:45,Physical,Apartment,India,Tamil Nadu,past,No,False,True,False,False,True,2,1,human_written,USR185,REV504,synthetic_no_pii,challenge
SCN000017,Witness statement regarding domestic dispute,Assault & Threats,Domestic dispute,"The bystander reported observing a heated argument developing near the apartment around 06:00. The confrontation quickly turned into a domestic dispute, with one individual visibly projecting physical intimidation towards the other party before crowds gathered to separate them.",2023-02-16,2023-02-01,06:00,Physical,Apartment,India,Telangana,recent_past,No,False,True,False,False,True,3,2,synthetic_reviewed,USR318,REV126,synthetic_no_pii,challenge
SCN000018,I think my accounts just got wiped out by a ransomware attack,Cybercrime,Ransomware attack,"So I clicked this link thinking it was an official notification around 16:02 yesterday, and suddenly I was locked out of my account. I realized it was a total ransomware attack when my savings started moving out. I'm completely panicking right now.",2023-02-21,2023-02-03,16:02,Online,Shop,India,Telangana,past,No,False,True,True,True,True,3,4,synthetic_reviewed,USR665,REV685,synthetic_no_pii,test
SCN000019,Domestic incident involving dowry harassment,Domestic Violence,Dowry harassment,"An incident of domestic distress categorized as dowry harassment occurred inside a residential premises at 16:38. The dispute caused a severe breach of domestic peace, requiring immediate support and mediation for the affected individuals.",2023-02-03,2023-02-03,16:38,Physical,Workplace,India,Maharashtra,ongoing,Yes,False,True,False,True,True,4,3,expert_authored,USR963,REV672,synthetic_no_pii,train
SCN000020,Commercial dispute involving expired or contaminated goods sale,Consumer Disputes,Expired or contaminated goods sale,"A transactional incident concerning expired or contaminated goods sale broke out at the local kirana store at 23:11. The buyer alleged a direct breach of contractual terms regarding product quality or billing accuracy, resulting in an active consumer dispute.",2023-03-08,2023-02-06,23:11,Physical,Kirana store,India,Tamil Nadu,past,No,False,False,True,True,True,3,1,expert_authored,USR303,REV766,synthetic_no_pii,challenge
SCN000021,Witness statement regarding domestic dispute,Assault & Threats,Domestic dispute,"The bystander reported observing a heated argument developing near the apartment around 01:26. The confrontation quickly turned into a domestic dispute, with one individual visibly projecting physical intimidation towards the other party before crowds gathered to separate them.",2023-02-28,2023-02-08,01:26,Physical,Apartment,India,Tamil Nadu,recent_past,No,False,True,True,True,True,5,2,synthetic_reviewed,USR606,REV641,synthetic_no_pii,test
SCN000022,Detailed structural brief on regional reckless driving confrontation occurrence,Traffic & Road Incidents,Reckless driving confrontation,"On the date of 2026-07-07, a serious municipal roadway incident manifesting as reckless driving confrontation transpired on the specified road at approximately 18:01 hours. The collision metrics indicate high impact speeds or deliberate disregard for active traffic control mechanisms, resulting in secondary vehicle damage. Local emergency response teams arrived on site to manage structural debris and administer medical assistance where relevant, while investigating officers initiated standard vehicle documentation checks within the state jurisdiction.",2023-03-06,2023-02-13,18:01,Physical,Road,India,Karnataka,recent_past,No,True,True,False,False,False,3,1,human_written,USR332,REV518,synthetic_no_pii,challenge
SCN000023,Detailed analysis of vehicle theft occurrence,Theft and robbery,Vehicle theft,"On the date of 2026-07-11, a major incidence of vehicle theft was executed at the designated roadside under complex environmental circumstances. The perpetrator leveraged the crowded nature of the location to approach undetected, exploiting a momentary lapse in security vigilance. Following the commission of the act, the individual navigated through the exit corridors effectively evading immediate pursuit. Emergency services were notified subsequently, initiating a localized investigation into the security vulnerabilities of this particular jurisdiction.",2023-02-26,2023-02-15,07:24,Physical,Roadside,India,Tamil Nadu,past,No,False,False,True,True,True,2,1,expert_authored,USR616,REV957,synthetic_no_pii,test
SCN000024,Someone just committed a drunk driving accident right in front of me,Traffic & Road Incidents,Drunk driving accident,"So I was driving along the road around 11:42 today, when this car suddenly sped out and caused a complete drunk driving accident! The driver didn't even stop to check if anyone was hurt, they just accelerated away immediately. I'm still shaking from the shock.",2023-03-01,2023-02-19,11:42,Physical,Road,India,Maharashtra,past,No,False,False,True,True,False,4,3,human_written,USR300,REV139,synthetic_no_pii,test
SCN000025,Reported financial irregularity involving insurance claim fraud,Financial Fraud,Insurance claim fraud,"Complainant reports a structured financial offense falling under the category of insurance claim fraud at the workplace. The incident occurred on 2026-06-30 at approximately 10:05 hours, wherein deceptive documentation was presented to misappropriate corporate or individual monetary assets. Audit trails have been preserved.",2023-03-11,2023-02-20,10:05,Hybrid,Workplace,India,Tamil Nadu,recent_past,No,False,False,True,True,True,2,2,synthetic_reviewed,USR373,REV988,synthetic_no_pii,test
SCN000026,urgent help needed online phishing theft,Theft and robbery,Online phishing theft,omg someone just took my things at the Mobile app!!! occurred just now around 05:18 hours. anyone nearby please help or tell me where the nearest police booth is asap!! lost everything inside my bag,2023-03-21,2023-02-24,05:18,Online,Mobile app,India,Tamil Nadu,recent_past,No,False,False,True,False,True,4,3,expert_authored,USR497,REV371,synthetic_no_pii,validation
SCN000027,Commercial dispute involving refusal of service refund,Consumer Disputes,Refusal of service refund,"A transactional incident concerning refusal of service refund broke out at the local online platform at 01:01. The buyer alleged a direct breach of contractual terms regarding product quality or billing accuracy, resulting in an active consumer dispute.",2023-03-26,2023-02-24,01:01,Online,Online platform,India,Gujarat,recent_past,No,False,False,True,True,True,3,2,human_written,USR196,REV246,synthetic_no_pii,challenge
SCN000028,I think my accounts just got wiped out by a ransomware attack,Cybercrime,Ransomware attack,"So I clicked this link thinking it was an official notification around 16:31 yesterday, and suddenly I was locked out of my account. I realized it was a total ransomware attack when my savings started moving out. I'm completely panicking right now.",2023-03-02,2023-02-25,16:31,Online,Online platform,India,Karnataka,recent_past,No,False,True,True,False,True,1,4,human_written,USR995,REV323,synthetic_no_pii,train
SCN000029,Detailed analysis of chain snatching occurrence,Theft and robbery,Chain snatching,"On the date of 2026-06-20, a major incidence of chain snatching was executed at the designated road under complex environmental circumstances. The perpetrator leveraged the crowded nature of the location to approach undetected, exploiting a momentary lapse in security vigilance. Following the commission of the act, the individual navigated through the exit corridors effectively evading immediate pursuit. Emergency services were notified subsequently, initiating a localized investigation into the security vulnerabilities of this particular jurisdiction.",2023-03-20,2023-02-26,03:28,Physical,Road,India,Telangana,recent_past,No,False,True,True,False,False,1,3,human_written,USR635,REV390,synthetic_no_pii,validation
SCN000030,urgent property issue inheritance property claim,Property Disputes,Inheritance property claim,guys please help they are trying to take over the House right now!! experiencing a severe inheritance property claim since 13:38. they brought workers and are breaking down boundaries. please check if anyone can come over fast,2023-03-15,2023-02-28,13:38,Physical,House,India,West Bengal,recent_past,No,False,False,True,True,True,6,3,human_written,USR381,REV645,synthetic_no_pii,train
SCN000031,Motor vehicle accident report involving traffic signal violation dispute,Traffic & Road Incidents,Traffic signal violation dispute,"On 2026-07-11 at approximately 11:15 hours, a vehicular incident classified as traffic signal violation dispute occurred on the designated road. The offending vehicle failed to yield, causing impact and substantial structural damage. Case logged under regional motor vehicle acts.",2023-03-03,2023-03-01,11:15,Physical,Road,India,Delhi,past,No,False,False,False,False,True,2,2,human_written,USR543,REV650,synthetic_no_pii,test
SCN000032,I think my accounts just got wiped out by a online banking fraud,Cybercrime,Online banking fraud,"So I clicked this link thinking it was an official notification around 22:48 yesterday, and suddenly I was locked out of my account. I realized it was a total online banking fraud when my savings started moving out. I'm completely panicking right now.",2023-03-09,2023-03-04,22:48,Online,Mobile app,India,Uttar Pradesh,past,No,False,False,True,False,False,3,2,expert_authored,USR820,REV663,synthetic_no_pii,validation
SCN000033,They literally ripped me off with false advertising and misrepresentation,Consumer Disputes,False advertising and misrepresentation,"So I went to this showroom around 16:27 and explicitly paid for premium service, but I faced absolute false advertising and misrepresentation instead. When I asked the manager to fix it or give my money back, they were super rude and completely brushed me off. Never buying from here again.",2023-03-27,2023-03-09,16:27,Online,Showroom,India,Telangana,past,No,False,True,True,False,True,2,4,synthetic_reviewed,USR646,REV103,synthetic_no_pii,challenge
SCN000034,management issue workplace harassment,Employment/Labour,Workplace harassment,"hey guys bad news. just had a huge fight with HR at the Showroom regarding workplace harassment around 07:33 today. they are trying to cheat us out of our terms or fire people arbitrarily. check your emails immediately, we need to stand together on this",2023-04-04,2023-03-13,07:33,Physical,Showroom,India,West Bengal,past,No,False,True,True,False,True,4,1,synthetic_reviewed,USR757,REV326,synthetic_no_pii,challenge
SCN000035,IT specialist observation of phishing scam,Cybercrime,Phishing scam,"The system administrator observed anomalous traffic originating from unauthorized servers around 15:20, confirming a systemwide phishing scam. The victim was actively manipulated into bypassing authentication protocols on the Mobile app platform.",2023-03-17,2023-03-15,15:20,Online,Mobile app,India,Karnataka,past,No,False,True,True,True,True,2,2,synthetic_reviewed,USR915,REV688,synthetic_no_pii,train
SCN000036,Real estate dispute involving illegal property possession,Property Disputes,Illegal property possession,"A property conflict classified under illegal property possession was documented at the shop at 04:01. The dispute involves contested boundaries and ownership titles, requiring civil or criminal mediation to preserve public order.",2023-03-29,2023-03-15,04:01,Physical,Shop,India,West Bengal,recent_past,No,False,False,True,False,True,2,4,human_written,USR406,REV800,synthetic_no_pii,train
SCN000037,Digital breach via cyberstalking,Cybercrime,Cyberstalking,"An incident of cyberstalking compromised security systems across the specified House at 16:59. Electronic credentials were manipulated remotely by unknown malicious actors, triggering secondary security protocols.",2023-04-04,2023-03-17,16:59,Hybrid,House,India,West Bengal,recent_past,No,False,True,False,True,False,3,4,expert_authored,USR475,REV560,synthetic_no_pii,challenge
SCN000038,Reported case of pickpocketing at marketplace,Theft and robbery,Pickpocketing,"Complainant states that on 2026-07-02 at approximately 23:47 hours, an incident of pickpocketing occurred at Marketplace. The perpetrator description matches a male individual height approx 5'8"". Property loss reported. Case registered under relevant sections.",2023-04-02,2023-03-18,23:47,Physical,Marketplace,India,Tamil Nadu,past,No,False,False,True,True,True,4,5,synthetic_reviewed,USR188,REV888,synthetic_no_pii,train
SCN000039,Reported property conflict involving boundary wall dispute,Property Disputes,Boundary wall dispute,"Complainant reports a structural civil grievance regarding boundary wall dispute at the site located in plot. On 2026-07-07 at 12:32 hours, opposing parties gathered and attempted unauthorized physical alterations. Property ownership documents have been submitted for verification.",2023-03-19,2023-03-18,12:32,Physical,Plot,India,Maharashtra,recent_past,No,False,True,True,False,True,4,1,human_written,USR167,REV368,synthetic_no_pii,challenge
SCN000040,Reported labor dispute regarding unfair termination,Employment/Labour,Unfair termination,"Complainant registers a formal grievance concerning employer violations under the category of unfair termination at the designated online platform. The incident occurred on 2026-07-02 at approximately 21:36 hours, wherein the management failed to comply with statutory labor provisions. Corporate payroll and logs have been requested.",2023-04-06,2023-03-25,21:36,Online,Online platform,India,Karnataka,recent_past,No,False,False,False,False,True,4,3,expert_authored,USR861,REV613,synthetic_no_pii,validation
SCN000041,massive warning fraud alert ponzi scheme investment fraud,Financial Fraud,Ponzi scheme investment fraud,"guys freeze your accounts if you used that Online platform recently!! just discovered a major ponzi scheme investment fraud happened around 05:16 today. unauthorized charges are showing up on multiple profiles, notify your branch manager asap",2023-04-17,2023-03-30,05:16,Hybrid,Online platform,India,Uttar Pradesh,past,No,False,False,True,False,False,2,4,expert_authored,USR613,REV709,synthetic_no_pii,train
SCN000042,This person literally threatened me at the hostel,Assault & Threats,Physical altercation,"I was just minding my own business at the hostel around 08:11, when this aggressive person started shouting at me out of nowhere. Then it escalated into a complete physical altercation and they said they'd hurt me if they saw me again. Genuinely terrified.",2023-04-09,2023-04-01,08:11,Physical,Hostel,India,Telangana,past,No,False,True,False,False,True,3,1,expert_authored,USR605,REV745,synthetic_no_pii,challenge
SCN000043,House burglary at House,Theft and robbery,House burglary,"A swift incident of house burglary took place at the local house during peak hours. The victim lost valuable items instantly, and the unidentified suspect fled immediately before any bystanders could intervene.",2023-04-14,2023-04-01,10:34,Physical,House,India,Tamil Nadu,recent_past,No,False,False,True,True,True,4,2,synthetic_reviewed,USR166,REV781,synthetic_no_pii,test
SCN000044,massive traffic block traffic signal violation dispute,Traffic & Road Incidents,Traffic signal violation dispute,guys stay away from the Highway right now! just witnessed a crazy traffic signal violation dispute around 20:34 hours. cars are badly damaged and traffic is completely backed up. emergency services are arriving just now,2023-04-11,2023-04-04,20:34,Physical,Highway,India,Uttar Pradesh,recent_past,No,False,False,False,False,True,3,1,human_written,USR565,REV971,synthetic_no_pii,test
SCN000045,need help asap threat at House,Assault & Threats,Domestic dispute,pls help someone is targeting me with domestic dispute right now at the House!! they are threatening to hit me or worse. happened around 22:13. is anyone nearby who can come stay with me? urgent,2023-04-27,2023-04-05,22:13,Physical,House,India,Tamil Nadu,recent_past,No,False,True,True,False,True,2,2,human_written,USR195,REV126,synthetic_no_pii,validation
SCN000046,Detailed cyber forensic summary of social media hacking exploit,Cybercrime,Social media hacking,"On the date of 2026-06-27, an advanced threat actor initiated an exploit categorized under social media hacking targeting remote infrastructures at approximately 14:01. The intrusion vectors reveal highly organized techniques using social engineering methods or brute-force automation to penetrate authorization systems on the Online platform. Immediate isolation of the network endpoints was executed to limit exposure within the regional jurisdiction.",2023-04-07,2023-04-06,14:01,Online,Online platform,India,Delhi,past,No,False,True,False,False,False,3,4,human_written,USR194,REV665,synthetic_no_pii,validation
SCN000047,Formal Complaint: Unauthorized Boundary wall dispute at Premises,Property Disputes,Boundary wall dispute,"Dear Revenue Officer / Police Commissioner, I am writing to register an urgent complaint regarding a critical instance of boundary wall dispute affecting my House. The unlawful activity intensified on 2026-07-07 at 19:31 hours, causing direct infringement on my registered property rights.",2023-04-24,2023-04-07,19:31,Physical,House,India,Karnataka,recent_past,No,False,True,True,False,True,5,2,synthetic_reviewed,USR423,REV961,synthetic_no_pii,challenge
SCN000048,Bystander report of a customer-vendor dispute,Consumer Disputes,Defective product delivery,"The observer noted a clear altercation developing at the counter of the house around 02:28. A customer was contesting a distinct case of defective product delivery, showing clear evidence to the merchant, who continuously refused liability or proper resolution.",2023-04-18,2023-04-12,02:28,Physical,House,India,West Bengal,recent_past,No,False,False,True,True,False,2,2,expert_authored,USR702,REV259,synthetic_no_pii,test
SCN000049,avoid this place fraud refusal of service refund,Consumer Disputes,Refusal of service refund,guys heads up do NOT buy anything from that Online platform!! just experienced a massive refusal of service refund around 01:38 today. they completely cheated me on the transaction and refused a refund. super sketchy service watch out,2023-04-21,2023-04-14,01:38,Online,Online platform,India,Gujarat,past,No,False,False,True,True,True,3,2,human_written,USR503,REV123,synthetic_no_pii,challenge
SCN000050,urgent help needed armed robbery,Theft and robbery,Armed robbery,omg someone just took my things at the Fuel station!!! occurred just now around 09:37 hours. anyone nearby please help or tell me where the nearest police booth is asap!! lost everything inside my bag,2023-04-24,2023-04-15,09:37,Physical,Fuel station,India,Karnataka,past,No,True,True,True,False,True,4,2,expert_authored,USR300,REV111,synthetic_no_pii,train
SCN000051,Labor non-compliance involving breach of employment contract,Employment/Labour,Breach of employment contract,"An employment dispute involving breach of employment contract escalated at the online platform at 02:40. The worker alleged severe breach of workplace regulations, seeking administrative or legal intervention to recover standard dues or ensure workplace safety.",2023-04-25,2023-04-16,02:40,Online,Online platform,India,Uttar Pradesh,recent_past,No,False,False,True,False,True,2,2,human_written,USR973,REV364,synthetic_no_pii,challenge
SCN000052,My company is putting me through safe working conditions violation,Employment/Labour,Safe working conditions violation,"I've been working at this factory for months, and around 02:15 yesterday, things hit a breaking point with a massive safe working conditions violation. They literally refused to settle what was rightfully owed to me and told me to just leave if I didn't like it. I'm so stressed about how I'm going to pay my rent.",2023-04-24,2023-04-19,02:15,Physical,Factory,India,West Bengal,recent_past,No,True,False,True,False,False,4,2,expert_authored,USR702,REV930,synthetic_no_pii,test
SCN000053,Comprehensive review of commercial defective product delivery claim,Consumer Disputes,Defective product delivery,"On the date of 2026-07-03, a formal consumer conflict classified as defective product delivery manifested during a commercial interaction at the designated house around 01:19. The transaction parameters reveal an explicit deviation from advertising claims or legal standards, directly compromising buyer safety and financial protection. Standard operational dispute channels were exhausted without success, prompting an escalation to statutory regulatory oversight mechanisms.",2023-05-04,2023-04-19,01:19,Physical,House,India,Delhi,past,No,False,False,True,False,True,2,2,synthetic_reviewed,USR200,REV931,synthetic_no_pii,train
SCN000054,Vehicle theft at Parking lot,Theft and robbery,Vehicle theft,"A swift incident of vehicle theft took place at the local parking lot during peak hours. The victim lost valuable items instantly, and the unidentified suspect fled immediately before any bystanders could intervene.",2023-05-14,2023-04-20,16:28,Physical,Parking lot,India,Maharashtra,recent_past,No,False,False,True,True,True,3,2,synthetic_reviewed,USR302,REV193,synthetic_no_pii,train
SCN000055,massive traffic block reckless driving confrontation,Traffic & Road Incidents,Reckless driving confrontation,guys stay away from the Parking lot right now! just witnessed a crazy reckless driving confrontation around 03:22 hours. cars are badly damaged and traffic is completely backed up. emergency services are arriving just now,2023-04-24,2023-04-22,03:22,Physical,Parking lot,India,Karnataka,past,No,False,False,True,False,False,3,3,expert_authored,USR720,REV901,synthetic_no_pii,train
SCN000056,Accountant observation of insurance claim fraud,Financial Fraud,Insurance claim fraud,"The internal auditor observed highly irregular transaction entries passing through the workplace around 07:50. Closer inspection confirmed a premeditated instance of insurance claim fraud, with the perpetrator executing unauthorized balance transfers using fraudulent credentials before logging out.",2023-05-21,2023-04-25,07:50,Online,Workplace,India,Karnataka,past,No,False,False,True,False,True,4,3,expert_authored,USR884,REV227,synthetic_no_pii,test
SCN000057,Neighbor's report of a domestic dispute,Domestic Violence,Spousal physical abuse,"The neighbor reported hearing intense shouting and objects breaking from the adjacent apartment around 16:24. Upon investigating, it appeared to be a severe case of spousal physical abuse transpiring within the household, prompting the neighbor to intervene and call for assistance.",2023-05-05,2023-04-27,16:24,Physical,Apartment,India,Tamil Nadu,ongoing,Yes,True,True,True,False,False,3,5,synthetic_reviewed,USR269,REV715,synthetic_no_pii,challenge
SCN000058,alert dont open links phishing scam,Cybercrime,Phishing scam,hey guys warning someone hacked my account via phishing scam just now around 20:02!! if u get any weird text or payment requests from me DO NOT transfer any money it is a fraud scam click nothing,2023-05-21,2023-04-27,20:02,Online,Mobile app,India,Karnataka,past,No,False,True,True,True,True,1,4,synthetic_reviewed,USR442,REV583,synthetic_no_pii,validation
SCN000059,alert dont open links identity theft,Cybercrime,Identity theft,hey guys warning someone hacked my account via identity theft just now around 15:03!! if u get any weird text or payment requests from me DO NOT transfer any money it is a fraud scam click nothing,2023-05-10,2023-04-29,15:03,Online,Workplace,India,Telangana,past,No,False,False,True,True,True,1,1,human_written,USR489,REV725,synthetic_no_pii,test
SCN000060,Digital breach via online banking fraud,Cybercrime,Online banking fraud,"An incident of online banking fraud compromised security systems across the specified Mobile app at 12:33. Electronic credentials were manipulated remotely by unknown malicious actors, triggering secondary security protocols.",2023-05-31,2023-05-04,12:33,Online,Mobile app,India,Delhi,past,No,False,False,True,True,True,3,1,human_written,USR884,REV648,synthetic_no_pii,challenge
SCN000061,Bystander report of a customer-vendor dispute,Consumer Disputes,Overcharging and hidden fees,"The observer noted a clear altercation developing at the counter of the hotel around 05:10. A customer was contesting a distinct case of overcharging and hidden fees, showing clear evidence to the merchant, who continuously refused liability or proper resolution.",2023-05-22,2023-05-05,05:10,Physical,Hotel,India,West Bengal,past,No,False,False,True,False,False,2,3,expert_authored,USR459,REV830,synthetic_no_pii,challenge
SCN000062,Cyber cell report regarding identity theft,Cybercrime,Identity theft,"Complainant reports unauthorized digital breach under identity theft framework. On 2026-07-14 at approx 02:45 hours, malicious payloads or fraudulent links were deployed to misappropriate assets or credentials via Online platform. Digital logs preserved for forensic analysis.",2023-05-13,2023-05-06,02:45,Online,Online platform,India,West Bengal,past,No,False,False,False,False,False,3,2,synthetic_reviewed,USR118,REV305,synthetic_no_pii,test
SCN000063,Formal Legal Request: Violation of Family Court Orders - Restitution of conjugal rights,Family Law,Restitution of conjugal rights,"Dear Legal Counsel / Mediation Cell, I am writing to formally report a non-compliance issue regarding our ongoing restitution of conjugal rights at the residence. The definitive breach occurred on 2026-07-18 at 22:59 hours, wherein the counter-party unilaterally altered agreed-upon familial or financial maintenance parameters.",2023-05-19,2023-05-10,22:59,Physical,Apartment,India,Telangana,past,No,False,False,True,True,True,3,2,synthetic_reviewed,USR638,REV460,synthetic_no_pii,test
SCN000064,Reported case of online phishing theft at mobile app,Theft and robbery,Online phishing theft,"Complainant states that on 2026-07-02 at approximately 22:40 hours, an incident of online phishing theft occurred at Mobile app. The perpetrator description matches a male individual height approx 5'8"". Property loss reported. Case registered under relevant sections.",2023-06-11,2023-05-12,22:40,Hybrid,Mobile app,India,Uttar Pradesh,recent_past,No,False,False,True,True,False,3,3,synthetic_reviewed,USR590,REV922,synthetic_no_pii,test
