entity_id,narrative_id,entity_text,normalised_value,entity_type,entity_role,start_char,end_char,sentence_id,certainty,source_status,coreference_group_id,linked_event_id,sensitive_information,masked_value,annotator_id,reviewer_id
NAR000015_EN_E001,NAR000015_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000015_EN_CG001,EVT000015_001,False,NOT_MASKED,ENT_ANN_001,REV881
NAR000016_EN_E001,NAR000016_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000016_EN_CG001,EVT000016_001,False,NOT_MASKED,ENT_ANN_001,REV504
NAR000017_EN_E001,NAR000017_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000017_EN_CG001,EVT000017_001,False,NOT_MASKED,ENT_ANN_001,REV126
NAR000018_EN_E001,NAR000018_EN,yesterday,2023-02-03,DATE,incident_date,77,86,S001,certain,user_stated,NAR000018_EN_CG001,EVT000018_001,False,NOT_MASKED,ENT_ANN_001,REV685
NAR000019_EN_E001,NAR000019_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000019_EN_CG001,EVT000019_001,False,NOT_MASKED,ENT_ANN_001,REV672
NAR000020_EN_E001,NAR000020_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000020_EN_CG001,EVT000020_001,False,NOT_MASKED,ENT_ANN_001,REV766
NAR000021_EN_E001,NAR000021_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000021_EN_CG001,EVT000021_001,False,NOT_MASKED,ENT_ANN_001,REV641
NAR000022_EN_E001,NAR000022_EN,road,road,LOCATION,incident_location,47,51,S001,certain,user_stated,NAR000022_EN_CG001,EVT000022_001,False,NOT_MASKED,ENT_ANN_001,REV518
NAR000023_EN_E001,NAR000023_EN,road,road,LOCATION,incident_location,93,97,S001,certain,user_stated,NAR000023_EN_CG001,EVT000023_001,False,NOT_MASKED,ENT_ANN_001,REV957
NAR000024_EN_E001,NAR000024_EN,today,2023-02-19,DATE,incident_date,45,50,S001,certain,user_stated,NAR000024_EN_CG001,EVT000024_001,False,NOT_MASKED,ENT_ANN_001,REV139
NAR000024_EN_E002,NAR000024_EN,road,road,LOCATION,incident_location,27,31,S001,certain,user_stated,NAR000024_EN_CG002,EVT000024_001,False,NOT_MASKED,ENT_ANN_001,REV139
NAR000024_EN_E003,NAR000024_EN,car,car,VEHICLE,vehicle_involved,62,65,S001,certain,user_stated,NAR000024_EN_CG003,EVT000024_001,False,NOT_MASKED,ENT_ANN_001,REV139
NAR000025_EN_E001,NAR000025_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000025_EN_CG001,EVT000025_001,False,NOT_MASKED,ENT_ANN_001,REV988
NAR000026_EN_E001,NAR000026_EN,Mobile,mobile,STOLEN_PROPERTY,stolen_or_target_property,39,45,S001,certain,user_stated,NAR000026_EN_CG001,EVT000026_001,False,NOT_MASKED,ENT_ANN_001,REV371
NAR000027_EN_E001,NAR000027_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000027_EN_CG001,EVT000027_001,False,NOT_MASKED,ENT_ANN_001,REV246
NAR000028_EN_E001,NAR000028_EN,yesterday,2023-02-25,DATE,incident_date,77,86,S001,certain,user_stated,NAR000028_EN_CG001,EVT000028_001,False,NOT_MASKED,ENT_ANN_001,REV323
NAR000029_EN_E001,NAR000029_EN,road,road,LOCATION,incident_location,95,99,S001,certain,user_stated,NAR000029_EN_CG001,EVT000029_001,False,NOT_MASKED,ENT_ANN_001,REV390
NAR000030_EN_E001,NAR000030_EN,House,house,LOCATION,incident_location,50,55,S001,certain,user_stated,NAR000030_EN_CG001,EVT000030_001,False,NOT_MASKED,ENT_ANN_001,REV645
NAR000031_EN_E001,NAR000031_EN,road,road,LOCATION,incident_location,139,143,S001,certain,user_stated,NAR000031_EN_CG001,EVT000031_001,False,NOT_MASKED,ENT_ANN_001,REV650
NAR000032_EN_E001,NAR000032_EN,yesterday,2023-03-04,DATE,incident_date,77,86,S001,certain,user_stated,NAR000032_EN_CG001,EVT000032_001,False,NOT_MASKED,ENT_ANN_001,REV663
NAR000033_EN_E001,NAR000033_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000033_EN_CG001,EVT000033_001,False,NOT_MASKED,ENT_ANN_001,REV103
NAR000034_EN_E001,NAR000034_EN,today,2023-03-13,DATE,incident_date,109,114,S002,certain,user_stated,NAR000034_EN_CG001,EVT000034_001,False,NOT_MASKED,ENT_ANN_001,REV326
NAR000035_EN_E001,NAR000035_EN,Mobile,mobile,STOLEN_PROPERTY,stolen_or_target_property,226,232,S002,certain,user_stated,NAR000035_EN_CG001,EVT000035_001,False,NOT_MASKED,ENT_ANN_001,REV688
NAR000036_EN_E001,NAR000036_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000036_EN_CG001,EVT000036_001,False,NOT_MASKED,ENT_ANN_001,REV800
NAR000037_EN_E001,NAR000037_EN,House,house,LOCATION,incident_location,79,84,S001,certain,user_stated,NAR000037_EN_CG001,EVT000037_001,False,NOT_MASKED,ENT_ANN_001,REV560
NAR000038_EN_E001,NAR000038_EN,Market,market,LOCATION,incident_location,109,115,S001,certain,user_stated,NAR000038_EN_CG001,EVT000038_001,False,NOT_MASKED,ENT_ANN_001,REV888
NAR000039_EN_E001,NAR000039_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000039_EN_CG001,EVT000039_001,False,NOT_MASKED,ENT_ANN_001,REV368
NAR000040_EN_E001,NAR000040_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000040_EN_CG001,EVT000040_001,False,NOT_MASKED,ENT_ANN_001,REV613
NAR000041_EN_E001,NAR000041_EN,today,2023-03-30,DATE,incident_date,146,151,S002,certain,user_stated,NAR000041_EN_CG001,EVT000041_001,False,NOT_MASKED,ENT_ANN_001,REV709
NAR000042_EN_E001,NAR000042_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000042_EN_CG001,EVT000042_001,False,NOT_MASKED,ENT_ANN_001,REV745
NAR000043_EN_E001,NAR000043_EN,house,house,LOCATION,incident_location,20,25,S001,certain,user_stated,NAR000043_EN_CG001,EVT000043_001,False,NOT_MASKED,ENT_ANN_001,REV781
NAR000044_EN_E001,NAR000044_EN,car,car,VEHICLE,vehicle_involved,119,122,S003,certain,user_stated,NAR000044_EN_CG001,EVT000044_001,False,NOT_MASKED,ENT_ANN_001,REV971
NAR000045_EN_E001,NAR000045_EN,House,house,LOCATION,incident_location,72,77,S001,certain,user_stated,NAR000045_EN_CG001,EVT000045_001,False,NOT_MASKED,ENT_ANN_001,REV126
NAR000046_EN_E001,NAR000046_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000046_EN_CG001,EVT000046_001,False,NOT_MASKED,ENT_ANN_001,REV665
NAR000047_EN_E001,NAR000047_EN,House,house,LOCATION,incident_location,157,162,S001,certain,user_stated,NAR000047_EN_CG001,EVT000047_001,False,NOT_MASKED,ENT_ANN_001,REV961
NAR000048_EN_E001,NAR000048_EN,house,house,LOCATION,incident_location,72,77,S001,certain,user_stated,NAR000048_EN_CG001,EVT000048_001,False,NOT_MASKED,ENT_ANN_001,REV259
NAR000049_EN_E001,NAR000049_EN,today,2023-04-14,DATE,incident_date,128,133,S002,certain,user_stated,NAR000049_EN_CG001,EVT000049_001,False,NOT_MASKED,ENT_ANN_001,REV123
NAR000050_EN_E001,NAR000050_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000050_EN_CG001,EVT000050_001,False,NOT_MASKED,ENT_ANN_001,REV111
NAR000051_EN_E001,NAR000051_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000051_EN_CG001,EVT000051_001,False,NOT_MASKED,ENT_ANN_001,REV364
NAR000052_EN_E001,NAR000052_EN,yesterday,2023-04-19,DATE,incident_date,63,72,S001,certain,user_stated,NAR000052_EN_CG001,EVT000052_001,False,NOT_MASKED,ENT_ANN_001,REV930
NAR000053_EN_E001,NAR000053_EN,house,house,LOCATION,incident_location,156,161,S001,certain,user_stated,NAR000053_EN_CG001,EVT000053_001,False,NOT_MASKED,ENT_ANN_001,REV931
NAR000054_EN_E001,NAR000054_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000054_EN_CG001,EVT000054_001,False,NOT_MASKED,ENT_ANN_001,REV193
NAR000055_EN_E001,NAR000055_EN,car,car,VEHICLE,vehicle_involved,121,124,S003,certain,user_stated,NAR000055_EN_CG001,EVT000055_001,False,NOT_MASKED,ENT_ANN_001,REV901
NAR000056_EN_E001,NAR000056_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000056_EN_CG001,EVT000056_001,False,NOT_MASKED,ENT_ANN_001,REV227
NAR000057_EN_E001,NAR000057_EN,house,house,LOCATION,incident_location,211,216,S002,certain,user_stated,NAR000057_EN_CG001,EVT000057_001,False,NOT_MASKED,ENT_ANN_001,REV715
NAR000058_EN_E001,NAR000058_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000058_EN_CG001,EVT000058_001,False,NOT_MASKED,ENT_ANN_001,REV583
NAR000059_EN_E001,NAR000059_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000059_EN_CG001,EVT000059_001,False,NOT_MASKED,ENT_ANN_001,REV725
NAR000060_EN_E001,NAR000060_EN,Mobile,mobile,STOLEN_PROPERTY,stolen_or_target_property,86,92,S001,certain,user_stated,NAR000060_EN_CG001,EVT000060_001,False,NOT_MASKED,ENT_ANN_001,REV648
NAR000061_EN_E001,NAR000061_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000061_EN_CG001,EVT000061_001,False,NOT_MASKED,ENT_ANN_001,REV830
NAR000062_EN_E001,NAR000062_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000062_EN_CG001,EVT000062_001,False,NOT_MASKED,ENT_ANN_001,REV305
NAR000063_EN_E001,NAR000063_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000063_EN_CG001,EVT000063_001,False,NOT_MASKED,ENT_ANN_001,REV460
NAR000064_EN_E001,NAR000064_EN,Mobile,mobile,STOLEN_PROPERTY,stolen_or_target_property,117,123,S001,certain,user_stated,NAR000064_EN_CG001,EVT000064_001,False,NOT_MASKED,ENT_ANN_001,REV922
NAR000065_EN_E001,NAR000065_EN,today,2023-05-19,DATE,incident_date,121,126,S002,certain,user_stated,NAR000065_EN_CG001,EVT000065_001,False,NOT_MASKED,ENT_ANN_001,REV802
NAR000066_EN_E001,NAR000066_EN,mobile,mobile,STOLEN_PROPERTY,stolen_or_target_property,66,72,S001,certain,user_stated,NAR000066_EN_CG001,EVT000066_001,False,NOT_MASKED,ENT_ANN_001,REV714
NAR000067_EN_E001,NAR000067_EN,today,2023-05-22,DATE,incident_date,48,53,S001,certain,user_stated,NAR000067_EN_CG001,EVT000067_001,False,NOT_MASKED,ENT_ANN_001,REV127
NAR000067_EN_E002,NAR000067_EN,car,car,VEHICLE,vehicle_involved,65,68,S001,certain,user_stated,NAR000067_EN_CG002,EVT000067_001,False,NOT_MASKED,ENT_ANN_001,REV127
NAR000068_EN_E001,NAR000068_EN,today,2023-05-25,DATE,incident_date,49,54,S001,certain,user_stated,NAR000068_EN_CG001,EVT000068_001,False,NOT_MASKED,ENT_ANN_001,REV985
NAR000068_EN_E002,NAR000068_EN,car,car,VEHICLE,vehicle_involved,66,69,S001,certain,user_stated,NAR000068_EN_CG002,EVT000068_001,False,NOT_MASKED,ENT_ANN_001,REV985
NAR000069_EN_E001,NAR000069_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000069_EN_CG001,EVT000069_001,False,NOT_MASKED,ENT_ANN_001,REV401
NAR000070_EN_E001,NAR000070_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000070_EN_CG001,EVT000070_001,False,NOT_MASKED,ENT_ANN_001,REV744
NAR000071_EN_E001,NAR000071_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000071_EN_CG001,EVT000071_001,False,NOT_MASKED,ENT_ANN_001,REV233
NAR000072_EN_E001,NAR000072_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000072_EN_CG001,EVT000072_001,False,NOT_MASKED,ENT_ANN_001,REV249
NAR000073_EN_E001,NAR000073_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000073_EN_CG001,EVT000073_001,False,NOT_MASKED,ENT_ANN_001,REV195
NAR000074_EN_E001,NAR000074_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000074_EN_CG001,EVT000074_001,False,NOT_MASKED,ENT_ANN_001,REV876
NAR000075_EN_E001,NAR000075_EN,house,house,LOCATION,incident_location,72,77,S001,certain,user_stated,NAR000075_EN_CG001,EVT000075_001,False,NOT_MASKED,ENT_ANN_001,REV851
NAR000076_EN_E001,NAR000076_EN,yesterday,2023-06-09,DATE,incident_date,55,64,S001,certain,user_stated,NAR000076_EN_CG001,EVT000076_001,False,NOT_MASKED,ENT_ANN_001,REV233
NAR000076_EN_E002,NAR000076_EN,market,market,LOCATION,incident_location,30,36,S001,certain,user_stated,NAR000076_EN_CG002,EVT000076_001,False,NOT_MASKED,ENT_ANN_001,REV233
NAR000076_EN_E003,NAR000076_EN,phone,phone,STOLEN_PROPERTY,stolen_or_target_property,78,83,S001,certain,user_stated,NAR000076_EN_CG003,EVT000076_001,False,NOT_MASKED,ENT_ANN_001,REV233
NAR000077_EN_E001,NAR000077_EN,today,2023-06-12,DATE,incident_date,47,52,S001,certain,user_stated,NAR000077_EN_CG001,EVT000077_001,False,NOT_MASKED,ENT_ANN_001,REV536
NAR000078_EN_E001,NAR000078_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000078_EN_CG001,EVT000078_001,False,NOT_MASKED,ENT_ANN_001,REV693
NAR000079_EN_E001,NAR000079_EN,road,road,LOCATION,incident_location,67,71,S001,certain,user_stated,NAR000079_EN_CG001,EVT000079_001,False,NOT_MASKED,ENT_ANN_001,REV368
NAR000080_EN_E001,NAR000080_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000080_EN_CG001,EVT000080_001,False,NOT_MASKED,ENT_ANN_001,REV637
NAR000081_EN_E001,NAR000081_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000081_EN_CG001,EVT000081_001,False,NOT_MASKED,ENT_ANN_001,REV188
NAR000082_EN_E001,NAR000082_EN,house,house,LOCATION,incident_location,139,144,S001,certain,user_stated,NAR000082_EN_CG001,EVT000082_001,False,NOT_MASKED,ENT_ANN_001,REV401
NAR000083_EN_E001,NAR000083_EN,car,car,VEHICLE,vehicle_involved,112,115,S003,certain,user_stated,NAR000083_EN_CG001,EVT000083_001,False,NOT_MASKED,ENT_ANN_001,REV511
NAR000084_EN_E001,NAR000084_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000084_EN_CG001,EVT000084_001,False,NOT_MASKED,ENT_ANN_001,REV991
NAR000085_EN_E001,NAR000085_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000085_EN_CG001,EVT000085_001,False,NOT_MASKED,ENT_ANN_001,REV355
NAR000086_EN_E001,NAR000086_EN,today,2023-06-30,DATE,incident_date,129,134,S001,certain,user_stated,NAR000086_EN_CG001,EVT000086_001,False,NOT_MASKED,ENT_ANN_001,REV538
NAR000086_EN_E002,NAR000086_EN,Road,road,LOCATION,incident_location,169,173,S001,certain,user_stated,NAR000086_EN_CG002,EVT000086_001,False,NOT_MASKED,ENT_ANN_001,REV538
NAR000087_EN_E001,NAR000087_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000087_EN_CG001,EVT000087_001,False,NOT_MASKED,ENT_ANN_001,REV470
NAR000088_EN_E001,NAR000088_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000088_EN_CG001,EVT000088_001,False,NOT_MASKED,ENT_ANN_001,REV703
NAR000089_EN_E001,NAR000089_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000089_EN_CG001,EVT000089_001,False,NOT_MASKED,ENT_ANN_001,REV328
NAR000090_EN_E001,NAR000090_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000090_EN_CG001,EVT000090_001,False,NOT_MASKED,ENT_ANN_001,REV804
NAR000091_EN_E001,NAR000091_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000091_EN_CG001,EVT000091_001,False,NOT_MASKED,ENT_ANN_001,REV820
NAR000092_EN_E001,NAR000092_EN,Market,market,LOCATION,incident_location,39,45,S001,certain,user_stated,NAR000092_EN_CG001,EVT000092_001,False,NOT_MASKED,ENT_ANN_001,REV764
NAR000093_EN_E001,NAR000093_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000093_EN_CG001,EVT000093_001,False,NOT_MASKED,ENT_ANN_001,REV458
NAR000094_EN_E001,NAR000094_EN,today,2023-07-15,DATE,incident_date,128,133,S001,certain,user_stated,NAR000094_EN_CG001,EVT000094_001,False,NOT_MASKED,ENT_ANN_001,REV285
NAR000095_EN_E001,NAR000095_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000095_EN_CG001,EVT000095_001,False,NOT_MASKED,ENT_ANN_001,REV260
NAR000096_EN_E001,NAR000096_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000096_EN_CG001,EVT000096_001,False,NOT_MASKED,ENT_ANN_001,REV537
NAR000097_EN_E001,NAR000097_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000097_EN_CG001,EVT000097_001,False,NOT_MASKED,ENT_ANN_001,REV620
NAR000098_EN_E001,NAR000098_EN,today,2023-07-23,DATE,incident_date,129,134,S001,certain,user_stated,NAR000098_EN_CG001,EVT000098_001,False,NOT_MASKED,ENT_ANN_001,REV574
NAR000099_EN_E001,NAR000099_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000099_EN_CG001,EVT000099_001,False,NOT_MASKED,ENT_ANN_001,REV273
NAR000100_EN_E001,NAR000100_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000100_EN_CG001,EVT000100_001,False,NOT_MASKED,ENT_ANN_001,REV961
NAR000101_EN_E001,NAR000101_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000101_EN_CG001,EVT000101_001,False,NOT_MASKED,ENT_ANN_001,REV198
NAR000102_EN_E001,NAR000102_EN,car,car,VEHICLE,vehicle_involved,285,288,S005,certain,user_stated,NAR000102_EN_CG001,EVT000102_001,False,NOT_MASKED,ENT_ANN_001,REV934
NAR000103_EN_E001,NAR000103_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000103_EN_CG001,EVT000103_001,False,NOT_MASKED,ENT_ANN_001,REV599
NAR000104_EN_E001,NAR000104_EN,today,2023-08-09,DATE,incident_date,146,151,S002,certain,user_stated,NAR000104_EN_CG001,EVT000104_001,False,NOT_MASKED,ENT_ANN_001,REV956
NAR000104_EN_E002,NAR000104_EN,House,house,LOCATION,incident_location,127,132,S002,certain,user_stated,NAR000104_EN_CG002,EVT000104_001,False,NOT_MASKED,ENT_ANN_001,REV956
NAR000105_EN_E001,NAR000105_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000105_EN_CG001,EVT000105_001,False,NOT_MASKED,ENT_ANN_001,REV264
NAR000106_EN_E001,NAR000106_EN,house,house,LOCATION,incident_location,134,139,S002,certain,user_stated,NAR000106_EN_CG001,EVT000106_001,False,NOT_MASKED,ENT_ANN_001,REV536
NAR000107_EN_E001,NAR000107_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000107_EN_CG001,EVT000107_001,False,NOT_MASKED,ENT_ANN_001,REV571
NAR000108_EN_E001,NAR000108_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000108_EN_CG001,EVT000108_001,False,NOT_MASKED,ENT_ANN_001,REV568
NAR000109_EN_E001,NAR000109_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000109_EN_CG001,EVT000109_001,False,NOT_MASKED,ENT_ANN_001,REV645
NAR000110_EN_E001,NAR000110_EN,road,road,LOCATION,incident_location,171,175,S002,certain,user_stated,NAR000110_EN_CG001,EVT000110_001,False,NOT_MASKED,ENT_ANN_001,REV550
NAR000111_EN_E001,NAR000111_EN,Mobile,mobile,STOLEN_PROPERTY,stolen_or_target_property,256,262,S003,certain,user_stated,NAR000111_EN_CG001,EVT000111_001,False,NOT_MASKED,ENT_ANN_001,REV155
NAR000112_EN_E001,NAR000112_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000112_EN_CG001,EVT000112_001,False,NOT_MASKED,ENT_ANN_001,REV999
NAR000113_EN_E001,NAR000113_EN,today,2023-08-26,DATE,incident_date,78,83,S002,certain,user_stated,NAR000113_EN_CG001,EVT000113_001,False,NOT_MASKED,ENT_ANN_001,REV580
NAR000113_EN_E002,NAR000113_EN,car,car,VEHICLE,vehicle_involved,95,98,S002,certain,user_stated,NAR000113_EN_CG002,EVT000113_001,False,NOT_MASKED,ENT_ANN_001,REV580
NAR000114_EN_E001,NAR000114_EN,Road,road,LOCATION,incident_location,54,58,S002,certain,user_stated,NAR000114_EN_CG001,EVT000114_001,False,NOT_MASKED,ENT_ANN_001,REV571
NAR000114_EN_E002,NAR000114_EN,car,car,VEHICLE,vehicle_involved,146,149,S004,certain,user_stated,NAR000114_EN_CG002,EVT000114_001,False,NOT_MASKED,ENT_ANN_001,REV571
NAR000115_EN_E001,NAR000115_EN,today,2023-08-29,DATE,incident_date,160,165,S003,certain,user_stated,NAR000115_EN_CG001,EVT000115_001,False,NOT_MASKED,ENT_ANN_001,REV665
NAR000115_EN_E002,NAR000115_EN,Mobile,mobile,STOLEN_PROPERTY,stolen_or_target_property,73,79,S002,certain,user_stated,NAR000115_EN_CG002,EVT000115_001,False,NOT_MASKED,ENT_ANN_001,REV665
NAR000116_EN_E001,NAR000116_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000116_EN_CG001,EVT000116_001,False,NOT_MASKED,ENT_ANN_001,REV367
NAR000117_EN_E001,NAR000117_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000117_EN_CG001,EVT000117_001,False,NOT_MASKED,ENT_ANN_001,REV903
NAR000118_EN_E001,NAR000118_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000118_EN_CG001,EVT000118_001,False,NOT_MASKED,ENT_ANN_001,REV455
NAR000119_EN_E001,NAR000119_EN,Mobile,mobile,STOLEN_PROPERTY,stolen_or_target_property,147,153,S002,certain,user_stated,NAR000119_EN_CG001,EVT000119_001,False,NOT_MASKED,ENT_ANN_001,REV523
NAR000120_EN_E001,NAR000120_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000120_EN_CG001,EVT000120_001,False,NOT_MASKED,ENT_ANN_001,REV291
NAR000121_EN_E001,NAR000121_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000121_EN_CG001,EVT000121_001,False,NOT_MASKED,ENT_ANN_001,REV158
