event_id,narrative_id,event_type,action_text,actor_entity_ids,target_entity_ids,object_entity_ids,location_entity_id,date_expression,normalised_date,time_expression,normalised_time,time_period,time_precision,method,result,event_status,source_sentence,source_start_char,source_end_char,certainty,chronological_order,linked_evidence_ids,user_confirmation_status,annotator_id,reviewer_id
EVT000006_001,NAR000006_EN,UNSAFE_WORKING_CONDITION,safe working conditions violation,NONE,NAR000006_EN_E001,NONE,NONE,not_stated,2023-01-16,21:28,21:28,night,exact,employer action or workplace practice,"Workplace rights, wages, safety, or employment status were affected",completed,"The context of the dispute was clearly a severe case of safe working conditions violation, with the supervisor dismissing the employee's legitimate safety or financial claims arbitrarily..",121,309,certain,1,NONE,pending,EVT_ANN_001,REV242
EVT000006_002,NAR000006_EN,INCIDENT_REPORTED,incident details shared,NAR000006_EN_E001,NONE,NONE,NONE,not_stated,2023-01-16,21:28,21:28,night,exact,complainant shared incident details for guidance,Incident details were shared for guidance,completed,The observer witnessed an intense disagreement between the management and an employee inside the workplace around 21:28.,0,120,probable,2,NONE,pending,EVT_ANN_001,REV242
EVT000007_001,NAR000007_EN,PHYSICAL_ATTACK,domestic dispute,NONE,NAR000007_EN_E001,NONE,NONE,not_stated,2023-01-18,21:31,21:31,night,exact,physical force or intimidation,"Complainant reported fear, intimidation, or immediate safety concern",unclear,pls help someone is targeting me with domestic dispute right now at the Apartment!!,0,83,certain,1,NONE,pending,EVT_ANN_001,REV842
EVT000007_002,NAR000007_EN,INCIDENT_REPORTED,authorities notified,NAR000007_EN_E001,NONE,NONE,NONE,not_stated,2023-01-18,21:31,21:31,night,approximate,notification to authorities or emergency services,Authorities or emergency services were notified,completed,pls help someone is targeting me with domestic dispute right now at the Apartment!!,0,83,probable,2,NONE,pending,EVT_ANN_001,REV842
EVT000008_001,NAR000008_EN,PROPERTY_POSSESSION_DISPUTED,tenant-landlord conflict,NONE,NAR000008_EN_E001,NONE,NONE,2026-06-22,2026-06-22,09:08,09:08,morning,exact,"contested possession, access, or property control",Property access or ownership rights became disputed,completed,Complainant reports a structural civil grievance regarding tenant-landlord conflict at the site located in shop.,0,112,certain,1,NONE,pending,EVT_ANN_001,REV220
EVT000008_002,NAR000008_EN,EVIDENCE_IDENTIFIED,evidence identified,NAR000008_EN_E001,NONE,NONE,NONE,2026-06-22,2026-06-22,09:08,09:08,morning,approximate,"supporting evidence, documents, logs, or records preserved",Evidence or supporting records were identified,completed,Property ownership documents have been submitted for verification..,218,285,certain,2,NONE,pending,EVT_ANN_001,REV220
EVT000009_001,NAR000009_EN,DECEPTIVE_REPRESENTATION,overcharging and hidden fees,NONE,NAR000009_EN_E001,NONE,NONE,2026-07-05,2026-07-05,04:50,04:50,night,exact,merchant misrepresentation or refusal to resolve,"Consumer suffered a disputed purchase, refund, quality, or billing loss",completed,"Dear Consumer Forum Support, I am writing to formally register a merchant complaint regarding a severe instance of overcharging and hidden fees that occurred at Restaurant on 2026-07-05 at 04:50 hours.",0,201,certain,1,NONE,pending,EVT_ANN_001,REV887
EVT000009_002,NAR000009_EN,INCIDENT_REPORTED,complaint or incident report made,NAR000009_EN_E001,NONE,NONE,NONE,2026-07-05,2026-07-05,04:50,04:50,night,exact,formal or informal reporting by complainant,Incident was reported or legal guidance was sought,completed,"Dear Consumer Forum Support, I am writing to formally register a merchant complaint regarding a severe instance of overcharging and hidden fees that occurred at Restaurant on 2026-07-05 at 04:50 hours.",0,201,certain,2,NONE,pending,EVT_ANN_001,REV887
EVT000010_001,NAR000010_EN,DECEPTIVE_REPRESENTATION,credit card cloning,NONE,NONE,NAR000010_EN_E001,NONE,not_stated,2023-01-22,09:18,09:18,morning,exact,deceptive financial documentation or transaction,"Money, account access, or financial control was compromised",completed,"Closer inspection confirmed a premeditated instance of credit card cloning, with the perpetrator executing unauthorized balance transfers using fraudulent credentials before logging out..",106,293,certain,1,NONE,pending,EVT_ANN_001,REV622
EVT000010_002,NAR000010_EN,EVIDENCE_IDENTIFIED,evidence identified,NONE,NONE,NAR000010_EN_E001,NONE,not_stated,2023-01-22,09:18,09:18,morning,exact,"supporting evidence, documents, logs, or records preserved",Evidence or supporting records were identified,completed,The internal auditor observed highly irregular transaction entries passing through the shop around 09:18.,0,105,certain,2,NONE,pending,EVT_ANN_001,REV622
EVT000011_001,NAR000011_EN,THREAT_MADE,online harassment & threats,NONE,NAR000011_EN_E001,NONE,NONE,2026-07-01,2026-07-01,17:56,17:56,evening,approximate,physical force or intimidation,"Complainant reported fear, intimidation, or immediate safety concern",completed,"On the afternoon of 2026-07-01, an escalating conflict classified under online harassment & threats manifested at the specified social media.",0,141,certain,1,NONE,pending,EVT_ANN_001,REV751
EVT000011_002,NAR000011_EN,INCIDENT_REPORTED,authorities notified,NAR000011_EN_E001,NONE,NONE,NONE,2026-07-01,2026-07-01,17:56,17:56,evening,approximate,notification to authorities or emergency services,Authorities or emergency services were notified,completed,Security personnel were subsequently informed to review the breach of safety within the jurisdiction..,380,482,probable,2,NONE,pending,EVT_ANN_001,REV751
EVT000012_001,NAR000012_EN,DECEPTIVE_REPRESENTATION,expired or contaminated goods sale,NONE,NAR000012_EN_E001,NONE,NONE,not_stated,2023-01-25,02:32,02:32,night,exact,merchant misrepresentation or refusal to resolve,"Consumer suffered a disputed purchase, refund, quality, or billing loss",completed,"A customer was contesting a distinct case of expired or contaminated goods sale, showing clear evidence to the merchant, who continuously refused liability or proper resolution..",91,269,certain,1,NONE,pending,EVT_ANN_001,REV805
EVT000012_002,NAR000012_EN,EVIDENCE_IDENTIFIED,evidence identified,NAR000012_EN_E001,NONE,NONE,NONE,not_stated,2023-01-25,02:32,02:32,night,approximate,"supporting evidence, documents, logs, or records preserved",Evidence or supporting records were identified,completed,"A customer was contesting a distinct case of expired or contaminated goods sale, showing clear evidence to the merchant, who continuously refused liability or proper resolution..",91,269,certain,2,NONE,pending,EVT_ANN_001,REV805
EVT000013_001,NAR000013_EN,DECEPTIVE_REPRESENTATION,overcharging and hidden fees,NONE,NAR000013_EN_E001,NONE,NONE,2026-06-26,2026-06-26,03:09,03:09,night,exact,merchant misrepresentation or refusal to resolve,"Consumer suffered a disputed purchase, refund, quality, or billing loss",completed,"Complainant states that on 2026-06-26 at approximately 03:09 hours, a transaction dispute involving overcharging and hidden fees occurred at Shop.",0,146,certain,1,NONE,pending,EVT_ANN_001,REV882
EVT000013_002,NAR000013_EN,INCIDENT_REPORTED,complaint or incident report made,NAR000013_EN_E001,NONE,NONE,NONE,2026-06-26,2026-06-26,03:09,03:09,night,approximate,formal or informal reporting by complainant,Incident was reported or legal guidance was sought,completed,"The vendor reportedly engaged in unfair trade practices, failing to resolve the commercial non-compliance.",147,253,certain,2,NONE,pending,EVT_ANN_001,REV882
EVT000014_001,NAR000014_EN,PROPERTY_DAMAGED,reckless driving confrontation,NONE,NONE,NONE,NAR000014_EN_E001,2026-06-25,2026-06-25,18:17,18:17,evening,exact,unsafe or unlawful road conduct,"Vehicle movement, road safety, or property damage was affected",completed,"On 2026-06-25 at approximately 18:17 hours, a vehicular incident classified as reckless driving confrontation occurred on the designated road.",0,142,certain,1,NONE,pending,EVT_ANN_001,REV352
EVT000014_002,NAR000014_EN,INCIDENT_REPORTED,complaint or incident report made,NONE,NONE,NONE,NAR000014_EN_E001,2026-06-25,2026-06-25,18:17,18:17,evening,approximate,formal or informal reporting by complainant,Incident was reported or legal guidance was sought,completed,Case logged under regional motor vehicle acts..,232,279,probable,2,NONE,pending,EVT_ANN_001,REV352
EVT000015_001,NAR000015_EN,DECEPTIVE_REPRESENTATION,insurance claim fraud,NONE,NAR000015_EN_E001,NONE,NONE,not_stated,2023-01-28,17:39,17:39,evening,exact,deceptive financial documentation or transaction,"Money, account access, or financial control was compromised",unclear,"So I went down to the online platform around 17:39 to check my balance, and I realized I was a victim of a massive insurance claim fraud.",0,137,certain,1,NONE,pending,EVT_ANN_001,REV881
EVT000015_002,NAR000015_EN,INCIDENT_REPORTED,incident details shared,NAR000015_EN_E001,NONE,NONE,NONE,not_stated,2023-01-28,17:39,17:39,evening,exact,complainant shared incident details for guidance,Incident details were shared for guidance,completed,"So I went down to the online platform around 17:39 to check my balance, and I realized I was a victim of a massive insurance claim fraud.",0,137,probable,2,NONE,pending,EVT_ANN_001,REV881
EVT000016_001,NAR000016_EN,MAINTENANCE_WITHHELD,economic deprivation,NONE,NAR000016_EN_E001,NONE,NONE,2026-06-27,2026-06-27,05:45,05:45,night,exact,physical force or intimidation,"Complainant reported fear, intimidation, or immediate safety concern",completed,"On the date of 2026-06-27, a highly contentious domestic incident manifesting as economic deprivation occurred within the private residence.",0,140,certain,1,NONE,pending,EVT_ANN_001,REV504
EVT000016_002,NAR000016_EN,INCIDENT_REPORTED,complaint or incident report made,NAR000016_EN_E001,NONE,NONE,NONE,2026-06-27,2026-06-27,05:45,05:45,night,exact,formal or informal reporting by complainant,Incident was reported or legal guidance was sought,completed,The conflict reportedly originated from long-standing domestic pressures and rapidly intensified into aggressive behavior around 05:45.,141,276,certain,2,NONE,pending,EVT_ANN_001,REV504
EVT000017_001,NAR000017_EN,PHYSICAL_ATTACK,domestic dispute,NONE,NAR000017_EN_E001,NONE,NONE,not_stated,2023-02-01,06:00,06:00,morning,exact,physical force or intimidation,"Complainant reported fear, intimidation, or immediate safety concern",unclear,"The confrontation quickly turned into a domestic dispute, with one individual visibly projecting physical intimidation towards the other party before crowds gathered to separate them..",95,279,certain,1,NONE,pending,EVT_ANN_001,REV126
EVT000017_002,NAR000017_EN,INCIDENT_REPORTED,complaint or incident report made,NAR000017_EN_E001,NONE,NONE,NONE,not_stated,2023-02-01,06:00,06:00,morning,exact,formal or informal reporting by complainant,Incident was reported or legal guidance was sought,completed,The bystander reported observing a heated argument developing near the apartment around 06:00.,0,94,certain,2,NONE,pending,EVT_ANN_001,REV126
EVT000018_001,NAR000018_EN,DECEPTIVE_REPRESENTATION,ransomware attack,NONE,NONE,NONE,NONE,yesterday,2023-02-03,16:02,16:02,afternoon,exact,online credential manipulation,"Money, account access, or financial control was compromised",completed,I realized it was a total ransomware attack when my savings started moving out.,133,212,certain,1,NONE,pending,EVT_ANN_001,REV685
EVT000018_002,NAR000018_EN,INCIDENT_REPORTED,incident details shared,NONE,NONE,NONE,NONE,yesterday,2023-02-03,16:02,16:02,afternoon,exact,complainant shared incident details for guidance,Incident details were shared for guidance,completed,"So I clicked this link thinking it was an official notification around 16:02 yesterday, and suddenly I was locked out of my account.",0,132,probable,2,NONE,pending,EVT_ANN_001,REV685
EVT000019_001,NAR000019_EN,THREAT_MADE,dowry harassment,NONE,NAR000019_EN_E001,NONE,NONE,not_stated,2023-02-03,16:38,16:38,afternoon,exact,physical force or intimidation,"Complainant reported fear, intimidation, or immediate safety concern",completed,An incident of domestic distress categorized as dowry harassment occurred inside a residential premises at 16:38.,0,113,certain,1,NONE,pending,EVT_ANN_001,REV672
EVT000019_002,NAR000019_EN,INCIDENT_REPORTED,incident details shared,NAR000019_EN_E001,NONE,NONE,NONE,not_stated,2023-02-03,16:38,16:38,afternoon,exact,complainant shared incident details for guidance,Incident details were shared for guidance,completed,An incident of domestic distress categorized as dowry harassment occurred inside a residential premises at 16:38.,0,113,probable,2,NONE,pending,EVT_ANN_001,REV672
EVT000020_001,NAR000020_EN,DECEPTIVE_REPRESENTATION,expired or contaminated goods sale,NONE,NAR000020_EN_E001,NONE,NONE,not_stated,2023-02-06,23:11,23:11,night,exact,merchant misrepresentation or refusal to resolve,"Consumer suffered a disputed purchase, refund, quality, or billing loss",completed,A transactional incident concerning expired or contaminated goods sale broke out at the local kirana store at 23:11.,0,116,certain,1,NONE,pending,EVT_ANN_001,REV766
EVT000020_002,NAR000020_EN,INCIDENT_REPORTED,incident details shared,NAR000020_EN_E001,NONE,NONE,NONE,not_stated,2023-02-06,23:11,23:11,night,exact,complainant shared incident details for guidance,Incident details were shared for guidance,completed,A transactional incident concerning expired or contaminated goods sale broke out at the local kirana store at 23:11.,0,116,probable,2,NONE,pending,EVT_ANN_001,REV766
EVT000021_001,NAR000021_EN,PHYSICAL_ATTACK,domestic dispute,NONE,NAR000021_EN_E001,NONE,NONE,not_stated,2023-02-08,01:26,01:26,night,exact,physical force or intimidation,"Complainant reported fear, intimidation, or immediate safety concern",unclear,"The confrontation quickly turned into a domestic dispute, with one individual visibly projecting physical intimidation towards the other party before crowds gathered to separate them..",95,279,certain,1,NONE,pending,EVT_ANN_001,REV641
EVT000021_002,NAR000021_EN,INCIDENT_REPORTED,complaint or incident report made,NAR000021_EN_E001,NONE,NONE,NONE,not_stated,2023-02-08,01:26,01:26,night,exact,formal or informal reporting by complainant,Incident was reported or legal guidance was sought,completed,The bystander reported observing a heated argument developing near the apartment around 01:26.,0,94,certain,2,NONE,pending,EVT_ANN_001,REV641
EVT000022_001,NAR000022_EN,PROPERTY_DAMAGED,reckless driving confrontation,NONE,NONE,NONE,NAR000022_EN_E001,2026-07-07,2026-07-07,18:01,18:01,evening,exact,unsafe or unlawful road conduct,"Vehicle movement, road safety, or property damage was affected",completed,"On the date of 2026-07-07, a serious municipal roadway incident manifesting as reckless driving confrontation transpired on the specified road at approximately 18:01 hours.",0,172,certain,1,NONE,pending,EVT_ANN_001,REV518
EVT000022_002,NAR000022_EN,MEDICAL_HELP_SOUGHT,medical help sought,NONE,NONE,NONE,NAR000022_EN_E001,2026-07-07,2026-07-07,18:01,18:01,evening,approximate,medical or emergency assistance requested,Medical or emergency assistance was sought,completed,"Local emergency response teams arrived on site to manage structural debris and administer medical assistance where relevant, while investigating officers initiated standard vehicle documentation checks within the state jurisdiction..",325,558,probable,2,NONE,pending,EVT_ANN_001,REV518
EVT000023_001,NAR000023_EN,PROPERTY_TAKEN,vehicle theft,NONE,NONE,NONE,NAR000023_EN_E001,2026-07-11,2026-07-11,07:24,07:24,morning,approximate,taking property without consent,"Personal property was lost, taken, or reported missing",completed,"On the date of 2026-07-11, a major incidence of vehicle theft was executed at the designated roadside under complex environmental circumstances.",0,144,certain,1,NONE,pending,EVT_ANN_001,REV957
EVT000023_002,NAR000023_EN,INCIDENT_REPORTED,authorities notified,NONE,NONE,NONE,NAR000023_EN_E001,2026-07-11,2026-07-11,07:24,07:24,morning,approximate,notification to authorities or emergency services,Authorities or emergency services were notified,completed,"Emergency services were notified subsequently, initiating a localized investigation into the security vulnerabilities of this particular jurisdiction..",410,561,certain,2,NONE,pending,EVT_ANN_001,REV957
EVT000024_001,NAR000024_EN,PROPERTY_DAMAGED,drunk driving accident,NONE,NONE,NAR000024_EN_E003,NAR000024_EN_E002,today,2023-02-19,11:42,11:42,morning,exact,unsafe or unlawful road conduct,"Vehicle movement, road safety, or property damage was affected",completed,"So I was driving along the road around 11:42 today, when this car suddenly sped out and caused a complete drunk driving accident!",0,129,certain,1,NONE,pending,EVT_ANN_001,REV139
EVT000024_002,NAR000024_EN,PERSON_LEFT_LOCATION,person left location,NONE,NONE,NAR000024_EN_E003,NAR000024_EN_E002,today,2023-02-19,11:42,11:42,morning,approximate,alleged person left or evaded the scene,Alleged person left the location after the incident,completed,"The driver didn't even stop to check if anyone was hurt, they just accelerated away immediately.",130,226,probable,2,NONE,pending,EVT_ANN_001,REV139
EVT000025_001,NAR000025_EN,DECEPTIVE_REPRESENTATION,insurance claim fraud,NONE,NAR000025_EN_E001,NONE,NONE,2026-06-30,2026-06-30,10:05,10:05,morning,exact,deceptive financial documentation or transaction,"Money, account access, or financial control was compromised",unclear,Complainant reports a structured financial offense falling under the category of insurance claim fraud at the workplace.,0,120,certain,1,NONE,pending,EVT_ANN_001,REV988
EVT000025_002,NAR000025_EN,EVIDENCE_IDENTIFIED,evidence identified,NAR000025_EN_E001,NONE,NONE,NONE,2026-06-30,2026-06-30,10:05,10:05,morning,approximate,"supporting evidence, documents, logs, or records preserved",Evidence or supporting records were identified,completed,Audit trails have been preserved..,292,326,certain,2,NONE,pending,EVT_ANN_001,REV988
EVT000026_001,NAR000026_EN,PROPERTY_TAKEN,online phishing theft,NONE,NONE,NAR000026_EN_E001,NONE,not_stated,2023-02-24,05:18,05:18,night,exact,online credential manipulation,"Personal property was lost, taken, or reported missing",completed,occurred just now around 05:18 hours.,53,90,certain,1,NONE,pending,EVT_ANN_001,REV371
EVT000026_002,NAR000026_EN,INCIDENT_REPORTED,authorities notified,NONE,NONE,NAR000026_EN_E001,NONE,not_stated,2023-02-24,05:18,05:18,night,approximate,notification to authorities or emergency services,Authorities or emergency services were notified,completed,anyone nearby please help or tell me where the nearest police booth is asap!!,91,168,certain,2,NONE,pending,EVT_ANN_001,REV371
EVT000027_001,NAR000027_EN,REFUND_REFUSED,refusal of service refund,NONE,NAR000027_EN_E001,NONE,NONE,not_stated,2023-02-24,01:01,01:01,night,exact,merchant refusal after consumer request,Consumer refund or service remedy remained unresolved,completed,A transactional incident concerning refusal of service refund broke out at the local online platform at 01:01.,0,110,certain,1,NONE,pending,EVT_ANN_001,REV246
EVT000027_002,NAR000027_EN,INCIDENT_REPORTED,incident details shared,NAR000027_EN_E001,NONE,NONE,NONE,not_stated,2023-02-24,01:01,01:01,night,exact,complainant shared incident details for guidance,Incident details were shared for guidance,completed,A transactional incident concerning refusal of service refund broke out at the local online platform at 01:01.,0,110,probable,2,NONE,pending,EVT_ANN_001,REV246
EVT000028_001,NAR000028_EN,DECEPTIVE_REPRESENTATION,ransomware attack,NONE,NONE,NONE,NONE,yesterday,2023-02-25,16:31,16:31,afternoon,exact,online credential manipulation,"Money, account access, or financial control was compromised",completed,I realized it was a total ransomware attack when my savings started moving out.,133,212,certain,1,NONE,pending,EVT_ANN_001,REV323
EVT000028_002,NAR000028_EN,INCIDENT_REPORTED,incident details shared,NONE,NONE,NONE,NONE,yesterday,2023-02-25,16:31,16:31,afternoon,exact,complainant shared incident details for guidance,Incident details were shared for guidance,completed,"So I clicked this link thinking it was an official notification around 16:31 yesterday, and suddenly I was locked out of my account.",0,132,probable,2,NONE,pending,EVT_ANN_001,REV323
EVT000029_001,NAR000029_EN,PROPERTY_TAKEN,chain snatching,NONE,NONE,NONE,NAR000029_EN_E001,2026-06-20,2026-06-20,03:28,03:28,night,approximate,taking property without consent,"Personal property was lost, taken, or reported missing",completed,"On the date of 2026-06-20, a major incidence of chain snatching was executed at the designated road under complex environmental circumstances.",0,142,certain,1,NONE,pending,EVT_ANN_001,REV390
EVT000029_002,NAR000029_EN,INCIDENT_REPORTED,authorities notified,NONE,NONE,NONE,NAR000029_EN_E001,2026-06-20,2026-06-20,03:28,03:28,night,approximate,notification to authorities or emergency services,Authorities or emergency services were notified,completed,"Emergency services were notified subsequently, initiating a localized investigation into the security vulnerabilities of this particular jurisdiction..",408,559,certain,2,NONE,pending,EVT_ANN_001,REV390
EVT000030_001,NAR000030_EN,PROPERTY_POSSESSION_DISPUTED,inheritance property claim,NONE,NONE,NONE,NAR000030_EN_E001,not_stated,2023-02-28,13:38,13:38,afternoon,exact,"contested possession, access, or property control",Property access or ownership rights became disputed,unclear,experiencing a severe inheritance property claim since 13:38.,68,129,certain,1,NONE,pending,EVT_ANN_001,REV645
EVT000030_002,NAR000030_EN,INCIDENT_REPORTED,authorities notified,NONE,NONE,NONE,NAR000030_EN_E001,not_stated,2023-02-28,13:38,13:38,afternoon,approximate,notification to authorities or emergency services,Authorities or emergency services were notified,completed,guys please help they are trying to take over the House right now!!,0,67,probable,2,NONE,pending,EVT_ANN_001,REV645
EVT000031_001,NAR000031_EN,PROPERTY_DAMAGED,traffic signal violation dispute,NONE,NONE,NONE,NAR000031_EN_E001,2026-07-11,2026-07-11,11:15,11:15,morning,exact,unsafe or unlawful road conduct,"Vehicle movement, road safety, or property damage was affected",unclear,"On 2026-07-11 at approximately 11:15 hours, a vehicular incident classified as traffic signal violation dispute occurred on the designated road.",0,144,certain,1,NONE,pending,EVT_ANN_001,REV650
EVT000031_002,NAR000031_EN,INCIDENT_REPORTED,complaint or incident report made,NONE,NONE,NONE,NAR000031_EN_E001,2026-07-11,2026-07-11,11:15,11:15,morning,approximate,formal or informal reporting by complainant,Incident was reported or legal guidance was sought,completed,Case logged under regional motor vehicle acts..,234,281,probable,2,NONE,pending,EVT_ANN_001,REV650
EVT000032_001,NAR000032_EN,DECEPTIVE_REPRESENTATION,online banking fraud,NONE,NONE,NONE,NONE,yesterday,2023-03-04,22:48,22:48,night,exact,online credential manipulation,"Money, account access, or financial control was compromised",completed,I realized it was a total online banking fraud when my savings started moving out.,133,215,certain,1,NONE,pending,EVT_ANN_001,REV663
EVT000032_002,NAR000032_EN,INCIDENT_REPORTED,incident details shared,NONE,NONE,NONE,NONE,yesterday,2023-03-04,22:48,22:48,night,exact,complainant shared incident details for guidance,Incident details were shared for guidance,completed,"So I clicked this link thinking it was an official notification around 22:48 yesterday, and suddenly I was locked out of my account.",0,132,probable,2,NONE,pending,EVT_ANN_001,REV663
EVT000033_001,NAR000033_EN,DECEPTIVE_REPRESENTATION,false advertising and misrepresentation,NONE,NAR000033_EN_E001,NONE,NONE,not_stated,2023-03-09,16:27,16:27,afternoon,exact,merchant misrepresentation or refusal to resolve,"Consumer suffered a disputed purchase, refund, quality, or billing loss",completed,"So I went to this showroom around 16:27 and explicitly paid for premium service, but I faced absolute false advertising and misrepresentation instead.",0,150,certain,1,NONE,pending,EVT_ANN_001,REV103
EVT000033_002,NAR000033_EN,PERSON_APPROACHED,remedy requested from other party,NAR000033_EN_E001,NONE,NONE,NONE,not_stated,2023-03-09,16:27,16:27,afternoon,approximate,complainant approached or confronted the other party,Complainant requested a remedy or confronted the other party,completed,"When I asked the manager to fix it or give my money back, they were super rude and completely brushed me off.",151,260,certain,2,NONE,pending,EVT_ANN_001,REV103
EVT000034_001,NAR000034_EN,THREAT_MADE,workplace harassment,NONE,NONE,NONE,NONE,today,2023-03-13,07:33,07:33,morning,exact,employer action or workplace practice,"Complainant reported fear, intimidation, or immediate safety concern",completed,just had a huge fight with HR at the Showroom regarding workplace harassment around 07:33 today.,19,115,certain,1,NONE,pending,EVT_ANN_001,REV326
EVT000034_002,NAR000034_EN,INCIDENT_REPORTED,incident details shared,NONE,NONE,NONE,NONE,today,2023-03-13,07:33,07:33,morning,exact,complainant shared incident details for guidance,Incident details were shared for guidance,completed,just had a huge fight with HR at the Showroom regarding workplace harassment around 07:33 today.,19,115,probable,2,NONE,pending,EVT_ANN_001,REV326
EVT000035_001,NAR000035_EN,DECEPTIVE_REPRESENTATION,phishing scam,NONE,NONE,NAR000035_EN_E001,NONE,not_stated,2023-03-15,15:20,15:20,afternoon,exact,online credential manipulation,"Money, account access, or financial control was compromised",completed,"The system administrator observed anomalous traffic originating from unauthorized servers around 15:20, confirming a systemwide phishing scam.",0,142,certain,1,NONE,pending,EVT_ANN_001,REV688
EVT000035_002,NAR000035_EN,INCIDENT_REPORTED,incident details shared,NONE,NONE,NAR000035_EN_E001,NONE,not_stated,2023-03-15,15:20,15:20,afternoon,exact,complainant shared incident details for guidance,Incident details were shared for guidance,completed,"The system administrator observed anomalous traffic originating from unauthorized servers around 15:20, confirming a systemwide phishing scam.",0,142,probable,2,NONE,pending,EVT_ANN_001,REV688
EVT000036_001,NAR000036_EN,UNAUTHORISED_ENTRY,illegal property possession,NONE,NAR000036_EN_E001,NONE,NONE,not_stated,2023-03-15,04:01,04:01,night,exact,unauthorised occupation or alteration of property,Property or possession became disputed or physically affected,completed,A property conflict classified under illegal property possession was documented at the shop at 04:01.,0,101,certain,1,NONE,pending,EVT_ANN_001,REV800
