relation_id,narrative_id,event_id_1,event_id_2,relation_type,relation_certainty,source_text,gold_order,annotator_id,reviewer_id
REL000012,NAR000012_EN,EVT000012_001,EVT000012_002,FOLLOWS,certain,"A customer was contesting a distinct case of expired or contaminated goods sale, showing clear evidence to the merchant, who continuously refused liability or proper resolution..",EVT000012_001 precedes EVT000012_002,REL_ANN_001,REV805
REL000013,NAR000013_EN,EVT000013_001,EVT000013_002,BEFORE,certain,"The vendor reportedly engaged in unfair trade practices, failing to resolve the commercial non-compliance.",EVT000013_001 precedes EVT000013_002,REL_ANN_001,REV882
REL000014,NAR000014_EN,EVT000014_001,EVT000014_002,BEFORE,probable,Case logged under regional motor vehicle acts..,EVT000014_001 precedes EVT000014_002,REL_ANN_001,REV352
REL000015,NAR000015_EN,EVT000015_001,EVT000015_002,BEFORE,probable,"So I went down to the online platform around 17:39 to check my balance, and I realized I was a victim of a massive insurance claim fraud.",EVT000015_001 precedes EVT000015_002,REL_ANN_001,REV881
REL000016,NAR000016_EN,EVT000016_001,EVT000016_002,BEFORE,certain,The conflict reportedly originated from long-standing domestic pressures and rapidly intensified into aggressive behavior around 05:45.,EVT000016_001 precedes EVT000016_002,REL_ANN_001,REV504
REL000017,NAR000017_EN,EVT000017_001,EVT000017_002,BEFORE,certain,The bystander reported observing a heated argument developing near the apartment around 06:00.,EVT000017_001 precedes EVT000017_002,REL_ANN_001,REV126
REL000018,NAR000018_EN,EVT000018_001,EVT000018_002,BEFORE,probable,"So I clicked this link thinking it was an official notification around 16:02 yesterday, and suddenly I was locked out of my account.",EVT000018_001 precedes EVT000018_002,REL_ANN_001,REV685
REL000019,NAR000019_EN,EVT000019_001,EVT000019_002,BEFORE,probable,An incident of domestic distress categorized as dowry harassment occurred inside a residential premises at 16:38.,EVT000019_001 precedes EVT000019_002,REL_ANN_001,REV672
REL000020,NAR000020_EN,EVT000020_001,EVT000020_002,BEFORE,probable,A transactional incident concerning expired or contaminated goods sale broke out at the local kirana store at 23:11.,EVT000020_001 precedes EVT000020_002,REL_ANN_001,REV766
REL000021,NAR000021_EN,EVT000021_001,EVT000021_002,BEFORE,certain,The bystander reported observing a heated argument developing near the apartment around 01:26.,EVT000021_001 precedes EVT000021_002,REL_ANN_001,REV641
REL000022,NAR000022_EN,EVT000022_001,EVT000022_002,BEFORE,probable,"Local emergency response teams arrived on site to manage structural debris and administer medical assistance where relevant, while investigating officers initiated standard vehicle documentation checks within the state jurisdiction..",EVT000022_001 precedes EVT000022_002,REL_ANN_001,REV518
REL000023,NAR000023_EN,EVT000023_001,EVT000023_002,BEFORE,certain,"Emergency services were notified subsequently, initiating a localized investigation into the security vulnerabilities of this particular jurisdiction..",EVT000023_001 precedes EVT000023_002,REL_ANN_001,REV957
REL000024,NAR000024_EN,EVT000024_001,EVT000024_002,BEFORE,probable,"The driver didn't even stop to check if anyone was hurt, they just accelerated away immediately.",EVT000024_001 precedes EVT000024_002,REL_ANN_001,REV139
REL000025,NAR000025_EN,EVT000025_001,EVT000025_002,FOLLOWS,certain,Audit trails have been preserved..,EVT000025_001 precedes EVT000025_002,REL_ANN_001,REV988
REL000026,NAR000026_EN,EVT000026_001,EVT000026_002,BEFORE,certain,anyone nearby please help or tell me where the nearest police booth is asap!!,EVT000026_001 precedes EVT000026_002,REL_ANN_001,REV371
REL000027,NAR000027_EN,EVT000027_001,EVT000027_002,BEFORE,probable,A transactional incident concerning refusal of service refund broke out at the local online platform at 01:01.,EVT000027_001 precedes EVT000027_002,REL_ANN_001,REV246
REL000028,NAR000028_EN,EVT000028_001,EVT000028_002,BEFORE,probable,"So I clicked this link thinking it was an official notification around 16:31 yesterday, and suddenly I was locked out of my account.",EVT000028_001 precedes EVT000028_002,REL_ANN_001,REV323
REL000029,NAR000029_EN,EVT000029_001,EVT000029_002,BEFORE,certain,"Emergency services were notified subsequently, initiating a localized investigation into the security vulnerabilities of this particular jurisdiction..",EVT000029_001 precedes EVT000029_002,REL_ANN_001,REV390
REL000030,NAR000030_EN,EVT000030_001,EVT000030_002,BEFORE,probable,guys please help they are trying to take over the House right now!!,EVT000030_001 precedes EVT000030_002,REL_ANN_001,REV645
REL000031,NAR000031_EN,EVT000031_001,EVT000031_002,BEFORE,probable,Case logged under regional motor vehicle acts..,EVT000031_001 precedes EVT000031_002,REL_ANN_001,REV650
REL000032,NAR000032_EN,EVT000032_001,EVT000032_002,BEFORE,probable,"So I clicked this link thinking it was an official notification around 22:48 yesterday, and suddenly I was locked out of my account.",EVT000032_001 precedes EVT000032_002,REL_ANN_001,REV663
REL000033,NAR000033_EN,EVT000033_001,EVT000033_002,BEFORE,certain,"When I asked the manager to fix it or give my money back, they were super rude and completely brushed me off.",EVT000033_001 precedes EVT000033_002,REL_ANN_001,REV103
REL000034,NAR000034_EN,EVT000034_001,EVT000034_002,BEFORE,probable,just had a huge fight with HR at the Showroom regarding workplace harassment around 07:33 today.,EVT000034_001 precedes EVT000034_002,REL_ANN_001,REV326
REL000035,NAR000035_EN,EVT000035_001,EVT000035_002,BEFORE,probable,"The system administrator observed anomalous traffic originating from unauthorized servers around 15:20, confirming a systemwide phishing scam.",EVT000035_001 precedes EVT000035_002,REL_ANN_001,REV688
REL000036,NAR000036_EN,EVT000036_001,EVT000036_002,FOLLOWS,probable,"The dispute involves contested boundaries and ownership titles, requiring civil or criminal mediation to preserve public order..",EVT000036_001 precedes EVT000036_002,REL_ANN_001,REV800
REL000037,NAR000037_EN,EVT000037_001,EVT000037_002,BEFORE,probable,An incident of cyberstalking compromised security systems across the specified House at 16:59.,EVT000037_001 precedes EVT000037_002,REL_ANN_001,REV560
REL000038,NAR000038_EN,EVT000038_001,EVT000038_002,BEFORE,certain,Property loss reported.,EVT000038_001 precedes EVT000038_002,REL_ANN_001,REV888
REL000039,NAR000039_EN,EVT000039_001,EVT000039_002,FOLLOWS,certain,Property ownership documents have been submitted for verification..,EVT000039_001 precedes EVT000039_002,REL_ANN_001,REV368
REL000040,NAR000040_EN,EVT000040_001,EVT000040_002,FOLLOWS,certain,Corporate payroll and logs have been requested..,EVT000040_001 precedes EVT000040_002,REL_ANN_001,REV613
REL000041,NAR000041_EN,EVT000041_001,EVT000041_002,BEFORE,probable,"unauthorized charges are showing up on multiple profiles, notify your branch manager asap.",EVT000041_001 precedes EVT000041_002,REL_ANN_001,REV709
REL000042,NAR000042_EN,EVT000042_001,EVT000042_002,BEFORE,probable,"I was just minding my own business at the hostel around 08:11, when this aggressive person started shouting at me out of nowhere.",EVT000042_001 precedes EVT000042_002,REL_ANN_001,REV745
REL000043,NAR000043_EN,EVT000043_001,EVT000043_002,BEFORE,probable,"The victim lost valuable items instantly, and the unidentified suspect fled immediately before any bystanders could intervene..",EVT000043_001 precedes EVT000043_002,REL_ANN_001,REV781
REL000044,NAR000044_EN,EVT000044_001,EVT000044_002,BEFORE,probable,guys stay away from the Highway right now!,EVT000044_001 precedes EVT000044_002,REL_ANN_001,REV971
REL000045,NAR000045_EN,EVT000045_001,EVT000045_002,BEFORE,probable,pls help someone is targeting me with domestic dispute right now at the House!!,EVT000045_001 precedes EVT000045_002,REL_ANN_001,REV126
REL000046,NAR000046_EN,EVT000046_001,EVT000046_002,BEFORE,probable,"On the date of 2026-06-27, an advanced threat actor initiated an exploit categorized under social media hacking targeting remote infrastructures at approximately 14:01.",EVT000046_001 precedes EVT000046_002,REL_ANN_001,REV665
REL000047,NAR000047_EN,EVT000047_001,EVT000047_002,BEFORE,certain,"Dear Revenue Officer / Police Commissioner, I am writing to register an urgent complaint regarding a critical instance of boundary wall dispute affecting my House.",EVT000047_001 precedes EVT000047_002,REL_ANN_001,REV961
REL000048,NAR000048_EN,EVT000048_001,EVT000048_002,FOLLOWS,certain,"A customer was contesting a distinct case of defective product delivery, showing clear evidence to the merchant, who continuously refused liability or proper resolution..",EVT000048_001 precedes EVT000048_002,REL_ANN_001,REV259
REL000049,NAR000049_EN,EVT000049_001,EVT000049_002,BEFORE,probable,super sketchy service watch out.,EVT000049_001 precedes EVT000049_002,REL_ANN_001,REV123
REL000050,NAR000050_EN,EVT000050_001,EVT000050_002,BEFORE,certain,anyone nearby please help or tell me where the nearest police booth is asap!!,EVT000050_001 precedes EVT000050_002,REL_ANN_001,REV111
REL000051,NAR000051_EN,EVT000051_001,EVT000051_002,BEFORE,probable,An employment dispute involving breach of employment contract escalated at the online platform at 02:40.,EVT000051_001 precedes EVT000051_002,REL_ANN_001,REV364
REL000052,NAR000052_EN,EVT000052_001,EVT000052_002,BEFORE,probable,"I've been working at this factory for months, and around 02:15 yesterday, things hit a breaking point with a massive safe working conditions violation.",EVT000052_001 precedes EVT000052_002,REL_ANN_001,REV930
REL000053,NAR000053_EN,EVT000053_001,EVT000053_002,BEFORE,probable,"On the date of 2026-07-03, a formal consumer conflict classified as defective product delivery manifested during a commercial interaction at the designated house around 01:19.",EVT000053_001 precedes EVT000053_002,REL_ANN_001,REV931
REL000054,NAR000054_EN,EVT000054_001,EVT000054_002,BEFORE,probable,"The victim lost valuable items instantly, and the unidentified suspect fled immediately before any bystanders could intervene..",EVT000054_001 precedes EVT000054_002,REL_ANN_001,REV193
REL000055,NAR000055_EN,EVT000055_001,EVT000055_002,BEFORE,probable,guys stay away from the Parking lot right now!,EVT000055_001 precedes EVT000055_002,REL_ANN_001,REV901
REL000056,NAR000056_EN,EVT000056_001,EVT000056_002,FOLLOWS,certain,The internal auditor observed highly irregular transaction entries passing through the workplace around 07:50.,EVT000056_001 precedes EVT000056_002,REL_ANN_001,REV227
REL000057,NAR000057_EN,EVT000057_001,EVT000057_002,BEFORE,certain,The neighbor reported hearing intense shouting and objects breaking from the adjacent apartment around 16:24.,EVT000057_001 precedes EVT000057_002,REL_ANN_001,REV715
REL000058,NAR000058_EN,EVT000058_001,EVT000058_002,BEFORE,probable,hey guys warning someone hacked my account via phishing scam just now around 20:02!!,EVT000058_001 precedes EVT000058_002,REL_ANN_001,REV583
REL000059,NAR000059_EN,EVT000059_001,EVT000059_002,BEFORE,probable,hey guys warning someone hacked my account via identity theft just now around 15:03!!,EVT000059_001 precedes EVT000059_002,REL_ANN_001,REV725
REL000060,NAR000060_EN,EVT000060_001,EVT000060_002,BEFORE,probable,An incident of online banking fraud compromised security systems across the specified Mobile app at 12:33.,EVT000060_001 precedes EVT000060_002,REL_ANN_001,REV648
REL000061,NAR000061_EN,EVT000061_001,EVT000061_002,FOLLOWS,certain,"A customer was contesting a distinct case of overcharging and hidden fees, showing clear evidence to the merchant, who continuously refused liability or proper resolution..",EVT000061_001 precedes EVT000061_002,REL_ANN_001,REV830
REL000062,NAR000062_EN,EVT000062_001,EVT000062_002,FOLLOWS,certain,Digital logs preserved for forensic analysis..,EVT000062_001 precedes EVT000062_002,REL_ANN_001,REV305
REL000063,NAR000063_EN,EVT000063_001,EVT000063_002,BEFORE,certain,"Dear Legal Counsel / Mediation Cell, I am writing to formally report a non-compliance issue regarding our ongoing restitution of conjugal rights at the residence.",EVT000063_001 precedes EVT000063_002,REL_ANN_001,REV460
REL000064,NAR000064_EN,EVT000064_001,EVT000064_002,BEFORE,certain,Property loss reported.,EVT000064_001 precedes EVT000064_002,REL_ANN_001,REV922
REL000065,NAR000065_EN,EVT000065_001,EVT000065_002,BEFORE,probable,super sketchy service watch out.,EVT000065_001 precedes EVT000065_002,REL_ANN_001,REV802
REL000066,NAR000066_EN,EVT000066_001,EVT000066_002,BEFORE,probable,"The victim lost valuable items instantly, and the unidentified suspect fled immediately before any bystanders could intervene..",EVT000066_001 precedes EVT000066_002,REL_ANN_001,REV714
REL000067,NAR000067_EN,EVT000067_001,EVT000067_002,BEFORE,probable,"The driver didn't even stop to check if anyone was hurt, they just accelerated away immediately.",EVT000067_001 precedes EVT000067_002,REL_ANN_001,REV127
REL000068,NAR000068_EN,EVT000068_001,EVT000068_002,BEFORE,probable,"The driver didn't even stop to check if anyone was hurt, they just accelerated away immediately.",EVT000068_001 precedes EVT000068_002,REL_ANN_001,REV985
REL000069,NAR000069_EN,EVT000069_001,EVT000069_002,BEFORE,certain,"The vendor reportedly engaged in unfair trade practices, failing to resolve the commercial non-compliance.",EVT000069_001 precedes EVT000069_002,REL_ANN_001,REV401
REL000070,NAR000070_EN,EVT000070_001,EVT000070_002,BEFORE,probable,A family civil dispute categorized as child custody dispute manifested within a private residence at 15:35.,EVT000070_001 precedes EVT000070_002,REL_ANN_001,REV744
REL000071,NAR000071_EN,EVT000071_001,EVT000071_002,BEFORE,probable,Relevant documentation has been requested for family court presentation..,EVT000071_001 precedes EVT000071_002,REL_ANN_001,REV233
REL000072,NAR000072_EN,EVT000072_001,EVT000072_002,BEFORE,probable,Security personnel were subsequently informed to review the breach of safety within the jurisdiction..,EVT000072_001 precedes EVT000072_002,REL_ANN_001,REV249
REL000073,NAR000073_EN,EVT000073_001,EVT000073_002,BEFORE,probable,guys please help they are trying to take over the Agricultural land right now!!,EVT000073_001 precedes EVT000073_002,REL_ANN_001,REV195
REL000074,NAR000074_EN,EVT000074_001,EVT000074_002,BEFORE,certain,Internal risk assets teams have initiated emergency containment protocols while formal complaints are being forwarded to statutory economic offenses wings within the state jurisdiction..,EVT000074_001 precedes EVT000074_002,REL_ANN_001,REV876
REL000075,NAR000075_EN,EVT000075_001,EVT000075_002,BEFORE,certain,"Several individuals were actively contesting an instance of illegal property possession, with local residents stepping in to prevent physical escalation before authorities were notified..",EVT000075_001 precedes EVT000075_002,REL_ANN_001,REV851
REL000076,NAR000076_EN,EVT000076_001,EVT000076_002,BEFORE,probable,"So I was just standing at the marketplace around 12:35 yesterday, checking my phone, when this guy suddenly rushed past me and grabbed my belongings out of nowhere!",EVT000076_001 precedes EVT000076_002,REL_ANN_001,REV233
REL000077,NAR000077_EN,EVT000077_001,EVT000077_002,BEFORE,probable,"So I was waiting at the apartment around 13:34 today for my scheduled meeting, when my ex turned up and started an absolute argument over our guardianship dispute.",EVT000077_001 precedes EVT000077_002,REL_ANN_001,REV536
REL000078,NAR000078_EN,EVT000078_001,EVT000078_002,BEFORE,probable,please call someone or come over i am hiding in the washroom right now text me back please.,EVT000078_001 precedes EVT000078_002,REL_ANN_001,REV693
REL000079,NAR000079_EN,EVT000079_001,EVT000079_002,BEFORE,probable,"Shortly after, they approached the victim from behind, forcefully committed chain snatching, and fled the scene on a two-wheeler heading north..",EVT000079_001 precedes EVT000079_002,REL_ANN_001,REV368
REL000080,NAR000080_EN,EVT000080_001,EVT000080_002,FOLLOWS,probable,"The dispute involves contested boundaries and ownership titles, requiring civil or criminal mediation to preserve public order..",EVT000080_001 precedes EVT000080_002,REL_ANN_001,REV637
REL000081,NAR000081_EN,EVT000081_001,EVT000081_002,BEFORE,probable,"Dear Human Resources and Labor Commissioner, I am writing to formally lodge a grievance regarding the ongoing pattern of breach of employment contract within the Online platform.",EVT000081_001 precedes EVT000081_002,REL_ANN_001,REV188
REL000082,NAR000082_EN,EVT000082_001,EVT000082_002,BEFORE,probable,"On the afternoon of 2026-06-28, a long-standing land friction culminated in an explicit case of tenant-landlord conflict at the designated house around 23:37 hours.",EVT000082_001 precedes EVT000082_002,REL_ANN_001,REV401
REL000083,NAR000083_EN,EVT000083_001,EVT000083_002,BEFORE,probable,guys stay away from the Alleyway right now!,EVT000083_001 precedes EVT000083_002,REL_ANN_001,REV511
REL000084,NAR000084_EN,EVT000084_001,EVT000084_002,BEFORE,probable,"On the date of 2026-07-03, a formal consumer conflict classified as false advertising and misrepresentation manifested during a commercial interaction at the designated showroom around 01:34.",EVT000084_001 precedes EVT000084_002,REL_ANN_001,REV991
REL000085,NAR000085_EN,EVT000085_001,EVT000085_002,FOLLOWS,certain,Audit trails have been preserved..,EVT000085_001 precedes EVT000085_002,REL_ANN_001,REV355
REL000086,NAR000086_EN,EVT000086_001,EVT000086_002,BEFORE,probable,"Dear Management, I am writing to formally log a grievance regarding a distressing incident of physical altercation that occurred today at approximately 11:34 within the Road.",EVT000086_001 precedes EVT000086_002,REL_ANN_001,REV538
REL000087,NAR000087_EN,EVT000087_001,EVT000087_002,FOLLOWS,certain,Digital logs preserved for forensic analysis..,EVT000087_001 precedes EVT000087_002,REL_ANN_001,REV470
REL000088,NAR000088_EN,EVT000088_001,EVT000088_002,BEFORE,certain,"Dear Protection Officer, I am writing to formally report an escalating pattern of domestic violence, specifically intimate partner violence, at my residence.",EVT000088_001 precedes EVT000088_002,REL_ANN_001,REV703
REL000089,NAR000089_EN,EVT000089_001,EVT000089_002,FOLLOWS,certain,The internal auditor observed highly irregular transaction entries passing through the office around 06:20.,EVT000089_001 precedes EVT000089_002,REL_ANN_001,REV328
REL000090,NAR000090_EN,EVT000090_001,EVT000090_002,BEFORE,probable,please call someone or come over i am hiding in the washroom right now text me back please.,EVT000090_001 precedes EVT000090_002,REL_ANN_001,REV804
REL000091,NAR000091_EN,EVT000091_001,EVT000091_002,BEFORE,probable,Intervention was requested by the victim's family members..,EVT000091_001 precedes EVT000091_002,REL_ANN_001,REV820
REL000092,NAR000092_EN,EVT000092_001,EVT000092_002,BEFORE,certain,anyone nearby please help or tell me where the nearest police booth is asap!!,EVT000092_001 precedes EVT000092_002,REL_ANN_001,REV764
REL000093,NAR000093_EN,EVT000093_001,EVT000093_002,BEFORE,certain,"The vendor reportedly engaged in unfair trade practices, failing to resolve the commercial non-compliance.",EVT000093_001 precedes EVT000093_002,REL_ANN_001,REV458
REL000094,NAR000094_EN,EVT000094_001,EVT000094_002,BEFORE,probable,"hey guys, my ex just blocked me from seeing the kids / resolving the divorce proceedings conflict at the Apartment around 09:43 today.",EVT000094_001 precedes EVT000094_002,REL_ANN_001,REV285
REL000095,NAR000095_EN,EVT000095_001,EVT000095_002,BEFORE,probable,An employment dispute involving breach of employment contract escalated at the online platform at 22:26.,EVT000095_001 precedes EVT000095_002,REL_ANN_001,REV260
REL000096,NAR000096_EN,EVT000096_001,EVT000096_002,BEFORE,probable,An employment dispute involving safe working conditions violation escalated at the construction site at 11:39.,EVT000096_001 precedes EVT000096_002,REL_ANN_001,REV537
REL000097,NAR000097_EN,EVT000097_001,EVT000097_002,BEFORE,probable,Intervention was requested by the victim's family members..,EVT000097_001 precedes EVT000097_002,REL_ANN_001,REV620
REL000098,NAR000098_EN,EVT000098_001,EVT000098_002,BEFORE,probable,"Dear Management, I am writing to formally log a grievance regarding a distressing incident of physical altercation that occurred today at approximately 00:18 within the Hostel.",EVT000098_001 precedes EVT000098_002,REL_ANN_001,REV574
REL000099,NAR000099_EN,EVT000099_001,EVT000099_002,BEFORE,probable,"Dear Municipal Authorities, I am writing to formally log a civic grievance regarding the ongoing pattern of minor civic infrastructure issue at the Alleyway.",EVT000099_001 precedes EVT000099_002,REL_ANN_001,REV273
REL000100,NAR000100_EN,EVT000100_001,EVT000100_002,FOLLOWS,certain,"A customer was contesting a distinct case of refusal of service refund, showing clear evidence to the merchant, who continuously refused liability or proper resolution..",EVT000100_001 precedes EVT000100_002,REL_ANN_001,REV961
REL000101,NAR000101_EN,EVT000101_001,EVT000101_002,BEFORE,certain,I want to report an incident.,EVT000101_001 precedes EVT000101_002,REL_ANN_001,REV198
REL000102,NAR000102_EN,EVT000102_001,EVT000102_002,BEFORE,certain,I want to report an incident.,EVT000102_001 precedes EVT000102_002,REL_ANN_001,REV934
REL000103,NAR000103_EN,EVT000103_001,EVT000103_002,BEFORE,certain,I want to report an incident.,EVT000103_001 precedes EVT000103_002,REL_ANN_001,REV599
REL000104,NAR000104_EN,EVT000104_001,EVT000104_002,BEFORE,certain,I want to report an incident.,EVT000104_001 precedes EVT000104_002,REL_ANN_001,REV956
REL000105,NAR000105_EN,EVT000105_001,EVT000105_002,BEFORE,certain,I want to report an incident.,EVT000105_001 precedes EVT000105_002,REL_ANN_001,REV264
REL000106,NAR000106_EN,EVT000106_001,EVT000106_002,BEFORE,certain,I want to report an incident.,EVT000106_001 precedes EVT000106_002,REL_ANN_001,REV536
REL000107,NAR000107_EN,EVT000107_001,EVT000107_002,BEFORE,certain,I want to report an incident.,EVT000107_001 precedes EVT000107_002,REL_ANN_001,REV571
REL000108,NAR000108_EN,EVT000108_001,EVT000108_002,BEFORE,certain,I want to report an incident.,EVT000108_001 precedes EVT000108_002,REL_ANN_001,REV568
REL000109,NAR000109_EN,EVT000109_001,EVT000109_002,BEFORE,certain,I want to report an incident.,EVT000109_001 precedes EVT000109_002,REL_ANN_001,REV645
REL000110,NAR000110_EN,EVT000110_001,EVT000110_002,BEFORE,certain,I want to report an incident.,EVT000110_001 precedes EVT000110_002,REL_ANN_001,REV550
REL000111,NAR000111_EN,EVT000111_001,EVT000111_002,BEFORE,certain,I want to report an incident.,EVT000111_001 precedes EVT000111_002,REL_ANN_001,REV155
REL000112,NAR000112_EN,EVT000112_001,EVT000112_002,BEFORE,certain,I want to report an incident.,EVT000112_001 precedes EVT000112_002,REL_ANN_001,REV999
REL000113,NAR000113_EN,EVT000113_001,EVT000113_002,BEFORE,certain,I want to report an incident.,EVT000113_001 precedes EVT000113_002,REL_ANN_001,REV580
REL000114,NAR000114_EN,EVT000114_001,EVT000114_002,BEFORE,certain,I want to report an incident.,EVT000114_001 precedes EVT000114_002,REL_ANN_001,REV571
REL000115,NAR000115_EN,EVT000115_001,EVT000115_002,BEFORE,certain,I want to report an incident.,EVT000115_001 precedes EVT000115_002,REL_ANN_001,REV665
REL000116,NAR000116_EN,EVT000116_001,EVT000116_002,BEFORE,certain,I want to report an incident.,EVT000116_001 precedes EVT000116_002,REL_ANN_001,REV367
REL000117,NAR000117_EN,EVT000117_001,EVT000117_002,BEFORE,certain,I want to report an incident.,EVT000117_001 precedes EVT000117_002,REL_ANN_001,REV903
REL000118,NAR000118_EN,EVT000118_001,EVT000118_002,BEFORE,certain,I want to report an incident.,EVT000118_001 precedes EVT000118_002,REL_ANN_001,REV455
REL000119,NAR000119_EN,EVT000119_001,EVT000119_002,BEFORE,certain,I want to report an incident.,EVT000119_001 precedes EVT000119_002,REL_ANN_001,REV523
REL000120,NAR000120_EN,EVT000120_001,EVT000120_002,BEFORE,certain,I want to report an incident.,EVT000120_001 precedes EVT000120_002,REL_ANN_001,REV291
REL000121,NAR000121_EN,EVT000121_001,EVT000121_002,BEFORE,certain,I want to report an incident.,EVT000121_001 precedes EVT000121_002,REL_ANN_001,REV158
REL000122,NAR000122_EN,EVT000122_001,EVT000122_002,BEFORE,certain,I want to report an incident.,EVT000122_001 precedes EVT000122_002,REL_ANN_001,REV984
REL000123,NAR000123_EN,EVT000123_001,EVT000123_002,BEFORE,certain,I want to report an incident.,EVT000123_001 precedes EVT000123_002,REL_ANN_001,REV916
REL000124,NAR000124_EN,EVT000124_001,EVT000124_002,BEFORE,certain,I want to report an incident.,EVT000124_001 precedes EVT000124_002,REL_ANN_001,REV148
REL000125,NAR000125_EN,EVT000125_001,EVT000125_002,BEFORE,certain,I want to report an incident.,EVT000125_001 precedes EVT000125_002,REL_ANN_001,REV468
REL000126,NAR000126_EN,EVT000126_001,EVT000126_002,BEFORE,certain,I want to report an incident.,EVT000126_001 precedes EVT000126_002,REL_ANN_001,REV309
REL000127,NAR000127_EN,EVT000127_001,EVT000127_002,CAUSES,certain,The collision or blockage led to structural vehicular property damage and caused a severe traffic bottleneck requiring immediate clearing.,EVT000127_001 causes EVT000127_002,REL_ANN_001,REV413
REL000128,NAR000128_EN,EVT000128_001,EVT000128_002,BEFORE,certain,I want to report an incident.,EVT000128_001 precedes EVT000128_002,REL_ANN_001,REV747
REL000129,NAR000129_EN,EVT000129_001,EVT000129_002,CAUSES,certain,The collision or blockage led to structural vehicular property damage and caused a severe traffic bottleneck requiring immediate clearing.,EVT000129_001 causes EVT000129_002,REL_ANN_001,REV353
REL000130,NAR000130_EN,EVT000130_001,EVT000130_002,BEFORE,certain,I want to report an incident.,EVT000130_001 precedes EVT000130_002,REL_ANN_001,REV933
REL000131,NAR000131_EN,EVT000131_001,EVT000131_002,BEFORE,certain,I want to report an incident.,EVT000131_001 precedes EVT000131_002,REL_ANN_001,REV152
REL000132,NAR000132_EN,EVT000132_001,EVT000132_002,BEFORE,certain,I want to report an incident.,EVT000132_001 precedes EVT000132_002,REL_ANN_001,REV103
REL000133,NAR000133_EN,EVT000133_001,EVT000133_002,BEFORE,certain,I want to report an incident.,EVT000133_001 precedes EVT000133_002,REL_ANN_001,REV477
REL000134,NAR000134_EN,EVT000134_001,EVT000134_002,BEFORE,certain,I want to report an incident.,EVT000134_001 precedes EVT000134_002,REL_ANN_001,REV908
REL000135,NAR000135_EN,EVT000135_001,EVT000135_002,BEFORE,certain,I want to report an incident.,EVT000135_001 precedes EVT000135_002,REL_ANN_001,REV173
REL000136,NAR000136_EN,EVT000136_001,EVT000136_002,BEFORE,certain,I want to report an incident.,EVT000136_001 precedes EVT000136_002,REL_ANN_001,REV117
REL000137,NAR000137_EN,EVT000137_001,EVT000137_002,BEFORE,certain,I want to report an incident.,EVT000137_001 precedes EVT000137_002,REL_ANN_001,REV365
REL000138,NAR000138_EN,EVT000138_001,EVT000138_002,BEFORE,certain,I want to report an incident.,EVT000138_001 precedes EVT000138_002,REL_ANN_001,REV832
REL000139,NAR000139_EN,EVT000139_001,EVT000139_002,BEFORE,certain,I want to report an incident.,EVT000139_001 precedes EVT000139_002,REL_ANN_001,REV218
