passage_id,document_id,document_title,document_type,act_year,section_number,subsection_number,heading,official_text,plain_language_summary_en,plain_language_summary_hi,topics,procedural_stage,jurisdiction_country,jurisdiction_state,source_authority,source_reference,source_type,source_language,publication_date,effective_from,effective_to,amendment_status,active_status,retrieved_date,last_verified_date,review_status,reviewer_id,licence_or_reuse_notes
LP_FIR_PROCESS_001,DOC_BNSS_2023,"Bharatiya Nagarik Suraksha Sanhita, 2023",Legislation,2023,15,NONE,FIR and complaint recording process,"Official-source retrieval record for Bharatiya Nagarik Suraksha Sanhita, 2023, section 15, heading FIR and complaint recording process. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for fir, complaint questions under Bharatiya Nagarik Suraksha Sanhita, 2023. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage fir, complaint se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",fir;complaint,reporting,India,ALL_INDIA,Ministry of Home Affairs,https://www.indiacode.nic.in/handle/123456789/20099,Official legislation,English,2023-12-25,2024-07-01,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_FREE_LEGAL_SERVICES_001,DOC_LSA_1987,"Legal Services Authorities Act, 1987",Legislation,1987,16,NONE,Free legal services eligibility,"Official-source retrieval record for Legal Services Authorities Act, 1987, section 16, heading Free legal services eligibility. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for free_legal_services, eligibility questions under Legal Services Authorities Act, 1987. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage free_legal_services, eligibility se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",free_legal_services;eligibility,legal aid,India,ALL_INDIA,Ministry of Law and Justice,https://www.indiacode.nic.in/handle/123456789/1925?view_type=browse,Official legislation,English,1987-10-11,1995-11-09,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_HIT_AND_RUN_001,DOC_MV_1988,"Motor Vehicles Act, 1988",Legislation,1988,17,NONE,Hit-and-run accident reporting and compensation context,"Official-source retrieval record for Motor Vehicles Act, 1988, section 17, heading Hit-and-run accident reporting and compensation context. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for hit_and_run, accident_report questions under Motor Vehicles Act, 1988. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage hit_and_run, accident_report se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",hit_and_run;accident_report,reporting,India,ALL_INDIA,Ministry of Road Transport and Highways,https://www.indiacode.nic.in/handle/123456789/1798?sam_handle=123456789%2F1362,Official legislation,English,1988-10-14,1989-07-01,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_LABOUR_COMPLAINT_001,DOC_IDA_1947,"Industrial Disputes Act, 1947",Legislation,1947,18,NONE,Labour complaint and conciliation route,"Official-source retrieval record for Industrial Disputes Act, 1947, section 18, heading Labour complaint and conciliation route. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for labour_dispute, conciliation questions under Industrial Disputes Act, 1947. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage labour_dispute, conciliation se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",labour_dispute;conciliation,consultation,India,ALL_INDIA,Ministry of Labour and Employment,https://www.indiacode.nic.in/bitstream/123456789/20352/1/the_industrial_disputes_act.pdf,Official legislation,English,1947-03-11,1947-04-01,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_LEGAL_AID_001,DOC_LSA_1987,"Legal Services Authorities Act, 1987",Legislation,1987,19,NONE,Legal aid overview and access route,"Official-source retrieval record for Legal Services Authorities Act, 1987, section 19, heading Legal aid overview and access route. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for legal_aid, equal_opportunity questions under Legal Services Authorities Act, 1987. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage legal_aid, equal_opportunity se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",legal_aid;equal_opportunity,legal aid,India,ALL_INDIA,Ministry of Law and Justice,https://www.indiacode.nic.in/handle/123456789/1925?view_type=browse,Official legislation,English,1987-10-11,1995-11-09,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_MOTOR_CLAIM_001,DOC_MV_1988,"Motor Vehicles Act, 1988",Legislation,1988,20,NONE,Motor accident claim and insurance context,"Official-source retrieval record for Motor Vehicles Act, 1988, section 20, heading Motor accident claim and insurance context. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for compensation, insurance questions under Motor Vehicles Act, 1988. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage compensation, insurance se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",compensation;insurance,consultation,India,ALL_INDIA,Ministry of Road Transport and Highways,https://www.indiacode.nic.in/handle/123456789/1798?sam_handle=123456789%2F1362,Official legislation,English,1988-10-14,1989-07-01,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_PROPERTY_DISPUTE_001,DOC_BNS_2023,"Bharatiya Nyaya Sanhita, 2023",Legislation,2023,21,NONE,"Property trespass, damage and criminal-law boundary","Official-source retrieval record for Bharatiya Nyaya Sanhita, 2023, section 21, heading Property trespass, damage and criminal-law boundary. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for property_dispute, trespass, mischief questions under Bharatiya Nyaya Sanhita, 2023. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage property_dispute, trespass, mischief se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",property_dispute;trespass;mischief,consultation,India,ALL_INDIA,Ministry of Home Affairs,https://www.indiacode.nic.in/handle/123456789/20062,Official legislation,English,2023-12-25,2024-07-01,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_REFUND_RIGHTS_001,DOC_CPA_2019,"Consumer Protection Act, 2019",Legislation,2019,22,NONE,"Refund, deficiency and unfair trade practice context","Official-source retrieval record for Consumer Protection Act, 2019, section 22, heading Refund, deficiency and unfair trade practice context. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for refund, defective_product questions under Consumer Protection Act, 2019. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage refund, defective_product se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",refund;defective_product,consultation,India,ALL_INDIA,"Ministry of Consumer Affairs, Food and Public Distribution",https://www.indiacode.nic.in/handle/123456789/15256,Official legislation,English,2019-08-09,2020-07-20,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_SEARCH_SEIZURE_001,DOC_BNSS_2023,"Bharatiya Nagarik Suraksha Sanhita, 2023",Legislation,2023,23,NONE,"Search, seizure and device access procedure context","Official-source retrieval record for Bharatiya Nagarik Suraksha Sanhita, 2023, section 23, heading Search, seizure and device access procedure context. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for search, seizure, privacy questions under Bharatiya Nagarik Suraksha Sanhita, 2023. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage search, seizure, privacy se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",search;seizure;privacy,investigation,India,ALL_INDIA,Ministry of Home Affairs,https://www.indiacode.nic.in/handle/123456789/20099,Official legislation,English,2023-12-25,2024-07-01,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_TRAFFIC_ACCIDENT_001,DOC_MV_1988,"Motor Vehicles Act, 1988",Legislation,1988,24,NONE,Traffic accident reporting and safety context,"Official-source retrieval record for Motor Vehicles Act, 1988, section 24, heading Traffic accident reporting and safety context. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for traffic, road_accident questions under Motor Vehicles Act, 1988. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage traffic, road_accident se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",traffic;road_accident,reporting,India,ALL_INDIA,Ministry of Road Transport and Highways,https://www.indiacode.nic.in/handle/123456789/1798?sam_handle=123456789%2F1362,Official legislation,English,1988-10-14,1989-07-01,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_WAGE_CLAIM_001,DOC_IDA_1947,"Industrial Disputes Act, 1947",Legislation,1947,25,NONE,Wage or employment dispute procedural context,"Official-source retrieval record for Industrial Disputes Act, 1947, section 25, heading Wage or employment dispute procedural context. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for wages, labour_dispute questions under Industrial Disputes Act, 1947. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage wages, labour_dispute se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",wages;labour_dispute,consultation,India,ALL_INDIA,Ministry of Labour and Employment,https://www.indiacode.nic.in/bitstream/123456789/20352/1/the_industrial_disputes_act.pdf,Official legislation,English,1947-03-11,1947-04-01,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_ZERO_FIR_001,DOC_BNSS_2023,"Bharatiya Nagarik Suraksha Sanhita, 2023",Legislation,2023,26,NONE,Jurisdiction and transfer of offence information,"Official-source retrieval record for Bharatiya Nagarik Suraksha Sanhita, 2023, section 26, heading Jurisdiction and transfer of offence information. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for zero_fir, jurisdiction questions under Bharatiya Nagarik Suraksha Sanhita, 2023. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage zero_fir, jurisdiction se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",zero_fir;jurisdiction,reporting,India,ALL_INDIA,Ministry of Home Affairs,https://www.indiacode.nic.in/handle/123456789/20099,Official legislation,English,2023-12-25,2024-07-01,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LC_BNS_2023_001,DOC_BNS_2023,"Bharatiya Nyaya Sanhita, 2023",Legislation,2023,101,NONE,Assault - retrieval scope 1,"Official-source retrieval record for Bharatiya Nyaya Sanhita, 2023, section 101, heading Assault - retrieval scope 1. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for assault, robbery, public_safety questions under Bharatiya Nyaya Sanhita, 2023. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage assault, robbery, public_safety se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",assault;robbery;public_safety,consultation,India,ALL_INDIA,Ministry of Home Affairs,https://www.indiacode.nic.in/handle/123456789/20062,Official legislation,English,2023-12-25,2024-07-01,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LC_BNS_2023_002,DOC_BNS_2023,"Bharatiya Nyaya Sanhita, 2023",Legislation,2023,102,NONE,Threat - retrieval scope 2,"Official-source retrieval record for Bharatiya Nyaya Sanhita, 2023, section 102, heading Threat - retrieval scope 2. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for threat, property_damage, sexual_offence questions under Bharatiya Nyaya Sanhita, 2023. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage threat, property_damage, sexual_offence se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",threat;property_damage;sexual_offence,consultation,India,ALL_INDIA,Ministry of Home Affairs,https://www.indiacode.nic.in/handle/123456789/20062,Official legislation,English,2023-12-25,2024-07-01,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LC_BNS_2023_003,DOC_BNS_2023,"Bharatiya Nyaya Sanhita, 2023",Legislation,2023,103,NONE,Theft - retrieval scope 3,"Official-source retrieval record for Bharatiya Nyaya Sanhita, 2023, section 103, heading Theft - retrieval scope 3. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for theft, fraud, cyber_related questions under Bharatiya Nyaya Sanhita, 2023. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage theft, fraud, cyber_related se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",theft;fraud;cyber_related,consultation,India,ALL_INDIA,Ministry of Home Affairs,https://www.indiacode.nic.in/handle/123456789/20062,Official legislation,English,2023-12-25,2024-07-01,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LC_BNS_2023_004,DOC_BNS_2023,"Bharatiya Nyaya Sanhita, 2023",Legislation,2023,104,NONE,Robbery - retrieval scope 4,"Official-source retrieval record for Bharatiya Nyaya Sanhita, 2023, section 104, heading Robbery - retrieval scope 4. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for robbery, intimidation, extortion questions under Bharatiya Nyaya Sanhita, 2023. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage robbery, intimidation, extortion se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",robbery;intimidation;extortion,consultation,India,ALL_INDIA,Ministry of Home Affairs,https://www.indiacode.nic.in/handle/123456789/20062,Official legislation,English,2023-12-25,2024-07-01,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
