evaluation_id,case_id,evaluator_id,evaluator_role,classification_correctness,entity_extraction_correctness,event_extraction_correctness,timeline_correctness,missing_question_relevance,question_clarity,question_sensitivity,summary_completeness,summary_factuality,hallucination_present,legal_source_relevance,citation_correctness,overall_clarity,professional_usefulness,user_usefulness,comments,evaluation_date
HEVAL000023,GOUT000011_EN,EVAL_ORDINARY_USER_008,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 23: Summary is understandable for the online harassment & threats matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000024,GOUT000011_EN,EVAL_LEGAL_REVIEWER_008,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 24: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_CRIME_REPORTING_001;LP_EMERGENCY_HELP_001;LP_FIR_PROCESS_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000025,GOUT000013_EN,EVAL_NLP_009,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 25: Consumer Disputes label for overcharging and hidden fees is consistent; 1 linked entity mentions, 2 event rows, and 6 follow-up prompts support the generated output. Remaining gap noted: partially_provided: product_or_service | missing: refund_or_remedy_requested.",2026-07-20
HEVAL000026,GOUT000013_EN,EVAL_ORDINARY_USER_009,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 26: Summary is understandable for the overcharging and hidden fees matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000027,GOUT000013_EN,EVAL_LEGAL_REVIEWER_009,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 27: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_CONSUMER_COMPLAINT_001;LP_REFUND_RIGHTS_001;LP_ECOMMERCE_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000028,GOUT000014_EN,EVAL_NLP_010,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 28: Traffic & Road Incidents label for reckless driving confrontation is consistent; 1 linked entity mentions, 2 event rows, and 3 follow-up prompts support the generated output. Remaining gap noted: partially_provided: vehicle_details.",2026-07-20
HEVAL000029,GOUT000014_EN,EVAL_ORDINARY_USER_010,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 29: Summary is understandable for the reckless driving confrontation matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000030,GOUT000014_EN,EVAL_LEGAL_REVIEWER_010,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 30: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_TRAFFIC_ACCIDENT_001;LP_HIT_AND_RUN_001;LP_MOTOR_CLAIM_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000031,GOUT000015_EN,EVAL_NLP_011,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 31: Financial Fraud label for insurance claim fraud is consistent; 1 linked entity mentions, 2 event rows, and 6 follow-up prompts support the generated output. Remaining gap noted: optional: documents_or_audit_trail, institution_notified.",2026-07-20
HEVAL000032,GOUT000015_EN,EVAL_ORDINARY_USER_011,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 32: Summary is understandable for the insurance claim fraud matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000033,GOUT000015_EN,EVAL_LEGAL_REVIEWER_011,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 33: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_FINANCIAL_CYBER_FRAUD_001;LP_CYBER_REPORTING_001;LP_DIGITAL_EVIDENCE_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000034,GOUT000016_EN,EVAL_NLP_012,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 34: Domestic Violence label for economic deprivation is consistent; 1 linked entity mentions, 2 event rows, and 15 follow-up prompts support the generated output. Remaining gap noted: partially_provided: relationship_to_offender, current_shelter_safety | optional: children_or_dependents, evidence_available | missing: injury_or_medical_need.",2026-07-20
HEVAL000035,GOUT000016_EN,EVAL_ORDINARY_USER_012,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 35: Summary is understandable for the economic deprivation matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000036,GOUT000016_EN,EVAL_LEGAL_REVIEWER_012,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 36: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_DOMESTIC_VIOLENCE_001;LP_EMERGENCY_HELP_001;LP_LEGAL_AID_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000037,GOUT000017_EN,EVAL_NLP_013,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 37: Assault & Threats label for domestic dispute is consistent; 1 linked entity mentions, 2 event rows, and 15 follow-up prompts support the generated output. Remaining gap noted: missing: threat_or_attack_description, injury_details | optional: alleged_offender_identity, safe_place_available, medical_help_status.",2026-07-20
HEVAL000038,GOUT000017_EN,EVAL_ORDINARY_USER_013,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 38: Summary is understandable for the domestic dispute matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000039,GOUT000017_EN,EVAL_LEGAL_REVIEWER_013,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 39: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_CRIME_REPORTING_001;LP_EMERGENCY_HELP_001;LP_FIR_PROCESS_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000040,GOUT000018_EN,EVAL_NLP_014,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 40: Cybercrime label for ransomware attack is consistent; 1 linked entity mentions, 2 event rows, and 12 follow-up prompts support the generated output. Remaining gap noted: optional: digital_evidence, suspect_or_sender_identity, security_steps_taken | partially_provided: ongoing_access_risk.",2026-07-20
HEVAL000041,GOUT000018_EN,EVAL_ORDINARY_USER_014,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 41: Summary is understandable for the ransomware attack matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000042,GOUT000018_EN,EVAL_LEGAL_REVIEWER_014,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 42: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_CYBER_REPORTING_001;LP_ACCOUNT_SECURITY_001;LP_DIGITAL_EVIDENCE_001;LP_FINANCIAL_CYBER_FRAUD_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000043,GOUT000020_EN,EVAL_NLP_015,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 43: Consumer Disputes label for expired or contaminated goods sale is consistent; 1 linked entity mentions, 2 event rows, and 9 follow-up prompts support the generated output. Remaining gap noted: partially_provided: product_or_service | missing: refund_or_remedy_requested | optional: evidence_available.",2026-07-20
HEVAL000044,GOUT000020_EN,EVAL_ORDINARY_USER_015,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 44: Summary is understandable for the expired or contaminated goods sale matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000045,GOUT000020_EN,EVAL_LEGAL_REVIEWER_015,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 45: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_CONSUMER_COMPLAINT_001;LP_REFUND_RIGHTS_001;LP_ECOMMERCE_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000046,GOUT000021_EN,EVAL_NLP_016,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 46: Assault & Threats label for domestic dispute is consistent; 1 linked entity mentions, 2 event rows, and 15 follow-up prompts support the generated output. Remaining gap noted: missing: threat_or_attack_description, injury_details | optional: alleged_offender_identity, safe_place_available, medical_help_status.",2026-07-20
HEVAL000047,GOUT000021_EN,EVAL_ORDINARY_USER_016,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 47: Summary is understandable for the domestic dispute matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000048,GOUT000021_EN,EVAL_LEGAL_REVIEWER_016,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 48: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_CRIME_REPORTING_001;LP_EMERGENCY_HELP_001;LP_FIR_PROCESS_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000049,GOUT000022_EN,EVAL_NLP_017,NLP,4,4,4,5,3,4,4,5,5,False,4,4,4,4,4,"NLP review 49: Traffic & Road Incidents label for reckless driving confrontation is consistent; 1 linked entity mentions, 2 event rows, and 0 follow-up prompts support the generated output. Remaining gap noted: No critical unanswered mandatory fields remain after clarification simulation..",2026-07-20
HEVAL000050,GOUT000022_EN,EVAL_ORDINARY_USER_017,ordinary user,4,4,4,4,4,5,4,5,5,False,3,3,4,3,5,User review 50: Summary is understandable for the reckless driving confrontation matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000051,GOUT000022_EN,EVAL_LEGAL_REVIEWER_017,legal reviewer,4,4,4,5,4,4,4,5,5,False,4,4,4,5,4,"Legal review 51: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_TRAFFIC_ACCIDENT_001;LP_HIT_AND_RUN_001;LP_MOTOR_CLAIM_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000052,GOUT000023_EN,EVAL_NLP_018,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 52: Theft and robbery label for vehicle theft is consistent; 1 linked entity mentions, 2 event rows, and 12 follow-up prompts support the generated output. Remaining gap noted: partially_provided: property_type, property_description | missing: ownership_information, force_or_threat_used.",2026-07-20
HEVAL000053,GOUT000023_EN,EVAL_ORDINARY_USER_018,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 53: Summary is understandable for the vehicle theft matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000054,GOUT000023_EN,EVAL_LEGAL_REVIEWER_018,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 54: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_CRIME_REPORTING_001;LP_FIR_PROCESS_001;LP_DIGITAL_EVIDENCE_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000055,GOUT000024_EN,EVAL_NLP_019,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 55: Traffic & Road Incidents label for drunk driving accident is consistent; 3 linked entity mentions, 2 event rows, and 9 follow-up prompts support the generated output. Remaining gap noted: missing: injury_details, property_damage | optional: traffic_obstruction.",2026-07-20
HEVAL000056,GOUT000024_EN,EVAL_ORDINARY_USER_019,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 56: Summary is understandable for the drunk driving accident matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000057,GOUT000024_EN,EVAL_LEGAL_REVIEWER_019,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 57: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_TRAFFIC_ACCIDENT_001;LP_HIT_AND_RUN_001;LP_MOTOR_CLAIM_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000058,GOUT000025_EN,EVAL_NLP_020,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 58: Financial Fraud label for insurance claim fraud is consistent; 1 linked entity mentions, 2 event rows, and 3 follow-up prompts support the generated output. Remaining gap noted: optional: institution_notified.",2026-07-20
HEVAL000059,GOUT000025_EN,EVAL_ORDINARY_USER_020,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 59: Summary is understandable for the insurance claim fraud matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000060,GOUT000025_EN,EVAL_LEGAL_REVIEWER_020,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 60: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_FINANCIAL_CYBER_FRAUD_001;LP_CYBER_REPORTING_001;LP_DIGITAL_EVIDENCE_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000061,GOUT000026_EN,EVAL_NLP_021,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 61: Theft and robbery label for online phishing theft is consistent; 1 linked entity mentions, 2 event rows, and 9 follow-up prompts support the generated output. Remaining gap noted: missing: ownership_information, force_or_threat_used | optional: suspect_description.",2026-07-20
HEVAL000062,GOUT000026_EN,EVAL_ORDINARY_USER_021,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 62: Summary is understandable for the online phishing theft matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000063,GOUT000026_EN,EVAL_LEGAL_REVIEWER_021,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 63: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_CRIME_REPORTING_001;LP_FIR_PROCESS_001;LP_DIGITAL_EVIDENCE_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000064,GOUT000027_EN,EVAL_NLP_022,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 64: Consumer Disputes label for refusal of service refund is consistent; 1 linked entity mentions, 2 event rows, and 6 follow-up prompts support the generated output. Remaining gap noted: partially_provided: product_or_service | optional: evidence_available.",2026-07-20
HEVAL000065,GOUT000027_EN,EVAL_ORDINARY_USER_022,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 65: Summary is understandable for the refusal of service refund matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000066,GOUT000027_EN,EVAL_LEGAL_REVIEWER_022,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 66: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_CONSUMER_COMPLAINT_001;LP_REFUND_RIGHTS_001;LP_ECOMMERCE_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000067,GOUT000029_EN,EVAL_NLP_023,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 67: Theft and robbery label for chain snatching is consistent; 1 linked entity mentions, 2 event rows, and 9 follow-up prompts support the generated output. Remaining gap noted: partially_provided: property_type, property_description | missing: ownership_information.",2026-07-20
HEVAL000068,GOUT000029_EN,EVAL_ORDINARY_USER_023,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 68: Summary is understandable for the chain snatching matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000069,GOUT000029_EN,EVAL_LEGAL_REVIEWER_023,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 69: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_CRIME_REPORTING_001;LP_FIR_PROCESS_001;LP_DIGITAL_EVIDENCE_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000070,GOUT000031_EN,EVAL_NLP_024,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 70: Traffic & Road Incidents label for traffic signal violation dispute is consistent; 1 linked entity mentions, 2 event rows, and 3 follow-up prompts support the generated output. Remaining gap noted: missing: injury_details.",2026-07-20
HEVAL000071,GOUT000031_EN,EVAL_ORDINARY_USER_024,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 71: Summary is understandable for the traffic signal violation dispute matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000072,GOUT000031_EN,EVAL_LEGAL_REVIEWER_024,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 72: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_TRAFFIC_ACCIDENT_001;LP_HIT_AND_RUN_001;LP_MOTOR_CLAIM_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000073,GOUT000032_EN,EVAL_NLP_001,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 73: Cybercrime label for online banking fraud is consistent; 1 linked entity mentions, 2 event rows, and 9 follow-up prompts support the generated output. Remaining gap noted: optional: digital_evidence, suspect_or_sender_identity | partially_provided: ongoing_access_risk.",2026-07-20
HEVAL000074,GOUT000032_EN,EVAL_ORDINARY_USER_001,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 74: Summary is understandable for the online banking fraud matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000075,GOUT000032_EN,EVAL_LEGAL_REVIEWER_001,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 75: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_CYBER_REPORTING_001;LP_ACCOUNT_SECURITY_001;LP_DIGITAL_EVIDENCE_001;LP_FINANCIAL_CYBER_FRAUD_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000076,GOUT000033_EN,EVAL_NLP_002,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 76: Consumer Disputes label for false advertising and misrepresentation is consistent; 1 linked entity mentions, 2 event rows, and 6 follow-up prompts support the generated output. Remaining gap noted: partially_provided: product_or_service | optional: evidence_available.",2026-07-20
HEVAL000077,GOUT000033_EN,EVAL_ORDINARY_USER_002,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 77: Summary is understandable for the false advertising and misrepresentation matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000078,GOUT000033_EN,EVAL_LEGAL_REVIEWER_002,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 78: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_CONSUMER_COMPLAINT_001;LP_REFUND_RIGHTS_001;LP_ECOMMERCE_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000079,GOUT000034_EN,EVAL_NLP_003,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 79: Employment/Labour label for workplace harassment is consistent; 1 linked entity mentions, 2 event rows, and 3 follow-up prompts support the generated output. Remaining gap noted: optional: employment_documents.",2026-07-20
HEVAL000080,GOUT000034_EN,EVAL_ORDINARY_USER_003,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 80: Summary is understandable for the workplace harassment matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000081,GOUT000034_EN,EVAL_LEGAL_REVIEWER_003,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 81: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_LABOUR_COMPLAINT_001;LP_WAGE_CLAIM_001;LP_LEGAL_AID_001. Further lawyer review should verify source text before deployment.",2026-07-20
